Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 15/05/2024
Comparison Date: 08/05/2024
Total Yarding: 1423 (+301)
Commentary
"The continued large supply of cattle resulted in 1423 cattle penned in a prime only sale.  Quality improved on last sale with increased numbers of prime yearlings, heavy prime bullocks and cows. The regular buyer panel was bolstered by two southern processors and feeders along with opportunity restockers and one live exporter. Cattle were drawn from Mt Isa to Normanton, east to Mt Garnet and south to The Belyando and local area.

The additional buyer demand saw values improve for most categories, with quality a factor. Prime yearlings lifted 49c to 60c, bullocks increased 35c, medium weight cows lifted up to 23c and heavy bulls averaged 25c to 50c higher.

Good quality prime yearling steers to processors sold to 254c, those to feed averaged 272c/kg. Prime yearling heifers to slaughter made from 220c to 248c/kg. Grown steers above 400kg to feed reached 262c to average 238c, processor types sold to 270c to average 249c/kg. Grown heifers to the trade made to 246c, averaging 210c to 231c/kg.

Heavy young bullocks to export slaughter topped at 266c to average 257c, full mouthed bullocks averaged 247c/kg. Lightweight restocker cows averaged 156c to 179c, 2 score cows to processors averaged 186c, selling to 198c. Medium weight 3 score cows sold to 228c to average 212c to 218c, a good sample of prime heavyweight 3 and 4 score cows topped at 228c to average 224c/kg.
Medium weight bulls to live export sold to 264c to average 249c and heavy bulls to processors made to 248c to average 236c/kg.

A special store sale on Friday has 3200 cattle booked.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,D,2,9,-17,246.0,250.0,249.11111111111111,123.6,473.1,480.8,479.1,910.2,950.0,941.1555582682291
Yearling Steer,330-400,Feeder,D,3,19,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,967.2,967.2,967.200041118421
Yearling Steer,400+,Feeder,C,2,12,NQ,274.0,274.0,274,NQ,517.0,517.0,517.0,1123.4,1123.4,1123.4000651041667
Yearling Steer,400+,Feeder,C,3,15,NQ,272.0,272.0,272,NQ,513.2,513.2,513.2,1169.6,1169.6,1169.6
Yearling Steer,400+,Feeder,D,2,18,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,1020.6,1020.6,1020.5999348958334
Yearling Steer,400+,Processor,C,3,15,NQ,254.0,254.0,254,NQ,479.2,479.2,479.2,1308.1,1308.1,1308.1
Yearling Steer,400+,Processor,D,3,1,NQ,224.0,224.0,224,NQ,430.8,430.8,430.8,918.4,918.4,918.4000244140625
Yearling Heifer,280-330,Feeder,D,1,1,NQ,162.0,162.0,162,NQ,317.6,317.6,317.6,502.2,502.2,502.20001220703125
Yearling Heifer,280-330,Feeder,D,2,10,8,224.0,224.0,224,116.0,430.8,430.8,430.8,739.2,739.2,739.2
Yearling Heifer,280-330,Processor,D,2,12,8,212.0,226.0,224.83333333333334,68.8,407.7,434.6,432.4,678.4,734.5,729.8250020345052
Yearling Heifer,330-400,Feeder,C,2,25,17,236.0,238.0,236.96,95.0,453.8,457.7,455.7,814.2,892.5,851.7840234375
Yearling Heifer,330-400,Feeder,D,2,22,21,170.0,234.0,228.9090909090909,66.9,326.9,450.0,440.2,620.5,830.7,813.4000355113636
Yearling Heifer,330-400,Processor,D,2,15,8,220.0,228.0,222,49.1,423.1,438.5,426.9,768.4,832.2,798.4666748046875
Yearling Heifer,400+,Processor,D,3,2,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,1264.8,1264.8,1264.800048828125
Manufacturing Steer,0-540,Feeder,D,2,1,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,1197.0,1197.0,1197
Manufacturing Steer,0-540,Processor,C,3,7,NQ,264.0,264.0,264,NQ,488.9,488.9,488.9,1372.8,1372.8,1372.800083705357
Manufacturing Steer,0-540,Processor,D,2,2,NC,232.0,250.0,241,13.0,446.2,480.8,463.5,1183.2,1275.0,1229.0999755859375
Manufacturing Steer,0-540,Processor,D,3,87,81,238.0,258.0,246.98850574712642,37.7,449.1,486.8,465.4,975.8,1328.4,1228.6988700779004
Manufacturing Steer,0-540,Processor,E,2,1,NQ,102.0,102.0,102,NQ,200.0,200.0,200.0,464.1,464.1,464.1000061035156
Manufacturing Steer,0-540,Processor,E,3,2,1,194.0,226.0,210,4.0,373.1,434.6,403.8,853.6,971.8,912.6999816894531
Manufacturing Steer,0-540,Restocker,D,2,15,NQ,228.0,246.0,229.2,NQ,438.5,473.1,448.2,969.0,1045.5,983.9800130208333
Manufacturing Steer,540+,Processor,C,3,1,NQ,236.0,236.0,236,NQ,429.1,429.1,429.1,1510.4,1510.4,1510.4000244140625
Manufacturing Steer,540+,Processor,D,3,32,31,224.0,266.0,256.75,32.8,422.6,492.6,476.8,1276.8,1516.2,1465.781265258789
Grown Steer,0-400,Feeder,D,2,4,-18,246.0,246.0,246,119.8,473.1,473.1,473.1,910.2,910.2,910.2000122070312
Grown Steer,0-400,Processor,D,2,1,-2,246.0,246.0,246,40.0,473.1,473.1,473.1,910.2,910.2,910.2000122070312
Grown Steer,400-500,Feeder,C,2,7,5,262.0,262.0,262,28.0,494.3,494.3,494.3,1074.2,1074.2,1074.199916294643
Grown Steer,400-500,Feeder,D,2,31,NQ,214.0,248.0,238.1290322580645,NQ,411.5,476.9,457.9,941.6,1054.0,1017.3677230342741
Grown Steer,400-500,Processor,C,3,12,NQ,254.0,254.0,254,NQ,470.4,470.4,470.4,1206.5,1206.5,1206.5
Grown Steer,400-500,Processor,D,2,2,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,1020.9,1020.9,1020.9000244140625
Grown Steer,400-500,Processor,D,3,48,44,248.0,256.0,249.08333333333334,67.1,467.9,492.3,470.2,1100.8,1231.9,1188.0375111897786
Grown Steer,400-500,Processor,E,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,880.0,880.0,880
Grown Steer,400-500,Restocker,D,2,21,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,984.0,1068.0,988
Grown Steer,500-600,Processor,C,3,16,13,270.0,270.0,270,40.0,500.0,500.0,500.0,1512.0,1512.0,1512
Grown Heifer,0-540,Feeder,D,3,11,NQ,198.0,198.0,198,NQ,396.0,396.0,396.0,772.2,772.2,772.2000177556819
Grown Heifer,0-540,Processor,D,2,21,13,170.0,228.0,210.1904761904762,46.9,340.0,456.0,417.3,620.5,843.6,757.8380998883929
Grown Heifer,0-540,Processor,D,3,20,4,218.0,246.0,230.7,32.9,436.0,473.1,450.9,915.6,1033.2,954.6100158691406
Cows,0-400,Feeder,D,1,2,-12,155.0,155.0,155,16.4,344.4,344.4,344.4,527.0,527.0,527
Cows,0-400,Feeder,D,2,1,-15,172.0,172.0,172,52.0,373.9,373.9,373.9,593.4,593.4,593.4000244140625
Cows,0-400,Processor,C,2,1,NQ,190.0,190.0,190,NQ,395.8,395.8,395.8,731.5,731.5,731.5
Cows,0-400,Processor,D,2,117,71,140.0,198.0,185.5042735042735,17.8,304.3,430.4,401.7,497.0,792.0,684.8367492154114
Cows,0-400,Processor,D,3,55,38,176.0,212.0,202.9090909090909,25.2,374.5,446.8,428.6,676.8,826.8,768.0472589666193
Cows,0-400,Processor,E,2,7,5,176.0,176.0,176,8.0,382.6,382.6,382.6,598.4,598.4,598.4000418526786
Cows,0-400,Processor,E,3,5,NQ,170.0,170.0,170,NQ,361.7,361.7,361.7,646.0,646.0,646
Cows,0-400,Restocker,D,1,17,NQ,108.0,182.0,155.52941176470588,NQ,240.0,404.4,346.3,405.0,646.1,526.4235265395221
Cows,0-400,Restocker,D,2,27,NQ,170.0,185.0,179.44444444444446,NQ,369.6,402.2,390.1,620.5,693.8,663.4537037037037
Cows,0-400,Restocker,E,1,3,NQ,86.0,86.0,86,NQ,191.1,191.1,191.1,270.9,270.9,270.8999837239583
Cows,0-400,Restocker,E,2,1,NC,100.0,100.0,100,NC,217.4,217.4,217.4,335.0,335.0,335
Cows,400-520,Processor,C,3,8,1,217.0,222.0,217.75,31.8,435.3,444.9,442.2,1009.0,1133.6,1034.4624786376953
Cows,400-520,Processor,D,2,11,NQ,188.0,188.0,188,NQ,408.7,408.7,408.7,761.4,761.4,761.4000355113636
Cows,400-520,Processor,D,3,328,236,182.0,228.0,212.02439024390245,22.9,387.2,470.8,439.2,746.2,1143.3,952.8847609729302
Cows,400-520,Restocker,D,2,11,NQ,200.0,208.0,204.36363636363637,NQ,425.5,442.6,434.8,860.0,925.6,895.7817826704545
Cows,520+,Processor,C,3,11,NQ,220.0,226.0,221.0909090909091,NQ,434.6,440.0,439.0,1155.0,1254.3,1173.0545543323863
Cows,520+,Processor,C,4,12,NQ,228.0,228.0,228,NQ,447.1,447.1,447.1,1208.4,1208.4,1208.4000651041667
Cows,520+,Processor,D,3,19,16,216.0,224.0,223.57894736842104,5.6,432.0,448.0,447.2,1166.4,1187.2,1186.1052438836348
Bulls,0-450,Feeder,D,1,1,NC,182.0,182.0,182,18.0,356.9,356.9,356.9,809.9,809.9,809.9000244140625
Bulls,0-450,Feeder,D,2,30,6,220.0,238.0,234.46666666666667,79.3,423.1,457.7,450.9,843.6,1032.4,963.2332967122396
Bulls,0-450,Feeder,D,3,2,NQ,236.0,236.0,236,NQ,445.3,445.3,445.3,967.6,967.6,967.5999755859375
Bulls,0-450,Feeder,E,2,2,NC,206.0,206.0,206,72.0,403.9,403.9,403.9,751.9,751.9,751.9000244140625
Bulls,0-450,Live Export,D,2,56,49,246.0,264.0,249.10714285714286,81.4,473.1,507.7,479.1,818.4,1100.0,1032.312493460519
Bulls,450-600,Feeder,C,2,10,1,200.0,248.0,236.8,17.9,377.4,467.9,446.8,1080.0,1392.3,1304.7700317382812
Bulls,450-600,Feeder,C,3,3,-2,224.0,244.0,234,25.2,414.8,451.9,433.3,1240.2,1403.0,1299.1999918619792
Bulls,450-600,Feeder,D,2,39,37,225.0,238.0,236.33333333333334,60.3,424.5,466.7,456.6,1073.8,1213.8,1114.2435647035256
Bulls,450-600,Feeder,D,3,44,34,218.0,242.0,234.54545454545453,46.1,411.3,456.6,439.3,1002.8,1298.7,1252.7431543523614
Bulls,450-600,Feeder,E,2,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,976.5,976.5,976.5
Bulls,450-600,Live Export,C,3,2,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1300.0,1300.0,1300
Bulls,450-600,Live Export,D,3,35,NQ,224.0,244.0,233.14285714285714,NQ,414.8,460.4,436.1,1052.8,1215.4,1097.3486049107144
Bulls,450-600,Processor,C,2,3,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,1060.5,1060.5,1060.5
Bulls,450-600,Processor,C,3,5,4,234.0,240.0,238.8,54.8,436.4,450.0,439.1,1275.3,1416.0,1387.860009765625
Bulls,450-600,Processor,D,2,1,NQ,172.0,172.0,172,NQ,337.3,337.3,337.3,834.2,834.2,834.2000122070312
Bulls,450-600,Processor,D,3,1,NQ,176.0,176.0,176,NQ,338.5,338.5,338.5,1003.2,1003.2,1003.2000122070312
Bulls,600+,Feeder,C,3,7,1,230.0,238.0,236.85714285714286,54.2,410.7,432.7,429.6,1570.8,1633.0,1579.685825892857
