Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 16/10/2024
Comparison Date: 09/10/2024
Total Yarding: 2327 (-643)
Commentary
"Numbers decreased by 643 for a yarding of 2327 cattle.  Quality was very mixed comprising of fewer numbers of heavy bullocks and cows, supported by several small lines of store steers and heifers with many lines reflecting the dry season.  All regular processors were in attendance and operating, supported by one live exporter, feeders and opportunity restockers. Demand for heavier well finished lines was firm, however lesser quality and lighter weight lines continued to struggle to attract buyer support. Cattle were drawn from Mt Isa to Richmond, north to Georgetown and south to the local area.

Values for all categories were reflective of quality, with better quality lines improving by up to 30c and lesser types being further discounted. Yearling heifers above 280kg to feed improved 16c to 38c, prime grown steers and bullocks improved 4c to 15c, prime heifers lifted 3c to 9c and prime cows averaged 5c to 6c lower.

Light restocker steers returning to the paddock averaged 268c to 307c, reaching a top of 317c, similar heifers to processors sold to 222c to average 192c/kg. Yearling steers above 200kg to backgrounders reached 300c, a good sample averaging 298c and secondary types averaged 267c/kg. Yearling steers above 280kg to live export sold to 284c to average 274c/kg. Yearling heifers to feed above 200kg averaged 195c to 208c, with heifers above 280kg making to 250c to average 227c to 241c/kg.

Grown steers above 400kg to processors averaged 272c to 299c reaching 306c, feeders averaged 258c/kg. A reduced number of grown heifers reached 286c to average 245c to 266c/kg.  A smaller supply of heavy full mouthed bullocks to export slaughter topped at 320c multiple times to average 286c to 304c/kg. Medium weight 2 score cows made to 218c to average 196c, 3 scores reached 264c to average 239c/kg. Heavy bulls to live export sold to 272c to average 268c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Feeder,D,2,1,NQ,172.0,172.0,172,NQ,330.8,330.8,330.8,326.8,326.8,326.79998779296875
Yearling Steer,0-200,Restocker,D,2,6,NQ,210.0,256.0,240.66666666666666,NQ,403.8,492.3,462.8,315.0,512.0,446.3333333333333
Yearling Steer,200-280,Feeder,D,2,1,-1,230.0,230.0,230,30.0,442.3,442.3,442.3,644.0,644.0,644
Yearling Steer,200-280,Live Export,D,2,2,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,704.0,704.0,704
Yearling Steer,200-280,Restocker,C,2,94,NQ,298.0,300.0,298.3404255319149,NQ,573.1,576.9,573.7,730.1,804.6,771.8638110871011
Yearling Steer,200-280,Restocker,D,2,61,-7,236.0,282.0,266.8524590163934,45.5,453.8,542.3,513.2,579.6,729.0,686.3967185098617
Yearling Steer,280-330,Feeder,C,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,792.0,792.0,792
Yearling Steer,280-330,Feeder,D,2,1,-44,242.0,242.0,242,-22.2,465.4,465.4,465.4,793.8,793.8,793.760009765625
Yearling Steer,280-330,Live Export,C,2,11,NQ,282.0,282.0,282,NQ,542.3,542.3,542.3,874.2,874.2,874.2000177556819
Yearling Steer,280-330,Live Export,D,2,29,NQ,254.0,284.0,274.3448275862069,NQ,488.5,546.2,527.6,765.6,871.2,828.3586236361799
Yearling Steer,280-330,Restocker,C,2,88,NQ,280.0,304.0,291.29545454545456,NQ,538.5,584.6,560.2,846.8,972.8,901.0443004261364
Yearling Steer,280-330,Restocker,D,2,19,-33,220.0,280.0,269.2631578947368,22.4,423.1,538.5,517.8,693.0,910.0,873.305265727796
Yearling Steer,330-400,Feeder,C,2,9,1,254.0,270.0,264.22222222222223,5.2,488.5,519.2,508.1,876.3,1010.8,951.9110989040798
Yearling Steer,330-400,Feeder,D,2,7,NC,230.0,256.0,243.71428571428572,-6.3,442.3,492.3,468.7,828.0,976.0,939.7714320591518
