Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 17/01/2024
Comparison Date: 06/09/2023
Total Yarding: 878 (-270)
Commentary
"The opening sale for the year attracted  878 cattle. Quality was mixed, comprising of limited numbers of well finished prime cattle and several small lines of store steers and heifers, with many in plain condition.  Three regular processors operated at stronger rates than last year, supported by two regular feeder operators and opportunity restockers. Cattle were drawn Hughenden to Einsaleigh and the local area.
 
A small sample of vealer steers to restockers sold to 320c to average 309c, with light heifers making to 198c to average 190c/kg. A small sample of yearling steers above 330kg to feed reached 264c to average 258c/kg.
Yearling heifers above 280kg to feed sold to 246c to average 220c, restocker lines reached 272c to average 229c/kg. 

Limited numbers of grown steers to feed sold to 276c to average 266c/kg. A good sample of grown heifers returning to the paddock sold to 270c to average near 236c/kg, a small number of heifers to the trade made to 272c to average 270c/kg.

A limited number of full mouthed bullocks to export slaughter topped at 274c to average 265c/ kg.
Medium weight 3 score cows sold to 266 to average 251-256c, isolated single cows to 270c/kg. A pen of prime heavyweight cows made 252c/kg.  Heavy bulls to processors reached 270c to average 257c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,2,-2,250.0,250.0,250,120.0,480.8,480.8,480.8,625.0,625.0,625
Yearling Steer,200-280,Restocker,C,2,11,3,244.0,244.0,244,72.0,469.2,469.2,469.2,622.2,622.2,622.2000177556819
Yearling Steer,330-400,Feeder,D,2,4,NQ,190.0,250.0,205,NQ,365.4,480.8,394.2,646.0,912.5,712.625
Yearling Steer,400+,Feeder,C,2,10,NQ,256.0,264.0,258.4,NQ,483.0,498.1,487.5,1088.0,1148.4,1106.12001953125
Yearling Heifer,200-280,Feeder,D,2,20,NQ,120.0,230.0,193.1,NQ,235.3,442.3,371.6,324.0,566.1,489.9199951171875
Yearling Heifer,200-280,Restocker,D,2,17,13,120.0,216.0,161.88235294117646,53.9,230.8,415.4,311.3,252.0,540.0,405.1764705882353
Yearling Heifer,200-280,Restocker,E,2,1,NQ,100.0,100.0,100,NQ,192.3,192.3,192.3,240.0,240.0,240
Yearling Heifer,280-330,Feeder,C,2,1,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,787.2,787.2,787.2000122070312
Yearling Heifer,280-330,Feeder,D,2,22,7,144.0,242.0,219.8181818181818,107.8,276.9,465.4,422.7,417.6,774.4,698.1590922962536
Yearling Heifer,280-330,Restocker,C,2,12,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,788.8,788.8,788.7999674479166
