Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 17/04/2024
Comparison Date: 10/04/2024
Total Yarding: 3785 (+2135)
Commentary
"Numbers increased by more than 2100 for a yarding of 3785 head.  The larger numbers continued the trend of other selling centres with values easing for most categories despite a large buyer gallery. Quality was mostly good throughout, however the cow offering was not as good as the previous week. All regular processors operated at subdued rates, however demand improved throughout the sale, supported by one feeder, one live exporter and several opportunity restockers. Cattle were drawn from Julia Ck to Croydon in the north, east to Ingham and south to Bowen and the local area. 

Strong restocked demand for good quality heifers was the highlight of the sale, however most categories were easier on last week - notably cows and bullocks averaging 20c to 45c lower.

Best quality suitably weaned flat back steers topped at 334c, a large sample of Brahman steers averaged 307c/kg, with lesser quality lines averaging 285c/kg.  Similar heifers to processors made to 210c to average 185c/kg.  Yearling steers above 200kg returning to the paddock averaged 254c, topping at 276c, steers above 330kg to feed sold to 254c averaging 250c/kg. A very good sample of light yearling heifers returning  to the paddock topped at 290c to average 250c/kg. Heavy yearling heifers above 400kg to the trade reached 232c to average 204c/kg.

A very good quality sample of heavy grown steers to processors sold to 238c to average 236c, steers suitable for live export averaged 256c/kg. A small sample of grown heifers to the trade made to 242c to average 230c/kg.

Heavy bullocks to export slaughter topped at 240c to average from 231c to 234c/kg.  Medium weight 3 score cows sold to an isolated 216c, the majority averaging 186c/kg.  Medium weight bulls to live export made to 270c, while heavy bulls to feed destined for live export averaged 238c/kg.

A good number of cows and calves sold from $900 to $1,200 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,7,-15,242.0,276.0,254.28571428571428,-45.7,465.4,530.8,489.0,665.5,772.8,697.6571393694196
Yearling Steer,200-280,Restocker,D,2,203,95,270.0,300.0,291.37931034482756,18.5,519.2,576.9,560.3,661.5,817.6,732.9847237723214
Yearling Steer,280-330,Processor,D,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,527.0,527.0,527
Yearling Steer,280-330,Restocker,C,2,26,21,240.0,280.0,275.6923076923077,39.7,461.5,538.5,530.2,780.0,889.6,874.5230618990385
Yearling Steer,280-330,Restocker,D,2,51,6,180.0,280.0,248,-13.0,346.2,538.5,476.9,522.0,826.0,748.6627412683823
Yearling Steer,330-400,Feeder,C,2,30,-7,250.0,250.0,250,-8.3,480.8,480.8,480.8,875.0,975.0,911.6666666666666
Yearling Steer,330-400,Feeder,D,2,23,NQ,242.0,254.0,243.04347826086956,NQ,465.4,488.5,467.4,834.9,939.8,875.5869565217391
Yearling Steer,330-400,Processor,D,2,2,NQ,198.0,198.0,198,NQ,380.8,380.8,380.8,752.4,752.4,752.4000244140625
Yearling Steer,330-400,Restocker,C,2,35,NQ,242.0,270.0,250.14285714285714,NQ,465.4,519.2,481.0,838.3,985.5,896.7128487723214
Yearling Steer,330-400,Restocker,D,2,39,NQ,220.0,270.0,240.97435897435898,NQ,423.1,519.2,463.4,759.0,985.5,870.6923076923077
Yearling Steer,400+,Restocker,C,2,22,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1118.0,1118.0,1118
Yearling Heifer,0-200,Restocker,D,2,23,NQ,125.0,180.0,163.2608695652174,NQ,240.4,346.2,314.0,250.0,306.0,288.95652173913044
Yearling Heifer,200-280,Feeder,D,2,7,-2,180.0,196.0,186.85714285714286,-39.1,346.2,376.9,359.3,470.4,504.0,489.59999302455356
Yearling Heifer,200-280,Processor,D,2,16,7,140.0,182.0,175.125,-38.2,269.2,350.0,337.5,287.0,459.0,439.6875
Yearling Heifer,200-280,Restocker,C,2,27,19,244.0,248.0,245.62962962962962,35.1,469.2,476.9,472.4,646.6,657.2,650.9185112847222
Yearling Heifer,200-280,Restocker,D,2,433,372,134.0,290.0,250.15935334872978,39.8,257.7,557.7,481.1,308.2,768.5,605.0005818778868
Yearling Heifer,280-330,Feeder,C,2,17,6,206.0,210.0,207.1764705882353,-25.7,396.2,403.8,398.4,597.4,607.7,601.3588436351102
Yearling Heifer,280-330,Feeder,D,2,15,NQ,212.0,212.0,212,NQ,407.7,407.7,407.7,667.8,667.8,667.8
Yearling Heifer,280-330,Processor,D,2,6,-9,150.0,200.0,191.66666666666666,-38.7,288.5,384.6,368.6,427.5,650.0,612.9166666666666
Yearling Heifer,280-330,Restocker,C,2,4,-12,222.0,222.0,222,-28.0,426.9,426.9,426.9,710.4,710.4,710.4000244140625
Yearling Heifer,280-330,Restocker,D,2,14,NQ,202.0,204.0,203.71428571428572,NQ,388.5,392.3,391.8,595.9,652.8,643.9428449358259
Yearling Heifer,330-400,Feeder,C,3,6,NQ,180.0,246.0,191,NQ,346.2,464.2,365.8,657.0,885.6,695.0999959309896
Yearling Heifer,330-400,Feeder,D,2,1,NQ,202.0,202.0,202,NQ,388.5,388.5,388.5,696.9,696.9,696.9000244140625
Yearling Heifer,330-400,Processor,C,2,2,-3,190.0,200.0,195,-33.8,365.4,384.6,375.0,655.5,720.0,687.75
Yearling Heifer,330-400,Processor,D,3,12,11,196.0,202.0,196.5,10.5,376.9,388.5,377.9,676.2,787.8,685.5000152587891
Yearling Heifer,400+,Feeder,C,3,31,NQ,220.0,242.0,224.25806451612902,NQ,423.1,456.6,429.6,902.0,1028.5,926.483870967742
Yearling Heifer,400+,Processor,C,3,12,NQ,220.0,232.0,224,NQ,423.1,437.7,428.0,902.0,1078.8,960.933349609375
Yearling Heifer,400+,Processor,D,3,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,642.0,642.0,642
Vealer Steer,0-200,Restocker,C,2,74,NQ,282.0,290.0,286.86486486486484,NQ,542.3,557.7,551.7,479.4,580.0,539.6324297930744
Vealer Steer,0-200,Restocker,D,1,7,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,275.0,275.0,275
Vealer Steer,0-200,Restocker,D,2,242,238,150.0,302.0,283.900826446281,66.4,288.5,580.8,546.0,247.5,573.8,476.0181814146436
Vealer Steer,200-280,Restocker,C,2,308,295,270.0,334.0,306.6168831168831,-13.4,519.2,642.3,589.6,607.2,805.8,701.3246709650213
Vealer Steer,200-280,Restocker,D,2,193,171,200.0,302.0,284.5284974093264,6.8,384.6,580.8,547.2,440.0,709.7,618.3927425720531
Vealer Steer,280-330,Restocker,C,2,17,NQ,278.0,292.0,287.88235294117646,NQ,534.6,561.5,553.6,792.3,846.8,830.7705652573529
Vealer Heifer,0-200,Processor,C,2,34,31,170.0,190.0,182.94117647058823,-57.1,326.9,365.4,351.8,340.0,380.0,365.88235294117646
Vealer Heifer,0-200,Processor,D,2,21,18,172.0,210.0,184.85714285714286,4.9,330.8,403.8,355.5,243.0,315.0,261.97142392113096
Vealer Heifer,0-200,Restocker,D,2,32,NQ,100.0,210.0,185.625,NQ,192.3,403.8,357.0,185.0,409.5,349.40625
Vealer Heifer,200-280,Feeder,C,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,495.0,495.0,495
Vealer Heifer,200-280,Processor,C,2,18,-23,180.0,190.0,188.33333333333334,-37.4,346.2,365.4,362.2,414.0,446.5,441.0833333333333
Vealer Heifer,200-280,Processor,D,2,5,-6,170.0,170.0,170,-60.0,326.9,326.9,326.9,382.5,382.5,382.5
Vealer Heifer,200-280,Restocker,C,2,146,112,200.0,250.0,225.26027397260273,-6.9,384.6,480.8,433.2,470.0,662.5,558.4479495531892
Vealer Heifer,200-280,Restocker,D,2,56,35,200.0,234.0,218.67857142857142,-4.7,384.6,450.0,420.5,430.0,572.0,493.63929966517856
Vealer Heifer,280-330,Feeder,C,2,2,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,551.0,551.0,551
Manufacturing Steer,0-540,Processor,D,2,4,NQ,214.0,214.0,214,NQ,411.5,411.5,411.5,1027.2,1027.2,1027.199951171875
Manufacturing Steer,0-540,Processor,D,3,10,-10,210.0,234.0,231.2,-20.4,396.2,441.5,435.4,1081.0,1228.5,1170.4899658203126
Manufacturing Steer,0-540,Processor,E,2,1,NC,156.0,156.0,156,56.0,300.0,300.0,300.0,670.8,670.8,670.7999877929688
Manufacturing Steer,0-540,Restocker,D,2,7,NQ,190.0,206.0,203.71428571428572,NQ,365.4,396.2,391.8,788.5,1009.4,977.8429129464286
Manufacturing Steer,0-540,Restocker,D,3,17,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,1224.0,1224.0,1224
Manufacturing Steer,540+,Processor,D,3,23,NQ,210.0,236.0,234.2608695652174,NQ,396.2,437.0,434.1,1176.0,1380.6,1364.0087041440217
Grown Steer,0-400,Processor,D,2,1,NC,200.0,200.0,200,NC,384.6,384.6,384.6,760.0,760.0,760
Grown Steer,0-400,Restocker,C,2,5,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,951.6,951.6,951.6
Grown Steer,0-400,Restocker,D,2,47,NQ,154.0,241.0,237.12765957446808,NQ,296.2,463.5,456.0,554.4,939.9,875.6999927277261
Grown Steer,400-500,Feeder,D,2,4,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,1085.8,1085.8,1085.800048828125
Grown Steer,400-500,Feeder,D,3,16,14,250.0,250.0,250,3.0,471.7,471.7,471.7,1150.0,1150.0,1150
