Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 17/07/2024
Comparison Date: 10/07/2024
Total Yarding: 2188 (+137)
Commentary
"Numbers increased by 137 head for a yarding of 2188 cattle. Quality was mixed comprising of some well finished bullocks and cows and several smaller lines of steers and heifers. Processor attendance included one southern operator supported by one live exporter, one feeder and opportunity backgrounders and restockers. Cattle were drawn from Burketown to Tully and south to the local area.

Demand for better quality lines was firm, with lesser quality lines difficult to sell. Steers and bullocks lifted 16c to 30c, cows improved 9c to 14c and bulls lifted by 30c to 70c/kg.

Steer calves and vealer steers returning to the paddock sold to 272c, similar heifers to processors made to 220c/kg. Yearling steers above 200kg to grass reached 258c to average 239c, those above 280kg averaged 263c and steers to feed averaged 256c/kg. Steers above 330kg to live export sold to 244c, while steers to feed averaged 242c/kg. Good quality steers to backgrounders reached 282c to average 277c/kg. Yearling heifers above 280kg to processors made to 244c to average 227c, those above 330kg averaged 233c/kg. A small sample to feed averaged 223c/kg. 

An increased number of grown steers to feed sold to 266c, better quality trade types made to 292c, most averaging 257c to 282c/kg. Grown  heifers to the trade sold to 277c, a good sample averaging from 248c to 251c/kg.

Heavy full mouthed bullocks to export slaughter topped at 290c, most averaging from 266c to 274c/kg. Medium weight 2 score cows sold to 210c to average 194c, 3 score cows topped at 260c to average from 234c to 250c/kg.  Heavy bulls to processors sold to 260c to average 246c/kg and bulls to feed destined for live export sold to 274c to average 268c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Live Export,D,2,6,1,258.0,258.0,258,12.0,496.2,496.2,496.2,709.5,709.5,709.5
Yearling Steer,200-280,Restocker,C,2,7,-3,272.0,272.0,272,32.0,523.1,523.1,523.1,707.2,707.2,707.1999860491071
Yearling Steer,200-280,Restocker,D,1,1,NQ,55.0,55.0,55,NQ,105.8,105.8,105.8,154.0,154.0,154
Yearling Steer,200-280,Restocker,D,2,46,-10,80.0,258.0,238.8695652173913,1.1,156.9,496.2,459.4,224.0,660.0,642.1869533372962
Yearling Steer,280-330,Feeder,C,2,31,20,238.0,266.0,256.06451612903226,14.1,457.7,501.9,486.2,773.5,837.9,815.0483870967741
Yearling Steer,280-330,Feeder,D,2,13,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,799.8,799.8,799.7999549278846
Yearling Steer,280-330,Live Export,D,2,13,12,50.0,232.0,218,-14.0,98.0,446.2,419.4,150.0,672.8,632.5845853365385
Yearling Steer,280-330,Processor,D,2,1,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,724.5,724.5,724.5
Yearling Steer,280-330,Restocker,C,2,32,20,260.0,266.0,263.1875,0.9,500.0,511.5,506.1,767.0,851.2,811.7312622070312
Yearling Steer,280-330,Restocker,D,2,15,-6,180.0,228.0,197.6,-41.5,352.9,438.5,380.5,545.2,704.0,580.4400065104167
Yearling Steer,330-400,Feeder,C,2,30,NQ,232.0,266.0,241.53333333333333,NQ,446.2,511.5,464.5,788.8,1024.1,879.5233235677083
Yearling Steer,330-400,Feeder,D,2,13,-2,258.0,258.0,258,38.0,496.2,496.2,496.2,877.2,877.2,877.2000450721154
Yearling Steer,330-400,Live Export,D,2,13,NQ,232.0,244.0,233.84615384615384,NQ,446.2,469.2,449.7,777.2,817.4,783.3846341646635
Yearling Steer,330-400,Processor,D,2,10,4,218.0,218.0,218,98.0,419.2,419.2,419.2,741.2,741.2,741.2
Yearling Steer,330-400,Restocker,C,2,38,28,266.0,282.0,276.5263157894737,26.9,511.5,542.3,531.8,944.3,944.7,944.563142475329
Yearling Steer,400+,Processor,C,2,7,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,1156.2,1156.2,1156.199916294643
Yearling Steer,400+,Processor,C,3,21,NQ,270.0,284.0,283.3333333333333,NQ,500.0,525.9,524.7,1147.5,1434.2,1420.547619047619
Yearling Heifer,200-280,Feeder,D,2,1,-9,202.0,202.0,202,2.0,388.5,388.5,388.5,484.8,484.8,484.79998779296875
Yearling Heifer,200-280,Processor,C,2,7,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,565.0,565.0,565
Yearling Heifer,200-280,Restocker,D,2,20,8,180.0,180.0,180,20.8,346.2,346.2,346.2,441.0,441.0,441
Yearling Heifer,280-330,Feeder,D,2,1,-15,140.0,140.0,140,-28.8,274.5,274.5,274.5,406.0,406.0,406
Yearling Heifer,280-330,Processor,C,2,4,3,220.0,220.0,220,14.0,423.1,423.1,423.1,627.0,627.0,627
Yearling Heifer,280-330,Processor,D,2,41,NQ,206.0,244.0,226.4878048780488,NQ,396.2,469.2,435.6,607.7,805.2,701.1926805449696
Yearling Heifer,280-330,Restocker,C,2,12,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,744.0,744.0,744
Yearling Heifer,330-400,Feeder,D,2,20,10,180.0,232.0,223.1,13.1,346.2,446.2,429.0,639.0,846.8,773.664990234375
Yearling Heifer,330-400,Processor,C,3,11,NQ,230.0,240.0,232.72727272727272,NQ,442.3,452.8,445.2,793.5,888.0,819.2727272727273
Yearling Heifer,330-400,Processor,D,2,16,13,230.0,230.0,230,36.0,442.3,442.3,442.3,782.0,782.0,782
Yearling Heifer,400+,Processor,C,3,6,NQ,240.0,269.0,264.1666666666667,NQ,452.8,507.5,498.4,1044.0,1156.7,1137.9166666666667
Vealer Steer,0-200,Restocker,D,2,10,-31,140.0,200.0,194,-74.6,269.2,384.6,373.1,224.0,330.0,319.4
Vealer Steer,200-280,Restocker,C,2,12,10,250.0,262.0,254,49.0,480.8,503.8,488.5,537.5,602.6,559.1999918619791
Vealer Steer,200-280,Restocker,D,2,51,41,220.0,238.0,229.2941176470588,-6.7,423.1,457.7,441.0,471.5,626.4,504.68038641237746
Vealer Steer,280-330,Feeder,D,2,12,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,731.6,731.6,731.5999348958334
Vealer Heifer,0-200,Restocker,D,2,10,NQ,60.0,250.0,98,NQ,115.4,480.8,188.5,84.0,475.0,162.2
Vealer Heifer,200-280,Restocker,C,2,19,NQ,230.0,240.0,233.68421052631578,NQ,442.3,461.5,449.4,517.5,564.0,534.6315789473684
Vealer Heifer,280-330,Processor,C,3,1,NQ,204.0,204.0,204,NQ,384.9,384.9,384.9,601.8,601.8,601.7999877929688
Manufacturing Steer,0-540,Feeder,D,2,16,15,262.0,262.0,262,136.0,503.8,503.8,503.8,1113.5,1113.5,1113.5
Manufacturing Steer,0-540,Feeder,D,3,41,NQ,268.0,276.0,269.9512195121951,NQ,496.3,520.8,504.5,1259.6,1338.6,1292.5951314786585
Manufacturing Steer,0-540,Processor,C,3,11,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1431.0,1431.0,1431
Manufacturing Steer,0-540,Processor,D,2,8,2,238.0,258.0,251.375,37.7,457.7,496.2,483.4,1029.0,1186.8,1161.9249877929688
Manufacturing Steer,0-540,Processor,D,3,38,37,245.0,273.0,265.60526315789474,19.6,462.3,505.6,494.5,1127.0,1458.0,1348.7105006167762
Manufacturing Steer,0-540,Processor,D,4,17,NQ,274.0,274.0,274,NQ,507.4,507.4,507.4,1465.9,1465.9,1465.9000459558824
Manufacturing Steer,0-540,Processor,E,2,2,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,1151.4,1151.4,1151.4000244140625
Manufacturing Steer,0-540,Processor,E,3,1,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,1231.2,1231.2,1231.199951171875
Manufacturing Steer,540+,Processor,C,4,2,-10,276.0,290.0,283,-5.8,501.8,527.3,514.5,1766.4,1870.5,1818.4500122070312
Manufacturing Steer,540+,Processor,D,3,35,31,244.0,292.0,267.9714285714286,18.0,451.9,540.7,496.2,1417.0,1705.0,1558.2743094308037
Manufacturing Steer,540+,Processor,D,4,1,NQ,286.0,286.0,286,NQ,529.6,529.6,529.6,1658.8,1658.8,1658.800048828125
Grown Steer,0-400,Feeder,D,2,15,14,240.0,260.0,242.66666666666666,18.7,461.5,500.0,466.7,936.0,988.0,942.9333333333333
Grown Steer,0-400,Live Export,D,1,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,540.0,540.0,540
Grown Steer,0-400,Live Export,D,2,9,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,809.4,809.4,809.4000108506945
Grown Steer,0-400,Processor,D,2,6,4,210.0,210.0,210,-11.0,403.8,403.8,403.8,808.5,808.5,808.5
Grown Steer,0-400,Restocker,D,2,1,NQ,80.0,80.0,80,NQ,156.9,156.9,156.9,252.0,252.0,252
Grown Steer,400-500,Feeder,C,2,16,NQ,260.0,266.0,264.875,NQ,490.6,511.5,507.6,1079.0,1170.4,1113.3624649047852
Grown Steer,400-500,Feeder,D,2,19,NQ,246.0,270.0,268.7368421052632,NQ,473.1,519.2,516.8,1045.5,1201.5,1193.2894736842106
Grown Steer,400-500,Processor,C,3,30,25,260.0,274.0,264.2,20.6,481.5,517.0,490.2,1205.6,1287.8,1244.446671549479
Grown Steer,400-500,Processor,C,4,20,NQ,282.0,282.0,282,NQ,522.2,522.2,522.2,1381.8,1381.8,1381.8
Grown Steer,400-500,Processor,D,2,12,8,252.0,252.0,252,23.5,484.6,484.6,484.6,1045.8,1045.8,1045.800048828125
Grown Steer,400-500,Processor,D,3,18,15,243.0,274.0,257.1111111111111,-24.9,458.5,517.0,485.1,1032.8,1300.8,1183.6111178927952
Grown Steer,500-600,Processor,C,3,5,1,274.0,292.0,288.4,16.4,507.4,540.7,534.1,1452.2,1489.2,1481.799951171875
Grown Steer,500-600,Processor,C,4,15,NQ,282.0,282.0,282,NQ,522.2,522.2,522.2,1452.3,1452.3,1452.3
Grown Heifer,0-540,Processor,C,3,33,16,230.0,277.0,247.54545454545453,-12.1,442.3,522.6,472.4,943.0,1288.1,1071.821229876894
Grown Heifer,0-540,Processor,D,2,52,7,120.0,235.0,210.25,2.5,240.0,451.9,413.8,392.0,869.5,764.2730806790865
Grown Heifer,0-540,Processor,D,3,51,41,235.0,270.0,251.35294117647058,95.8,443.4,519.2,483.0,893.0,1196.0,1052.564702052696
Cows,0-400,Feeder,D,1,13,-23,70.0,100.0,97.6923076923077,-29.3,159.1,227.3,222.0,196.0,285.0,278.15384615384613
Cows,0-400,Processor,C,2,11,NQ,190.0,190.0,190,NQ,404.3,404.3,404.3,731.5,731.5,731.5
Cows,0-400,Processor,D,1,48,NQ,80.0,162.0,123.64583333333333,NQ,181.8,360.0,275.8,252.0,575.1,412.01458231608075
