Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 22/01/2025
Comparison Date: 11/12/2024
Total Yarding : NQ (NQ)
Commentary
"In very hot conditions, the opening sale of 2025 saw 1517 cattle penned in a very mixed quality yarding. Only three  regular processors were operating along with one live exporter and one feeder supported by opportunity restockers and backgrounders. Cattle were drawn from Georgetown to Richmond, then south and east to local and coastal areas. 

Less than one third of the yarding consisted of prime cattle, with only a few lines of good quality store lines penned. Competition was good for better quality, however secondary and lighter conditioned types met limited demand. Values were reflective of quality and mostly eased in line with other selling centres. 

Good quality light suitably weaned steers sold to 300c to average 285c, similar steers above 200kg returning to the paddock reached 320c to average 319c/kg. Light yearling steers to backgrounders averaged 266c, a good sample to feed made to 282c to average 245c/kg.  Yearling steers above 280kg to live export sold to 314c to average 313c, steers above 330kg averaged 290c/kg. Yearling heifers above 200kg to grass sold to 240c to average 211c, processor types sold to 280c to average 264c/kg. Heifers to feed above 330kg reached 278c to average 247c to 269c/kg. Grown steers above 400kg to the trade sold to 318c, heavy steers above 500kg topped at 341c/kg. Good quality heavy grown heifers to the trade made to 280c to average 269c/kg. 

A limited supply of heavy full mouthed bullocks to export slaughter topped at 331c to average 329c/kg. Medium weight 3 score cows to processors sold to 270c to average 248c, a small sample of prime heavyweight  3 and 4 score cows averaged 266c/kg. Heavy bulls to live export made from 260c to 290c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,32,30,262.0,280.0,268.1875,-55.8,503.8,538.5,515.7,707.4,728.0,714.4812622070312
Yearling Steer,200-280,Feeder,D,2,107,NQ,120.0,282.0,244.46728971962617,NQ,235.3,542.3,470.2,294.0,772.8,613.7887818523657
Yearling Steer,200-280,Feeder,E,2,12,NQ,80.0,166.0,144.5,NQ,156.9,325.5,283.3,192.0,431.6,371.70001220703125
Yearling Steer,200-280,Live Export,D,2,6,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,840.0,840.0,840
Yearling Steer,200-280,Restocker,C,2,7,-19,278.0,278.0,278,NC,534.6,534.6,534.6,736.7,736.7,736.6999860491071
