Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 22/05/2024
Comparison Date: 
Total Yarding: 3906 (NQ)
Commentary
"Numbers increased by 2483 to 3906 cattle in a Combined Prime and Store. Quality was mixed, comprising of more than 400 bullocks and 1,500 cows, mostly in prime condition, supported by several good quality lines of store steers and heifers. Two processors were notably absent from the regular buyer panel that included one live exporter and opportunity restockers. Cattle were drawn from Mt Isa to Croydon, Richmond to Greenvale, local and coastal areas.

Most categories eased by 20c to 40c with selective demand for better quality pens.

Vealer heifers to processors averaged 176c reaching 190c, similar bred steers returning to the paddock sold  to 232c to average 216c/kg. A good sample of yearling steers above 200kg returning to grass sold to 238c averaging 225c, steers above 280kg averaged 220c/kg. Steers above 330kg to live export averaged 256c and a good line of Brahman steers to feed sold to 254c to average 245c/kg. Similar bred steers above 400kg to feed averaged 243c/kg. A good line of flatback yearling heifers above 200kg returning to the paddock reached 244c, and heifers above 280kg to feed averaged 186c/kg.

Grown steers above 400kg to live export averaged 237c, selling to 240c, and good quality heavy grown steers to processors made to 244c to average 236c/kg. Grown heifers to the trade sold to 238c, averaging from 200c to 214c/kg.

Heavy full mouthed bullocks to export slaughter topped at 248c, averaging 195c to 205c/kg.  The increased number of cows sold lower with selective processor demand. Medium weight 2 score cows sold to 182c to average 172, a large sample of 3 score cows reached an isolated 238c, most sales from 180c to 214c to average 182c to 195c/ kg. Prime heavyweight cows averaged 190c to 197c/kg.  Heavy bulls to processors made to 238c to average 215c, those suitable for live export averaged 226c/kg.

Cows and calves sold from $700 to $1,100 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,10,NQ,172.0,180.0,177.6,NQ,330.8,346.2,341.5,395.6,468.0,446.2800048828125
Yearling Steer,200-280,Restocker,C,2,5,NQ,192.0,192.0,192,NQ,369.2,369.2,369.2,480.0,480.0,480
Yearling Steer,200-280,Restocker,D,2,261,NQ,72.0,238.0,224.59003831417624,NQ,138.5,457.7,431.9,194.4,618.8,548.196939168762
Yearling Steer,280-330,Feeder,C,2,41,NQ,218.0,240.0,234.6341463414634,NQ,419.2,461.5,451.2,664.9,792.0,768.1780469940929
Yearling Steer,280-330,Feeder,D,2,30,NQ,195.0,246.0,206.9,NQ,375.0,473.1,397.9,614.3,811.8,661.6450032552083
Yearling Steer,280-330,Live Export,D,2,1,NQ,198.0,198.0,198,NQ,380.8,380.8,380.8,574.2,574.2,574.2000122070312
Yearling Steer,280-330,Processor,D,2,4,NQ,208.0,208.0,208,NQ,400.0,400.0,400.0,592.8,592.8,592.7999877929688
Yearling Steer,280-330,Restocker,C,2,3,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,619.5,619.5,619.5
Yearling Steer,280-330,Restocker,D,2,40,NQ,180.0,230.0,219.75,NQ,346.2,442.3,422.6,561.2,699.6,653.5099945068359
