Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 23/10/2024
Comparison Date: 18/10/2024
Total Yarding: 2980 (+980)
Commentary
"The supply of cattle increase by 200 for a yarding of 2980 head in a Combined Prime and Store sale. Quality was very mixed comprising of some good lines of prime bullocks heifers and cows, one large line of northern cows an increased number of northern bulls and mixed quality lines of steers and heifers. All regular buyers were in attendance along with one central feeder, one live exporter and opportunity backgrounders and restockers. Cattle were drawn from Mt Isa, Normanton, Croydon, Georgetown, Richmond, Belyando,
local and coastal areas.

Demand was firm for most classes, however poor quality types struggled to attract buyer interest, with values reflective of quality and weight. Grown steers were firm to 15c better, cows lifted 2c to 6c, bullocks increased 4c and heavy bulls averaged 15c better.

Light suitably weaned steers returning to the paddock sold to 284c, similar heifers reached 266c to average 250c and processor heifers sold to 220c, most at 210c/kg. Yearling steers above 200kg to backgrounders reached 274c to average 230c/kg.  Steers above 280kg to feed made to 290c and those above 330kg sold to 286c to average 274c/kg. Steers suitable for live export averaged 285c/kg. Yearling heifers above 280kg to feed averaged 257c and heifers above 330kg sold to 276c to average 271c/kg..

Grown steers above 400kg to live export sold to 299c to average 296c, steers to the trade sold to 298c to average 284c/kg. Grown steers above 500kg to live export reached 310c, processor types averaged 315c selling to 322c/kg. A good supply of grown heifers to the trade sold to 272c, averaging 267c/kg.

A mixed offering of heavy full mouthed bullocks to export slaughter topped at 324c, better quality types averaging 294c to 318c/kg. More than 1,100 cows were penned, with strong demand throughout. Lightweight 2 score cows to feed reached 232c to average 226c, cows to processors sold to 244c to average 211c/kg. Medium weight 3 score cows sold to 266c to average 250c, a small number of prime heavyweight cows topped at 268c to average 265c/kg. Heavy bulls to live export sold to 298c most sales from 268c to 282c/kg. Heavy bulls to processors reached 296c, averaging 241c to 282c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,1,24,NQ,202.0,202.0,202,NQ,396.1,396.1,396.1,383.8,383.8,383.7999674479167
Yearling Steer,200-280,Feeder,C,2,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,825.0,825.0,825
Yearling Steer,200-280,Feeder,D,2,24,NQ,180.0,210.0,192.5,NQ,346.2,403.8,370.2,396.0,504.0,441
Yearling Steer,200-280,Feeder,E,2,2,NQ,132.0,132.0,132,NQ,258.8,258.8,258.8,330.0,330.0,330
Yearling Steer,200-280,Restocker,C,2,21,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,757.9,757.9,757.9000186011905
Yearling Steer,200-280,Restocker,D,2,64,NQ,170.0,274.0,229.8125,NQ,326.9,526.9,441.9,365.5,767.2,581.2375040054321
Yearling Steer,280-330,Feeder,C,2,27,NQ,270.0,290.0,287.25925925925924,NQ,519.2,557.7,552.4,841.0,894.6,859.2185149016203
Yearling Steer,280-330,Restocker,D,2,17,NQ,158.0,220.0,204.7058823529412,NQ,303.8,423.1,393.7,513.5,649.0,613.7764677159927
Yearling Steer,330-400,Feeder,C,2,35,NQ,268.0,286.0,274.34285714285716,NQ,515.4,539.6,524.9,978.2,1072.5,1012.6200055803571
Yearling Steer,330-400,Feeder,D,2,8,NQ,244.0,266.0,249.75,NQ,469.2,511.5,480.3,817.4,984.2,873.3000259399414
Yearling Steer,330-400,Live Export,C,2,49,NQ,274.0,286.0,284.2857142857143,NQ,517.0,550.0,546.3,1008.2,1082.3,1038.1000179368623
Yearling Steer,330-400,Processor,C,2,3,NQ,264.0,264.0,264,NQ,498.1,498.1,498.1,1016.4,1016.4,1016.4000651041666
Yearling Steer,330-400,Processor,D,2,12,NQ,226.0,270.0,240.66666666666666,NQ,434.6,519.2,462.8,768.4,958.5,831.7666829427084
Yearling Steer,330-400,Restocker,D,2,9,NQ,218.0,218.0,218,NQ,419.2,419.2,419.2,773.9,773.9,773.9000108506945
Yearling Steer,400+,Feeder,D,2,4,NQ,298.0,298.0,298,NQ,573.1,573.1,573.1,1296.3,1296.3,1296.300048828125
Yearling Steer,400+,Live Export,C,2,2,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,1139.8,1139.8,1139.800048828125
Yearling Steer,400+,Processor,C,3,9,NQ,266.0,288.0,278.22222222222223,NQ,501.9,543.4,524.9,1117.2,1180.8,1152.5333116319443
Yearling Heifer,200-280,Feeder,C,2,11,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,665.6,665.6,665.5999644886364
Yearling Heifer,200-280,Feeder,D,2,7,NQ,160.0,256.0,223.42857142857142,NQ,307.7,492.3,429.7,432.0,652.8,581.3142787388393
Yearling Heifer,200-280,Feeder,E,2,3,NQ,120.0,120.0,120,NQ,235.3,235.3,235.3,294.0,294.0,294
Yearling Heifer,200-280,Restocker,D,2,31,NQ,86.0,232.0,210.19354838709677,NQ,165.4,446.2,404.2,210.7,604.2,517.819347750756
Yearling Heifer,280-330,Feeder,C,2,72,NQ,250.0,274.0,256.8333333333333,NQ,475.5,526.9,489.6,712.5,849.4,771.7819281684028
Yearling Heifer,280-330,Feeder,D,2,11,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,762.6,762.6,762.5999644886364
Yearling Heifer,280-330,Processor,D,2,2,NQ,210.0,220.0,215,NQ,403.8,423.1,413.5,651.0,704.0,677.5
Yearling Heifer,330-400,Feeder,C,2,94,NQ,264.0,276.0,270.8936170212766,NQ,507.7,526.9,518.9,884.4,1068.6,966.0042698636968
Yearling Heifer,330-400,Feeder,D,2,4,NQ,230.0,234.0,232,NQ,442.3,450.0,446.2,783.9,862.5,823.2000122070312
Yearling Heifer,330-400,Processor,C,2,2,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,1007.4,1007.4,1007.4000244140625
Yearling Heifer,330-400,Processor,D,2,1,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,731.5,731.5,731.5
Vealer Steer,0-200,Feeder,D,2,20,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,456.0,456.0,456
Vealer Steer,0-200,Restocker,D,2,2,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,477.0,477.0,477
Vealer Steer,200-280,Feeder,E,2,27,NQ,206.0,206.0,206,NQ,396.2,396.2,396.2,422.3,422.3,422.2999855324074
Vealer Steer,200-280,Restocker,C,2,10,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,552.0,552.0,552
Vealer Steer,200-280,Restocker,D,2,29,NQ,244.0,284.0,277.1034482758621,NQ,469.2,546.2,532.9,573.4,596.4,586.5586442618535
Vealer Heifer,0-200,Processor,D,2,3,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,346.5,346.5,346.5
Vealer Heifer,0-200,Restocker,D,2,48,NQ,186.0,266.0,250,NQ,357.7,511.5,480.8,288.3,430.9,418.9083366394043
Vealer Heifer,0-200,Restocker,E,2,17,NQ,70.0,180.0,173.52941176470588,NQ,137.3,346.2,333.9,84.0,279.0,267.52941176470586
Vealer Heifer,200-280,Feeder,C,2,13,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,528.0,528.0,528
Vealer Heifer,200-280,Feeder,D,2,10,NQ,140.0,210.0,181,NQ,269.2,403.8,348.1,287.0,514.5,422.65
Vealer Heifer,200-280,Feeder,E,2,4,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,365.5,365.5,365.5
Vealer Heifer,200-280,Processor,C,2,5,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,567.0,567.0,567
Vealer Heifer,200-280,Processor,D,2,3,NQ,140.0,220.0,166.66666666666666,NQ,269.2,423.1,320.5,308.0,561.0,392.3333333333333
Vealer Heifer,200-280,Restocker,C,2,15,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,467.4,581.4,513.0000162760417
Vealer Heifer,200-280,Restocker,D,2,16,NQ,196.0,200.0,196.5,NQ,376.9,384.6,377.9,460.6,470.0,461.7749938964844
Vealer Heifer,200-280,Restocker,E,2,1,NQ,60.0,60.0,60,NQ,115.4,115.4,115.4,132.0,132.0,132
Vealer Heifer,280-330,Feeder,C,2,7,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,756.4,756.4,756.4000418526786
Vealer Heifer,330+,Feeder,C,2,5,NQ,256.0,256.0,256,NQ,483.0,483.0,483.0,870.4,870.4,870.4
Manufacturing Steer,0-540,Feeder,E,1,2,NQ,60.0,100.0,80,NQ,120.0,200.0,160.0,243.0,405.0,324
Manufacturing Steer,0-540,Feeder,E,2,1,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,1057.8,1057.8,1057.800048828125
Manufacturing Steer,0-540,Processor,D,1,4,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,1029.6,1029.6,1029.5999755859375
Manufacturing Steer,0-540,Processor,D,2,6,NQ,268.0,276.0,272.3333333333333,NQ,509.4,530.8,522.1,1246.2,1458.0,1295.5
Manufacturing Steer,0-540,Processor,D,3,13,NQ,268.0,304.0,293.38461538461536,NQ,505.7,573.6,553.6,1353.4,1611.2,1512.2384033203125
