Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 24/07/2024
Comparison Date: 17/07/2024
Total Yarding: 2909 (+721)
Commentary
"Supply increased by 721 for a yarding of 2909 cattle. Quality was good for the majority, comprising of increased numbers of prime cattle including 900 cows, supported by some good quality lines of store cattle.  All regular processors were active along with one southern operator, one live exporter, feeder and opportunity restockers and backgrounders.  Cattle were drawn from Burketown to Georgetown, south to The Belyando and the local area.

Values improved by 2-10c on most categories with strong demand for heavier better yielding prime cattle, however young lightweight cattle met limited demand and were difficult to sell.

Very good quality suitably weaned steers returning to the paddock sold to 300c, a good sample averaging 257c, plainer types averaged 240c/kg.  Good quality weaned heifers sold to 230c/kg. Yearling steers above 200kg returning to grass made to 252c, those to live export made to 262c to average 236c/kg, while steers above 330kg to live export made to 250c to average 248c/kg. Good quality steers above 330kg to feed topped at 280c to average 260c/kg.  Yearling heifers above 200kg to backgrounders sold to 200c to average 167c, heifers to feed averaged 211c/kg, with those above 280kg averaging 233c/kg.

Grown steers above 400kg to feed sold to 280c to average 260, steers suitable for live export also reached 280c to average 268c/kg.  Heavy grown steers to the trade made to 278c to average 267c/kg.  Yearling heifers to the trade topped at 286c,  a good supply of grown heifers to processors sold to 252c to average 233c/kg.

An increased supply of heavy bullocks to export slaughter topped at  286c to average near 280c/kg.  Lightweight  2 score cows to processors made to 222 to average 189c, medium weight 2 scores cows sold to 230c and 3 scores sold to 268c to average from 241c to 253c/kg.  A good sample of prime heavyweight cows topped at 274c to average 261c/kg.  Heavy bulls to live export sold to 270c and those to feed destined for live export made to 264c/kg.

Good quality cows and calves sold from $750 to $1,200 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,15,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,680.4,680.4,680.4
Yearling Steer,200-280,Feeder,D,2,1,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,315.0,315.0,315
Yearling Steer,200-280,Live Export,C,2,8,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,733.6,733.6,733.5999755859375
Yearling Steer,200-280,Live Export,D,2,29,23,234.0,248.0,235.93103448275863,-22.1,450.0,476.9,453.7,549.9,595.2,573.0931186018319
Yearling Steer,200-280,Restocker,C,2,35,28,220.0,252.0,241.94285714285715,-30.1,423.1,484.6,465.3,539.0,667.8,621.5600027901786
Yearling Steer,200-280,Restocker,D,2,61,15,220.0,244.0,240.29508196721312,1.4,423.1,469.2,462.1,524.6,609.5,561.4409900102459
Yearling Steer,280-330,Feeder,C,2,7,-24,220.0,240.0,222.85714285714286,-33.2,423.1,461.5,428.6,649.0,720.0,659.1428571428571
Yearling Steer,280-330,Feeder,D,2,2,-11,188.0,188.0,188,-70.0,361.5,361.5,361.5,573.4,573.4,573.4000244140625
Yearling Steer,280-330,Live Export,C,2,31,NQ,230.0,256.0,247.8709677419355,NQ,442.3,492.3,476.7,736.0,806.4,785.2838843560988
Yearling Steer,280-330,Live Export,D,2,10,-3,262.0,262.0,262,44.0,503.8,503.8,503.8,851.5,851.5,851.5
Yearling Steer,280-330,Restocker,C,2,6,-26,230.0,230.0,230,-33.2,442.3,442.3,442.3,747.5,747.5,747.5
