Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 26/06/2024
Comparison Date: 19/06/2024
Total Yarding: 1228 (-139)
Commentary
"With some light rain around, numbers fell by 145 head to 1223 cattle. Quality was mixed, comprising of some good lines of prime cows and feeder steers, supported by many small mixed quality lines. All regular processors operated at stronger rates, supported by one live exporter and several opportunity feeder operators. Cattle were drawn from Mt Isa to Normanton, Coen, and south to the local area.

Most categories improved in price with firm demand for most lines, however light heifers and secondary cattle were difficult to sell. Prime cattle improved by 10c to 40c/kg.

Yearling steers above 280kg to feed sold to 228c to average 182c and a good sample above 330kg to feed averaged 244c  reaching a top of 252c/kg. Yearling heifers above 330kg reached 218c, best quality heifers to the trade made to 232c. Grown steers to live export reached 240c to average 231c, steers to the trade sold to 236c to average 227c/kg. Steers to feed sold to 220c to average 158c/kg. A good sample of grown heifers to the trade made to 198c, most averaging 186c to 192c/kg. 

A very small number of bullocks sold to 256c to average 240c/kg. Lightweight 2 score cows to processors sold to 172c to average 145c, medium weight 3 score cows sold to 220c to average 180c, a small number of prime heavyweight cows made to 218c/kg.  Medium weight feeder bulls to live export sold to 258c, heavy bulls to processors reached 238c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,504.0,504.0,504
Yearling Steer,200-280,Restocker,C,2,10,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,586.5,586.5,586.5
Yearling Steer,200-280,Restocker,D,1,2,NQ,50.0,50.0,50,NQ,98.0,98.0,98.0,130.0,130.0,130
Yearling Steer,200-280,Restocker,D,2,5,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,528.0,528.0,528
Yearling Steer,280-330,Feeder,D,1,1,NQ,100.0,100.0,100,NQ,196.1,196.1,196.1,305.0,305.0,305
Yearling Steer,280-330,Feeder,D,2,58,NQ,160.0,228.0,182.13793103448276,NQ,307.7,438.5,350.3,496.0,741.0,583.5413786789467
Yearling Steer,280-330,Processor,D,2,46,NQ,140.0,170.0,154.7826086956522,NQ,269.2,326.9,297.7,420.0,527.0,478.94565217391306
Yearling Steer,280-330,Processor,E,2,3,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,442.5,442.5,442.5
Yearling Steer,330-400,Feeder,C,2,84,83,238.0,252.0,243.61904761904762,15.6,449.1,475.5,462.8,821.1,982.8,897.4249906994048
Yearling Steer,330-400,Feeder,D,2,10,NQ,138.0,228.0,210,NQ,270.6,438.5,404.9,489.9,809.4,745.5000183105469
Yearling Steer,330-400,Feeder,E,2,1,NQ,122.0,122.0,122,NQ,234.6,234.6,234.6,414.8,414.8,414.79998779296875
Yearling Steer,330-400,Processor,D,2,3,NQ,120.0,120.0,120,NQ,235.3,235.3,235.3,408.0,408.0,408
Yearling Steer,400+,Feeder,C,2,16,-8,252.0,252.0,252,8.2,475.5,475.5,475.5,1071.0,1071.0,1071
Yearling Heifer,200-280,Feeder,C,2,9,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,532.0,532.0,532
Yearling Heifer,200-280,Feeder,D,2,33,NQ,120.0,190.0,176.36363636363637,NQ,235.3,365.4,339.6,282.0,503.5,451.72727272727275
Yearling Heifer,280-330,Feeder,C,2,9,NQ,174.0,174.0,174,NQ,328.3,328.3,328.3,574.2,574.2,574.2000325520834
Yearling Heifer,280-330,Feeder,D,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,552.5,552.5,552.5
Yearling Heifer,280-330,Processor,D,2,10,NQ,160.0,208.0,188.8,NQ,307.7,400.0,363.1,464.0,655.2,578.72001953125
Yearling Heifer,330-400,Feeder,C,2,32,-20,180.0,218.0,202.875,-10.3,339.6,419.2,388.5,670.0,752.1,716.1687316894531
Yearling Heifer,330-400,Processor,C,3,8,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,851.0,851.0,851
Yearling Heifer,330-400,Processor,D,2,12,2,140.0,188.0,184,-6.8,269.2,361.5,353.8,497.0,667.4,653.2000325520834
Yearling Heifer,400+,Feeder,D,3,1,NQ,214.0,214.0,214,NQ,403.8,403.8,403.8,866.7,866.7,866.7000122070312
Yearling Heifer,400+,Processor,C,3,9,NQ,232.0,232.0,232,NQ,446.2,446.2,446.2,962.8,962.8,962.8000217013889
Vealer Steer,0-200,Restocker,C,2,3,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,423.5,423.5,423.5
Vealer Steer,0-200,Restocker,D,2,6,NQ,198.0,230.0,203.33333333333334,NQ,380.8,442.3,391.0,396.0,460.0,406.6666666666667
Vealer Steer,200-280,Feeder,C,2,7,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,651.9,651.9,651.9000418526786
Vealer Steer,200-280,Restocker,C,2,11,NQ,206.0,206.0,206,NQ,396.2,396.2,396.2,422.3,422.3,422.2999822443182
Vealer Steer,200-280,Restocker,D,2,1,NQ,204.0,204.0,204,NQ,392.3,392.3,392.3,510.0,510.0,510
Vealer Heifer,200-280,Feeder,C,2,8,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,477.0,477.0,477
Vealer Heifer,200-280,Feeder,D,2,2,NQ,120.0,160.0,140,NQ,230.8,307.7,269.2,270.0,352.0,311
Vealer Heifer,200-280,Restocker,D,2,2,NQ,150.0,168.0,159,NQ,288.5,323.1,305.8,307.5,420.0,363.75
Manufacturing Steer,0-540,Processor,D,3,4,-10,228.0,256.0,240,29.4,422.2,483.0,446.7,1162.8,1237.6,1210.2999877929688
Manufacturing Steer,0-540,Processor,E,3,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,936.0,936.0,936
Manufacturing Steer,540+,Processor,D,4,1,-4,190.0,190.0,190,-32.0,351.9,351.9,351.9,1054.5,1054.5,1054.5
Grown Steer,0-400,Feeder,C,2,23,-1,210.0,210.0,210,-33.0,396.2,396.2,396.2,745.5,745.5,745.5
Grown Steer,0-400,Feeder,D,2,55,NQ,130.0,220.0,157.56363636363636,NQ,250.0,423.1,303.6,422.5,816.2,531.1309148615056
Grown Steer,0-400,Live Export,D,2,20,NQ,224.0,224.0,224,NQ,430.8,430.8,430.8,862.4,873.6,865.2
Grown Steer,0-400,Processor,C,2,8,NQ,210.0,222.0,216,NQ,396.2,418.9,407.5,819.0,843.6,831.2999877929688
Grown Steer,0-400,Processor,D,2,2,-1,176.0,200.0,188,28.0,338.5,392.2,365.3,677.6,710.0,693.7999877929688
Grown Steer,0-400,Restocker,D,2,7,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,522.0,522.0,522
Grown Steer,400-500,Live Export,C,2,6,NQ,226.0,240.0,230.66666666666666,NQ,426.4,452.8,435.2,926.6,1056.0,969.7333170572916
Grown Steer,400-500,Live Export,D,3,1,NQ,226.0,226.0,226,NQ,426.4,426.4,426.4,926.6,926.6,926.5999755859375
Grown Steer,400-500,Processor,C,2,19,NQ,226.0,236.0,226.52631578947367,NQ,426.4,445.3,427.4,937.9,1026.6,942.5684814453125
Grown Steer,400-500,Processor,C,3,4,-30,200.0,225.0,214,-30.3,377.4,416.7,398.0,820.0,1113.8,980.75
Grown Steer,400-500,Processor,D,3,1,-1,218.0,218.0,218,26.0,419.2,419.2,419.2,991.9,991.9,991.9000244140625
Grown Heifer,0-540,Feeder,D,2,5,4,120.0,120.0,120,40.0,240.0,240.0,240.0,414.0,414.0,414
Grown Heifer,0-540,Processor,C,3,4,-13,196.0,196.0,196,-4.0,376.9,376.9,376.9,852.6,852.6,852.5999755859375
Grown Heifer,0-540,Processor,D,2,39,-5,140.0,196.0,169.69230769230768,-1.9,280.0,376.9,335.4,497.0,754.6,614.576919946915
Grown Heifer,0-540,Processor,D,3,13,-34,140.0,198.0,176,-20.9,280.0,396.0,345.6,567.0,817.8,714.469228891226
Grown Heifer,0-540,Processor,E,2,2,NQ,192.0,192.0,192,NQ,408.5,408.5,408.5,691.2,691.2,691.2000122070312
Grown Heifer,0-540,Restocker,D,2,4,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,510.0,510.0,510
Cows,0-400,Feeder,D,1,37,-35,45.0,108.0,79.32432432432432,-20.5,102.3,240.0,176.6,130.5,383.4,262.52162211650125
Cows,0-400,Feeder,D,2,2,-32,70.0,70.0,70,-38.4,152.2,152.2,152.2,269.5,269.5,269.5
Cows,0-400,Processor,D,2,109,-60,94.0,172.0,144.87155963302752,8.1,204.3,373.9,314.2,352.5,659.1,533.262380897452
Cows,0-400,Processor,D,3,56,-20,150.0,184.0,164.78571428571428,20.0,319.1,391.5,350.6,555.0,736.0,630.1517857142857
Cows,0-400,Processor,E,2,15,NQ,80.0,80.0,80,NQ,177.8,177.8,177.8,224.0,224.0,224
Cows,400-520,Feeder,D,2,1,NQ,170.0,170.0,170,NQ,369.6,369.6,369.6,697.0,697.0,697
Cows,400-520,Processor,C,3,5,1,192.0,192.0,192,22.0,384.0,384.0,384.0,921.6,921.6,921.6
Cows,400-520,Processor,D,2,16,7,162.0,162.0,162,38.7,344.7,344.7,344.7,656.1,656.1,656.0999755859375
Cows,400-520,Processor,D,3,227,-124,140.0,200.0,180.22466960352423,13.4,297.9,417.0,380.6,595.0,955.2,764.2328198134636
Cows,520+,Processor,D,4,2,1,218.0,218.0,218,4.0,427.5,427.5,427.5,1144.5,1144.5,1144.5
