Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 27/11/2024
Comparison Date: 20/11/2024
Total Yarding: 2105 (-156)
Commentary
"A small decrease in supply by 155 head resulted in 2105 cattle penned this week. Quality was very mixed, representing the lengthening dry season and smaller mixed lines being presented for sale. All regular processors operated on the fewer numbers of prime cattle offered along with one live exporter, regular feeders and opportunity restockers. Cattle were drawn from across the north down to the local area.

Processor demand was good for the reduced supply of well finished types, most  categories were firm to 5c dearer, particularly for the better quality types and those displaying weight, however plainer steers and cows eased 12c to 15c/kg. Restocker demand continued to improve for good quality, well bred younger cattle.

A good sample of young lightweight suitably weaned steers returning to the paddock averaged 271c to 306c, reaching a top of 358c/kg. Similar heifers also returning to grass made to 254c to average 240c, well covered heifers to processors averaged 241c/kg.  Very good quality young steers above 200kg to backgrounders reached 358c to average 317c, lesser types averaged 269c/kg. Light yearling steers above 200kg returning to the paddock made to 328c for a small sample of well bred types, the majority selling from 218c to 298c to average 236c/kg. Steers above 330kg to feed averaged 229c to 305, selling to 328c, steers to live export made 290c/kg. Yearling heifers above 280kg to feed sold to 262c to average 257c/kg.

Grown steers above 400kg suitable for live export sold to 284c, steers to the trade reached 302c to average 296c/kg. Heavy grown steers to processors sold to an isolated 326c most from 310c to 318c/kg.  Heavy well finished grown heifers to processors sold to 312c, a good sample averaging 269c/kg. A small number of heavy full mouthed bullocks to export slaughter topped at 310c multiple times to average 308c/kg. Medium weight 3 score cows to processors sold to 272c to average 256c, a limited number of prime heavyweight 3 and 4 score cows made from 268c to 290c/kg. Heavy bulls suitable for live export made from 250 to 294c, most around 280c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,21,NQ,130.0,130.0,130,NQ,250.0,250.0,250.0,240.5,240.5,240.5
Yearling Steer,200-280,Feeder,C,2,11,10,312.0,312.0,312,56.0,600.0,600.0,600.0,864.2,864.2,864.2399680397727
Yearling Steer,200-280,Feeder,D,2,67,53,140.0,232.0,203.5820895522388,24.4,269.2,446.2,391.5,378.0,570.0,487.34328358208955
Yearling Steer,200-280,Processor,D,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,560.0,560.0,560
Yearling Steer,200-280,Restocker,C,2,18,2,302.0,328.0,326.55555555555554,60.6,580.8,630.8,628.0,845.6,918.4,914.3555976019966
Yearling Steer,200-280,Restocker,D,2,64,47,140.0,298.0,235.5,-19.2,269.2,573.1,452.9,343.0,819.5,601.8531494140625
Yearling Steer,280-330,Feeder,C,2,27,26,250.0,322.0,311.18518518518516,59.2,480.8,619.2,589.2,750.0,982.8,966.9185022424768
Yearling Steer,280-330,Feeder,D,2,10,4,222.0,246.0,241.6,6.6,426.9,473.1,464.6,713.4,732.6,718.9600219726562
Yearling Steer,280-330,Live Export,D,2,7,NQ,282.0,282.0,282,NQ,542.3,542.3,542.3,803.7,846.0,809.7428850446429
Yearling Steer,280-330,Processor,D,2,1,-8,170.0,170.0,170,-4.4,326.9,326.9,326.9,493.0,493.0,493
Yearling Steer,280-330,Restocker,C,2,21,NQ,298.0,328.0,325.14285714285717,NQ,573.1,630.8,625.3,953.6,967.6,966.2666829427084
Yearling Steer,280-330,Restocker,D,2,37,NC,206.0,300.0,249.1891891891892,-37.5,396.2,576.9,479.2,587.1,855.0,734.6675596494932
Yearling Steer,330-400,Feeder,C,2,68,NQ,286.0,328.0,305.3529411764706,NQ,539.6,618.9,583.0,1015.3,1246.4,1115.014705882353
Yearling Steer,330-400,Feeder,D,2,32,19,210.0,254.0,228.9375,-56.6,403.8,488.5,440.3,714.0,912.0,846.9218807220459
Yearling Steer,330-400,Live Export,D,2,3,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,986.0,986.0,986
Yearling Steer,330-400,Processor,D,2,2,-2,140.0,248.0,194,-41.0,274.5,476.9,375.7,518.0,992.0,755
Yearling Steer,330-400,Restocker,D,2,17,10,200.0,246.0,240.94117647058823,-66.8,384.6,473.1,463.3,720.0,836.4,825.0529641544117
Yearling Steer,400+,Feeder,C,2,1,NC,296.0,296.0,296,4.0,558.5,558.5,558.5,1332.0,1332.0,1332
Yearling Steer,400+,Feeder,D,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,1008.0,1008.0,1008
Yearling Heifer,0-200,Feeder,D,2,6,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,331.5,331.5,331.5
Yearling Heifer,200-280,Feeder,C,2,2,-19,250.0,250.0,250,10.0,480.8,480.8,480.8,675.0,675.0,675
Yearling Heifer,200-280,Feeder,D,2,20,-7,220.0,260.0,254.2,20.6,423.1,500.0,488.8,532.8,728.0,700.6799987792969
Yearling Heifer,200-280,Processor,D,2,3,-13,160.0,160.0,160,-79.8,307.7,307.7,307.7,400.0,424.0,416
Yearling Heifer,200-280,Restocker,C,2,19,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,678.4,678.4,678.4000308388158
Yearling Heifer,200-280,Restocker,D,2,3,-3,150.0,150.0,150,-84.0,288.5,288.5,288.5,375.0,375.0,375
Yearling Heifer,280-330,Feeder,C,2,41,33,250.0,262.0,256.8780487804878,10.9,480.8,503.8,494.0,725.0,838.4,777.3609946646342
Yearling Heifer,280-330,Processor,D,2,12,-7,200.0,260.0,238,-0.5,384.6,500.0,457.7,580.0,780.0,727.5
Yearling Heifer,280-330,Restocker,D,2,11,8,210.0,280.0,216.36363636363637,66.4,403.8,538.5,416.1,619.5,812.0,637
Yearling Heifer,330-400,Feeder,D,2,7,-74,242.0,242.0,242,-33.1,465.4,465.4,465.4,834.9,834.9,834.9000418526786
Yearling Heifer,330-400,Processor,D,2,1,NC,180.0,180.0,180,-76.0,346.2,346.2,346.2,684.0,684.0,684
Vealer Steer,0-200,Feeder,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,330.0,330.0,330
Vealer Steer,0-200,Restocker,C,2,104,NQ,282.0,358.0,306,NQ,542.3,688.5,588.5,457.6,716.0,556.5298039362981
Vealer Steer,0-200,Restocker,D,2,157,18,220.0,312.0,270.90445859872614,11.8,423.1,600.0,521.0,376.2,577.2,511.2280310369601
Vealer Steer,200-280,Feeder,C,2,25,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,775.0,837.0,804.76
Vealer Steer,200-280,Feeder,D,2,18,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,788.8,788.8,788.7999674479166
Vealer Steer,200-280,Processor,D,2,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,625.0,625.0,625
Vealer Steer,200-280,Restocker,C,2,86,48,306.0,358.0,317.04651162790697,35.6,588.5,688.5,609.7,651.0,859.2,742.4697776617006
Vealer Steer,200-280,Restocker,D,2,109,-21,225.0,312.0,269.3211009174312,-44.0,432.7,600.0,517.9,563.3,707.2,659.7293622778096
Vealer Heifer,0-200,Feeder,C,2,18,NQ,216.0,216.0,216,NQ,415.4,415.4,415.4,399.6,399.6,399.6000162760417
Vealer Heifer,0-200,Feeder,D,2,17,NQ,180.0,228.0,214,NQ,346.2,438.5,411.5,275.5,364.8,338.2529296875
Vealer Heifer,0-200,Processor,D,2,1,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,414.0,414.0,414
Vealer Heifer,0-200,Restocker,C,2,26,15,224.0,234.0,224.3846153846154,-15.6,430.8,450.0,431.5,425.6,468.0,427.2307692307692
Vealer Heifer,0-200,Restocker,D,2,64,37,100.0,254.0,240.3125,-5.2,192.3,488.5,462.1,170.0,444.5,402.3187437057495
Vealer Heifer,200-280,Feeder,D,2,6,-5,180.0,200.0,196.66666666666666,-15.3,346.2,384.6,378.2,396.0,440.0,432.6666666666667
