Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 28/02/2024
Comparison Date: 14/02/2024
Total Yarding: 565 (-2752)
Commentary
"Widespread rain over the past fortnight resulted in a smaller yarding of 565 cattle. The mixed quality consisted of some good pens of heavy cows, supported by several small lines of store steers and heifers.  Demand was solid throughout with three regular processors operating, supported by two live exporters, one central backgrounder along with opportunity traders and local restockers. Cattle were drawn from Richmond and east to the local area.

A small sample of suitably weaned steers returning to grass averaged 310c selling to 318c, similar heifers to backgrounders made to 288c/kg. Yearling steers above 330kg to live export reached 301c, most selling from 266c to 288c/kg. Yearling heifers above 280kg to restockers reached 268c to average 265c, processor types sold to 258c to average 233c/kg.

A small offering of grown steers to live export sold to 292c to average 288c,  well finished steers to processors averaged 286c/kg. Heavy grown heifers to processors reached 256c to average 254c/ kg.

A very small sample of heavy bullocks to processors topped at 300c to average 293c/kg. Medium weight 2 score cows  made to 238c to average 221c to 229c and prime heavyweight cows also reached 238c to average 237c/kg.  Heavy bulls to processors averaged 272c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Live Export,D,2,1,-15,276.0,276.0,276,2.0,530.8,530.8,530.8,759.0,759.0,759
Yearling Steer,200-280,Restocker,D,2,6,-110,124.0,204.0,150.66666666666666,-103.0,238.5,392.3,289.7,341.0,540.6,407.5333251953125
Yearling Steer,280-330,Feeder,D,2,4,-75,218.0,242.0,227,-44.3,419.2,465.4,436.5,621.3,747.5,676
Yearling Steer,280-330,Live Export,C,2,5,-35,272.0,272.0,272,0.7,523.1,523.1,523.1,870.4,870.4,870.4
Yearling Steer,280-330,Restocker,D,2,15,-23,220.0,220.0,220,-72.1,423.1,423.1,423.1,649.0,649.0,649
Yearling Steer,330-400,Feeder,D,2,11,-52,204.0,226.0,224,-63.8,392.3,434.6,430.8,714.0,757.1,753.1818181818181
Yearling Steer,330-400,Live Export,C,2,7,NQ,260.0,318.0,301.42857142857144,NQ,500.0,611.5,579.7,923.0,1065.3,1024.642857142857
Yearling Steer,330-400,Live Export,D,2,2,-139,220.0,220.0,220,-62.5,423.1,423.1,423.1,774.4,774.4,774.4000244140625
Yearling Steer,400+,Live Export,D,3,1,NQ,276.0,276.0,276,NQ,520.8,520.8,520.8,1311.0,1311.0,1311
Yearling Steer,400+,Processor,C,2,1,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,1134.6,1134.6,1134.5999755859375
Yearling Steer,400+,Processor,C,3,26,NQ,244.0,282.0,278.53846153846155,NQ,451.9,524.5,520.7,1171.2,1395.9,1316.876981295072
Yearling Steer,400+,Processor,D,3,3,NQ,244.0,244.0,244,NQ,460.4,460.4,460.4,1110.2,1110.2,1110.199951171875
Yearling Heifer,200-280,Feeder,D,2,7,-31,220.0,220.0,220,19.9,423.1,423.1,423.1,605.0,605.0,605
Yearling Heifer,200-280,Processor,D,2,4,-45,226.0,226.0,226,14.0,434.6,434.6,434.6,632.8,632.8,632.7999877929688
Yearling Heifer,200-280,Restocker,D,2,1,-25,230.0,230.0,230,11.5,442.3,442.3,442.3,621.0,621.0,621
Yearling Heifer,280-330,Feeder,D,2,1,-175,220.0,220.0,220,-7.8,423.1,423.1,423.1,638.0,638.0,638
Yearling Heifer,280-330,Processor,D,2,19,-7,226.0,252.0,232.8421052631579,1.7,434.6,484.6,447.8,745.8,806.4,761.7473787006579
Yearling Heifer,280-330,Restocker,C,2,13,-27,262.0,268.0,265.6923076923077,15.3,503.8,515.4,510.9,812.2,884.4,856.6307842548077
Yearling Heifer,280-330,Restocker,D,2,2,-14,262.0,262.0,262,26.0,503.8,503.8,503.8,799.1,799.1,799.0999755859375
Yearling Heifer,330-400,Feeder,D,2,6,-116,236.0,254.0,248,4.7,453.8,488.5,476.9,826.0,889.0,868
Yearling Heifer,330-400,Processor,C,2,13,11,240.0,258.0,251.07692307692307,11.1,461.5,496.2,482.8,852.0,967.5,923.0769230769231
Yearling Heifer,330-400,Processor,D,2,7,5,226.0,226.0,226,26.0,434.6,434.6,434.6,802.3,802.3,802.3000139508929
Yearling Heifer,330-400,Restocker,D,2,4,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,864.3,864.3,864.2999877929688
Vealer Steer,200-280,Restocker,C,2,10,-4,304.0,304.0,304,49.9,584.6,584.6,584.6,790.4,790.4,790.4
Vealer Steer,200-280,Restocker,D,2,21,-114,318.0,318.0,318,57.4,611.5,611.5,611.5,715.5,715.5,715.5
