Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 28/08/2024
Comparison Date: 14/08/2024
Total Yarding: 2727 (+962)
Commentary
"Numbers lifted by 962 on the last reported sale a fortnight ago to 2727 cattle. Quality was mixed throughout, comprising of several small lines of well finished heavy bullocks and cows, a very good line of feeder steers, supported by a large number of lightweight wearers. The buyer panel increased with additional processor attendance, along with regular feeders, opportunity backgrounders and restockers. Cattle were drawn from Mt Isa to Croydon, McKinlay to Pentland, local and coastal areas.

Increased processor demand resulted in further improved averages for suitable feeder and processor categories with grown steers to processors lifting 20c to 25c, heavy cows improved by 5c to 13c, bullocks rose 40c and heavy bulls were mostly firm. Good quality young cattle sold to an enthusiastic panel of buyers, however lesser quality lightweight lines met limited demand. 

A good selection of suitably weaned.light steers returning to grass averaged 264c selling to 286c, best quality steers above 200kg averaged 278c/kg. Similar restocker heifers sold to 247c to average 244c, processor heifers averaged 230c/kg. Mixed quality yearling steers above 200kg made to 266c to average 251c, while a good supply of heavier steers above 330kg to feed sold stronger, reaching 320c to average 299c/kg. Several small lines of yearling heifers sold according to quality with trade types making to 278c to average 275c, best feeder heifers above 330kg selling to 267c to average 261c/kg. 

Grown steers above 400kg to feed made to 326c to average 321c/kg. Grown steers above 400kg to the trade reached 318c to average 293c, heavy steers above 500kg sold to 324c to average 321c/kg. Good quality heavy grown heifers to the trade sold to 302c to average 286c/kg.

A good sample of heavy bullocks to export slaughter topped at 338c, averaging 324c to 331c/kg. Medium weight 2 score cows made to 258c to average 248c, 3 scores reached 284c to average from 258c to 268c and prime heavyweight 3 and 4 score cows topped at 286c to average 272c to 281c/kg. Heavy bulls to processors sold to 268c to average 260c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Feeder,D,2,2,NQ,198.0,198.0,198,NQ,380.8,380.8,380.8,336.6,336.6,336.6000061035156
Yearling Steer,200-280,Feeder,D,2,14,-3,170.0,246.0,220.57142857142858,-47.4,326.9,473.1,424.2,408.0,651.9,562.8357195172991
Yearling Steer,200-280,Feeder,E,2,1,NQ,50.0,50.0,50,NQ,98.0,98.0,98.0,127.5,127.5,127.5
Yearling Steer,200-280,Processor,D,2,4,3,200.0,220.0,215,55.0,384.6,423.1,413.5,473.0,540.0,489.75
Yearling Steer,200-280,Restocker,C,2,22,NQ,266.0,278.0,273.6363636363636,NQ,511.5,534.6,526.2,731.5,778.4,761.3454811789773
Yearling Steer,200-280,Restocker,D,2,88,76,180.0,266.0,250.88636363636363,-7.3,346.2,511.5,482.5,405.0,705.6,641.7272616299716
Yearling Steer,280-330,Feeder,C,2,7,-27,256.0,256.0,256,-17.4,492.3,492.3,492.3,832.0,832.0,832
Yearling Steer,280-330,Feeder,D,2,16,-8,210.0,268.0,241.25,-12.2,403.8,515.4,463.9,682.5,775.0,747.4687538146973
Yearling Steer,280-330,Restocker,D,2,10,-12,236.0,236.0,236,-39.7,453.8,453.8,453.8,684.4,684.4,684.4
Yearling Steer,330-400,Feeder,C,2,128,97,274.0,320.0,298.875,4.4,520.8,603.8,568.3,924.6,1248.0,1078.40625
Yearling Steer,330-400,Feeder,D,2,21,-77,220.0,260.0,254.95238095238096,-12.6,423.1,500.0,490.3,793.5,884.0,871.0523797898065
Yearling Steer,330-400,Processor,D,3,1,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,802.4,802.4,802.4000244140625
Yearling Steer,400+,Feeder,D,2,5,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,1146.8,1146.8,1146.8
Yearling Steer,400+,Processor,D,3,11,NQ,288.0,288.0,288,NQ,553.8,553.8,553.8,1224.0,1224.0,1224
Yearling Heifer,200-280,Feeder,C,2,5,NQ,236.0,240.0,237.6,NQ,453.8,461.5,456.9,660.8,672.0,665.27998046875
Yearling Heifer,200-280,Feeder,D,2,9,-16,170.0,242.0,224.88888888888889,61.1,326.9,465.4,433.3,408.0,665.5,600.500003390842
Yearling Heifer,200-280,Processor,D,2,14,8,120.0,228.0,213.42857142857142,31.4,230.8,438.5,410.4,336.0,524.4,501.34286063058033
Yearling Heifer,200-280,Restocker,D,2,23,19,176.0,218.0,179.30434782608697,-10.7,338.5,419.2,344.8,475.2,523.2,478.9956611965014
Yearling Heifer,200-280,Restocker,E,2,16,15,62.0,150.0,95,-9.0,121.6,294.1,186.3,167.4,322.5,225.5625
Yearling Heifer,280-330,Feeder,C,2,32,25,242.0,264.0,252.5625,14.8,465.4,507.7,485.7,726.0,832.0,771.7625045776367
