Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 29/05/2024
Comparison Date: 22/05/2024
Total Yarding: 3162 (-744)
Commentary
"Numbers fell by 744 for a yarding of 3162 cattle. Quality was very good for the majority on offer comprising of large lines of well finished cows along with some high quality crossbred store lines. All processes were in attendance and operating, supported by regular feeders, one live exporter, central and western restockers. Cattle Were drawn from Mt Isa, Burketown, Normanton, Einasleigh, Hughenden, local and coastal areas.

Processor demand was firm throughout and good quality store lines were well supported, however lightweight and lesser quality lines attracted minimal support and were difficult to sell. Grown steers and bullocks lift7-20c, medium weight cows averaged firm to 5c higher and heavy bulls eased 18-25c/kg.

A large sample of young weaned crossbred steers above 200kg to backgrounders averaged 327c, selling to 356c, Brahman steers averaged 252c/kg. Good quality cross bred heifers returning to the paddock reached 220c/kg.. Light yearling steers to restockers sold to 260c to average 253c and steers above 330kg to grass averaged 258c/kg. Yearling steers from 280kg to 380kg to live export averaged 210c to 228c/kg. Yearling heifers above 200kg to restockers made to 198c to average 178c, heifers above 280 kg returning to the paddock averaged 213c and heifers to feed sold to 210c to average 201c/kg. Heifers above 330kg to the trade sold to 224c to average 193c to 215c/kg.

Fewer numbers of grown steers above 400kg to the trade reached 260c to average 236c/kg. Best quality grown heifers made to 220c to average 204c/kg. A small sample of young bullocks to processors sold to 242c, most selling from 210c to 230c/kg. Fewer numbers of grown cows met solid demand. Medium weight 3 score cows sold to 204c to average from 185c to 189c, prime heavyweight 4 score cows topped at 219c to average 215c/kg. Heavy bulls to processors sold to 222c to average 170c/kg.

A small number of cows and calves sold from $900 to $950/unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,6,-4,160.0,160.0,160,-17.6,307.7,307.7,307.7,408.0,408.0,408
Yearling Steer,200-280,Feeder,E,2,1,NQ,218.0,218.0,218,NQ,419.2,419.2,419.2,566.8,566.8,566.7999877929688
Yearling Steer,200-280,Live Export,C,2,15,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,613.6,613.6,613.6
Yearling Steer,200-280,Live Export,D,2,11,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,514.5,514.5,514.5
