Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 30/10/2024
Comparison Date: 
Total Yarding: 2112 (NQ)
Commentary
"The supply of cattle fell by more than 850 for a yarding of 2112 cattle.  Quality was very mixed, consisting of fewer numbers of heavy prime bullocks and cows and increased numbers of bulls and small mixed lines of store steers and heifers. All regular processors were in attendance and operating, supported by one live exporter and one feeder operator. Cattle were drawn from Croydon, Richmond, Ingham, local and coastal areas.

Quality lines continued to attract solid demand, with lesser quality types difficult to sell. Bullocks improved 5c to 9c, lightweight cows lifted 17c, medium weights firm to 4c better and bulls averaged 6c to 15c lower.

Suitably weaned heifers returning to grass sold to 240c to average 240c, limited numbers of processor types averaged 190c/kg. Better quality yearling steers above 200kg to restockers made from 264c to 292c, steers above 280kg also made 292c/kg. Steers above 280kg to feed reached 308c averaging 306c and steers suitable for live export topped at 308c to average 306c/kg. Yearling heifers above 280kg to feed sold to 256c to average 225c to 245c/kg. Heifers above 330kg to processors made to 272c to average 252c/kg.
Grown steers above 400kg suitable for live export sold to 304c, most around 294c, trade types reached 300c to average 295c/kg. Heavy steers above 500kg sold to 314c to average 299c/kg. Good quality grown heifers to the trade made to 288c averaging from 255c to 269c/kg. 

Heavy full mouthed bullocks to export slaughter topped at 328c, averaging 306c to 327c/kg. Medium weight 2 score cows made to 250c to average 230c, 3 scores reached 268c, averaging from 252c to 264c and a small number of prime heavyweight cows made 268c multiple times to average 266c/kg.

Heavy bulls to live export reached 304c averaging 274c to 280c and processor bulls made from  208c to 298c/kg.

Pens of cows and calves sold to $925 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,2,-22,180.0,240.0,210,17.5,346.2,461.5,403.8,450.0,612.0,531
Yearling Steer,200-280,Restocker,C,2,28,7,292.0,292.0,292,6.0,561.5,561.5,561.5,759.2,759.2,759.1999860491071
Yearling Steer,200-280,Restocker,D,2,38,-26,216.0,284.0,262.63157894736844,32.8,415.4,546.2,505.1,529.2,705.6,628.5473857678866
Yearling Steer,280-330,Feeder,C,2,20,-7,296.0,308.0,305.6,18.3,569.2,592.3,587.7,954.8,970.2,958.5499755859375
Yearling Steer,280-330,Feeder,D,2,18,NQ,140.0,254.0,158.55555555555554,NQ,269.2,488.5,304.9,427.0,812.8,485.7111104329427
Yearling Steer,280-330,Live Export,C,2,11,NQ,302.0,302.0,302,NQ,580.8,580.8,580.8,951.3,951.3,951.2999822443181
Yearling Steer,280-330,Live Export,D,2,16,NQ,244.0,306.0,280.25,NQ,469.2,588.5,538.9,756.4,933.3,828.1437454223633
Yearling Steer,280-330,Restocker,C,2,28,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,905.2,905.2,905.1999860491071
Yearling Steer,280-330,Restocker,D,2,1,-16,220.0,220.0,220,15.3,423.1,423.1,423.1,649.0,649.0,649
Yearling Steer,330-400,Live Export,D,2,13,NQ,256.0,280.0,266.61538461538464,NQ,492.3,538.5,512.7,870.4,1003.8,939.3000300480769
Yearling Heifer,200-280,Feeder,D,2,32,25,150.0,200.0,164.75,-58.7,288.5,384.6,316.8,328.0,540.0,370.80000019073486
Yearling Heifer,200-280,Processor,D,2,32,NQ,180.0,230.0,190.9375,NQ,346.2,442.3,367.2,468.0,632.5,503.984375
Yearling Heifer,200-280,Restocker,C,2,17,NQ,235.0,235.0,235,NQ,451.9,451.9,451.9,564.0,564.0,564
Yearling Heifer,200-280,Restocker,D,2,35,4,180.0,240.0,208,-2.2,346.2,461.5,400.0,387.0,564.0,472.48571428571427
Yearling Heifer,280-330,Feeder,C,2,20,-52,238.0,256.0,245.2,-11.6,457.7,492.3,471.5,761.6,832.0,789.7599609375
