Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 31/07/2024
Comparison Date: 24/07/2024
Total Yarding: 3247 (+338)
Commentary
"
Numbers increased by 338 with 3247 cattle penned . Quality was good for the majority penned, consisting of more than 1100 cows, supported by some good heavy bullocks and prime yearlings and some larger lines of store steers and heifers. The buyer panel was similar to last sale with all operating including one live exporter, central backgrounders and opportunity restockers. Cattle were drawn from Mt Isa to Georgetown, east to Tully and south to the local area.

Young steers and heifers to restockers lifted 15c to 35c, steers above 280kg lifted by up to 69c/kg. Grown steers and heifers improved by 8c to 40c, cows eased by 11c to 25c, bullocks were mostly firm and heavy bulls to live export lifted by up to 20c/kg.

Young weaned steers returning to the paddock averaged 280c reaching 306c for cross bred types, with similar heifers to processors selling to 244c to average 226c/kg. Light yearling steers to restockers made to 280c, to average 257c/kg. Yearling steers above 280kg to feed sold to 264c to average 257c and a good sample above 330kg to feed made to 270c to average 258c/kg. Good quality steers above 400kg to feed made to and averaged 304c/kg. A large sample of light yearling heifers to feed reached 228c to average 175c and feeder heifers above 280kg averaged 240c/kg. Good quality prime yearling heifers to processors topped at 270c to average 258c to 268c/kg.

Grown steers above 400kg to feed sold to 312c, most around 270c, steers suitable for live export made to 282c and heavy steers to the trade topped at 312c to average 298c/kg. An increased supply of heavy prime grown heifers reached 276c to average from 230c to 273c/kg. 

Heavy bullocks to export slaughter topped at 284c to average 251c to 259c and young bullocks to live export made to 308c to average 184c/kg.
A further lift in the supply of cows saw values ease on last week. Medium weight 2 score cows to processors sold to 220c to average 217c, 3 scores reached 248c to average from 227c to 236c and prime heavyweight cows topped at 252c to average from 232c to 244c/kg. Heavy bulls to live export made to 292c to average near 290c/kg and bulls to processors made from 224c to 292c/kg.

A small number of cows and calves sold from $700 to $1,020 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,E,2,1,NQ,80.0,80.0,80,NQ,156.9,156.9,156.9,172.0,172.0,172
Yearling Steer,200-280,Processor,D,2,15,NQ,208.0,240.0,237.86666666666667,NQ,400.0,461.5,457.4,561.6,660.0,647.0399983723959
Yearling Steer,200-280,Restocker,D,2,87,26,244.0,280.0,256.57471264367814,16.3,469.2,538.5,493.4,587.5,756.0,633.3655318336926
Yearling Steer,280-330,Feeder,C,2,9,2,276.0,276.0,276,53.1,530.8,530.8,530.8,855.6,855.6,855.5999891493055
Yearling Steer,280-330,Feeder,D,2,57,55,178.0,264.0,257.12280701754383,69.1,342.3,507.7,494.5,542.9,871.2,834.924575537966
Yearling Steer,280-330,Processor,C,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,696.0,696.0,696
Yearling Steer,280-330,Restocker,C,2,13,7,252.0,270.0,267.2307692307692,37.2,484.6,519.2,513.9,743.4,850.5,834.0230806790865
Yearling Steer,330-400,Feeder,C,2,84,39,240.0,270.0,258,-2.4,461.5,509.4,492.1,816.0,999.0,910.4047648111979
Yearling Steer,330-400,Feeder,D,2,7,6,200.0,264.0,245.71428571428572,-4.3,384.6,507.7,472.5,670.0,897.6,832.5714285714286
Yearling Steer,330-400,Processor,D,2,2,NQ,186.0,186.0,186,NQ,357.7,357.7,357.7,632.4,632.4,632.4000244140625
Yearling Steer,330-400,Restocker,C,2,35,NQ,275.0,296.0,287.25714285714287,NQ,528.8,558.5,549.0,948.8,1036.0,980.9799665178572
Yearling Steer,400+,Feeder,C,2,13,NQ,260.0,292.0,280.9230769230769,NQ,500.0,550.9,530.8,1079.0,1328.6,1218.8769155649038
Yearling Steer,400+,Feeder,C,3,42,NQ,304.0,304.0,304,NQ,563.0,563.0,563.0,1368.0,1413.6,1391.8856956845239
Yearling Steer,400+,Processor,C,3,4,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1296.0,1296.0,1296
Yearling Steer,400+,Processor,D,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,729.0,729.0,729
Yearling Heifer,200-280,Feeder,C,2,20,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,637.2,637.2,637.2
Yearling Heifer,200-280,Feeder,D,1,9,NQ,180.0,180.0,180,NQ,352.9,352.9,352.9,369.0,369.0,369
Yearling Heifer,200-280,Feeder,D,2,194,140,70.0,228.0,174.60824742268042,-36.1,137.3,438.5,335.8,182.0,567.0,419.2804093508376
Yearling Heifer,200-280,Feeder,E,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,258.0,258.0,258
Yearling Heifer,200-280,Processor,C,2,2,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,622.2,622.2,622.2000122070312
Yearling Heifer,200-280,Processor,D,2,5,NQ,180.0,238.0,207.6,NQ,346.2,457.7,399.2,414.0,547.4,473.0800048828125
Yearling Heifer,280-330,Feeder,C,2,61,27,238.0,244.0,239.5737704918033,6.4,457.7,469.2,460.7,725.9,756.4,741.7032850922132
Yearling Heifer,280-330,Feeder,D,2,11,-14,232.0,232.0,232,-3.3,446.2,446.2,446.2,754.0,754.0,754
Yearling Heifer,280-330,Processor,C,2,7,5,248.0,250.0,248.85714285714286,2.9,476.9,480.8,478.6,750.0,781.2,767.8285784040179
Yearling Heifer,330-400,Feeder,C,2,1,-20,254.0,254.0,254,-2.0,488.5,488.5,488.5,939.8,939.8,939.7999877929688
Yearling Heifer,330-400,Processor,C,2,5,-10,240.0,254.0,246.8,-13.2,461.5,488.5,474.6,852.0,950.0,893.5199951171875
Yearling Heifer,330-400,Processor,D,2,9,7,246.0,246.0,246,56.0,473.1,473.1,473.1,971.7,971.7,971.6999782986111
Yearling Heifer,330-400,Processor,D,3,50,NQ,248.0,268.0,258,NQ,476.9,515.4,496.2,942.4,1072.0,1007.2
Yearling Heifer,400+,Feeder,C,2,10,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,1096.5,1096.5,1096.5
Yearling Heifer,400+,Feeder,C,3,2,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,969.0,969.0,969
Yearling Heifer,400+,Processor,C,3,26,21,228.0,270.0,268.38461538461536,-6.4,430.2,509.4,506.4,1003.2,1188.0,1180.8923081618088
Vealer Steer,200-280,Restocker,C,2,88,-10,260.0,306.0,282.40909090909093,25.5,500.0,588.5,543.1,567.6,745.0,655.625
Vealer Steer,200-280,Restocker,D,2,76,NQ,264.0,288.0,278,NQ,507.7,553.8,534.6,557.6,662.4,598.2421208431846
Vealer Heifer,0-200,Feeder,D,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,340.0,340.0,340
Vealer Heifer,0-200,Feeder,E,2,5,NQ,165.0,165.0,165,NQ,317.3,317.3,317.3,297.0,297.0,297
Vealer Heifer,0-200,Processor,C,2,27,NQ,210.0,222.0,215.62962962962962,NQ,403.8,426.9,414.7,357.0,402.8,399.91851128472223
Vealer Heifer,0-200,Processor,D,2,32,31,140.0,180.0,178.75,23.8,269.2,346.2,343.7,210.0,333.0,329.15625
Vealer Heifer,200-280,Feeder,C,2,17,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,653.4,653.4,653.4000459558823
Vealer Heifer,200-280,Processor,C,2,219,172,210.0,244.0,225.74429223744292,35.7,403.8,469.2,434.1,447.3,622.2,510.6936068600171
Vealer Heifer,200-280,Restocker,C,2,1,-43,242.0,242.0,242,15.0,465.4,465.4,465.4,580.8,580.8,580.7999877929688
Manufacturing Steer,0-540,Feeder,D,2,23,NQ,108.0,258.0,251.47826086956522,NQ,211.8,496.2,483.8,442.8,1006.2,981.7043642790421
Manufacturing Steer,0-540,Feeder,D,3,1,-1,250.0,250.0,250,24.0,471.7,471.7,471.7,1275.0,1275.0,1275
Manufacturing Steer,0-540,Feeder,E,3,1,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,1008.0,1008.0,1008
Manufacturing Steer,0-540,Live Export,D,3,17,NQ,251.0,308.0,283.94117647058823,NQ,464.8,570.4,525.8,1292.7,1647.8,1493.1558837890625
Manufacturing Steer,0-540,Processor,D,2,15,14,250.0,250.0,250,48.0,480.8,480.8,480.8,1087.5,1087.5,1087.5
