Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 5604 (-1867)
Commentary
"The supply of stock at Dalby reduced by 1,867 head however still remained the highest in the nation at 5,604 head. The regular panel of export and feeder buyers were in attendance and operating plus a good lineup of restockers. 

Light weight yearling steers returning to the paddock averaged 8c to 10c/kg better. Medium and heavy weight yearling steers to feed sold to a dearer trend with top end quality lines noticeably better. Light weight yearling heifers to restockers were the highlight of the sale to average 25c to 30c/kg dearer. Heavy grown steers and bullocks generally sold to a firm market. Cows were firm to 3c/kg less. 

Light weight yearling steers to restockers made to a top of 472c to average from 408c to 419c/kg. Yearling steers to feed for the domestic market sold to a high of 440c to average 391c/kg. Heavy weight yearling steers to feed made to 403c to average 389c with one consignment of 99 head making 400c/kg. A good selection of light weight yearling heifers returning to the paddock made to 360c with most sales from 325c to 343c/kg. Medium weight yearling heifers to feed made to 360c to average 329c and a run of 126 head made 354c/kg.  Heavy weight yearling heifers to feed averaged 334c and made to 350c/kg.

 A small sample of bullocks made to 350c/kg. Medium weight 2 score cows averaged 255c and made to 265c/kg. Medium weight 3 scores made to 279c to average 269c/kg. Heavy weight 3 score cows averaged 273c and the best of the cows made to 290c to average 285c/kg. Heavy weight bulls made to 293c/kg.	
Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,369,-11,358.2,472.2,419.30841246400746,8.1,651.3,858.5,762.4,895.5,1216.1,1061.618590812373
Yearling Steer,200-280,Restocker,D,2,69,-47,310.0,348.2,336.23479428498644,4.9,563.6,633.1,611.3,752.5,946.5,867.8189750339674
Yearling Steer,280-330,Feeder,C,2,29,-21,370.0,410.2,400.4965651939655,14.2,672.7,745.8,728.2,1110.0,1274.2,1228.9517106681035
Yearling Steer,280-330,Restocker,C,2,124,-15,356.2,456.2,408.688726609753,10.2,647.6,829.5,743.1,1100.7,1414.2,1229.6912172379032
Yearling Steer,280-330,Restocker,D,2,2,-20,310.0,310.0,310,-14.5,563.6,563.6,563.6,930.0,930.0,930
Yearling Steer,330-400,Feeder,C,2,434,-160,332.2,440.2,391.1553136588242,1.8,604.0,800.4,711.4,1129.5,1540.7,1415.1822048486104
Yearling Steer,330-400,Feeder,D,2,22,-8,270.0,330.0,300.736366965554,3.5,490.9,600.0,546.8,958.5,1122.0,1062.9054842862215
Yearling Steer,330-400,Feeder,E,2,1,NQ,184.2,184.2,184.1999969482422,NQ,334.9,334.9,334.9,626.3,626.3,626.280029296875
Yearling Steer,330-400,Processor,E,2,3,NQ,236.2,236.2,236.19999186197916,NQ,429.5,429.5,429.5,803.1,803.1,803.0799967447916
Yearling Steer,400+,Feeder,C,2,561,-88,320.0,403.2,386.93940394872436,2.1,581.8,746.5,705.7,1485.0,1842.3,1665.3996386196525
Yearling Steer,400+,Feeder,D,2,19,-57,280.0,320.0,302.11579011615953,-13.1,509.1,581.8,549.3,1148.8,1440.0,1284.4642141241777
