Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 06/11/2024
Comparison Date: 
Total Yarding: 5943 (NQ)
Commentary
"The number of cattle penned at Dalby increased by 1,782 head to 5,943. Once again this week there was another large run of 642 head from one vendor in New South Wales. Large numbers of heavy bullocks continued to come forward. A fair panel of buyers covering all classes was present and active however the southern export processors were absent.

Young cattle varied in price according to the quality penned however most were firm to slightly better. Despite the large supply all classes of bullocks experienced strong competition. Cows were firm to 3c to 4c/kg better.

Light weight yearling steers returning to the paddock made to 440c with most sales from 383c to 386c/kg. Yearling steers to feed for the domestic market made to 395c to average from 361c to 381c/kg. Heavy weight yearling steers to feed averaged 356c with a few pens to 374c/kg. Light weight yearling heifers to restockers made to 334c with most from 292c to 310c/kg. Medium weight yearling heifers to feed made to 344c to average from 310c to 315c/kg. Heavy weight yearling heifers to feed averaged 312c with sales to 342c/kg.

Heavy grown steers to export processors averaged 341c and sold to 344c/kg. Bullocks made to 344c to average 339/kg. A large run of full mouth bullocks made to 330c to average 311c/kg some returning $2,389/head.   Medium weight 2 score cows averaged 250c and made to 266c/kg. Heavy weight 3 score cows averaged 275c and the best of the cows made to 295c to average 287c/kg. Heavy weight bulls made to 315c/kg.      

Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,12,-1,266.2,266.2,266.20001220703125,-28.8,484.0,484.0,484.0,492.5,492.5,492.4700520833333
Yearling Steer,200-280,Restocker,C,2,367,132,348.2,440.2,385.5547799674302,-1.0,633.1,800.4,701.0,766.0,1100.5,959.4930523033038
Yearling Steer,200-280,Restocker,D,2,38,-53,220.0,314.2,290.76316431949016,-24.4,400.0,571.3,528.7,517.0,806.1,744.153166118421
Yearling Steer,280-330,Feeder,C,2,62,25,356.2,370.0,361.5096829322077,-3.9,647.6,672.7,657.3,1015.2,1080.0,1058.4896909652218
Yearling Steer,280-330,Feeder,D,2,2,-5,302.2,302.2,302.20001220703125,-14.7,549.5,549.5,549.5,861.3,861.3,861.27001953125
Yearling Steer,280-330,Restocker,C,2,216,113,348.0,400.2,383.1787120677807,1.6,632.7,727.6,696.7,1009.5,1267.8,1135.7921685112847
Yearling Steer,280-330,Restocker,D,2,14,-60,320.0,330.2,325.471435546875,-6.2,581.8,600.4,591.8,937.3,960.0,940.2564522879464
Yearling Steer,330-400,Feeder,C,2,268,-31,336.2,395.2,381.08955497172343,6.7,611.3,718.5,692.9,1270.9,1448.6,1407.346138569846
Yearling Steer,330-400,Feeder,D,2,19,-11,300.0,302.2,300.61052824321547,-0.3,545.5,549.5,546.6,1095.0,1104.7,1098.6504420230262
Yearling Steer,400+,Feeder,C,2,260,108,330.0,374.2,354.4807880108173,-9.9,600.0,680.4,644.2,1402.5,1781.0,1634.1907789963943
Yearling Steer,400+,Feeder,C,3,19,NQ,335.0,348.2,341.94736842105266,NQ,609.1,633.1,621.7,1591.3,1653.9,1624.25
Yearling Steer,400+,Feeder,D,2,19,-3,252.2,322.2,296.82105455900495,-8.2,458.5,585.8,539.7,1034.0,1530.4,1321.018953022204
Yearling Steer,400+,Processor,C,3,1,-7,321.2,321.2,321.20001220703125,40.5,584.0,584.0,584.0,1686.3,1686.3,1686.300048828125
Yearling Heifer,0-200,Restocker,C,2,2,-4,316.2,316.2,316.20001220703125,46.2,585.6,585.6,585.6,585.0,585.0,584.9700317382812
Yearling Heifer,200-280,Processor,C,2,23,-30,240.0,260.0,253.9826076341712,-0.8,444.4,481.5,470.3,564.0,689.0,663.6626188858696
Yearling Heifer,200-280,Processor,D,2,55,54,228.2,228.2,228.2,-6.0,422.6,422.6,422.6,547.7,547.7,547.6800071022727
Yearling Heifer,200-280,Restocker,C,2,298,41,248.2,334.2,292.74295760801175,-2.9,459.6,618.9,542.1,554.8,869.7,708.0216809983222
