Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 12/03/2025
Comparison Date: 05/03/2025
Total Yarding: 1127 (-2681)
Commentary
"The recent rain event across regions of the local supply area reduced numbers at Dalby to 1,127 head which included 605 from far western QLD and 106 from NSW. All the regular buyers attended however not all operated on a mixed quality penning and any price variations were quality related.

Light weight yearling steers to restockers sold to 435c/kg. Yearling steers over 200kg back to the paddock made 465c to average 402c/kg. Yearling steers over 280kg made 373c/kg. Yearling steers to feed for the domestic market made 376c with those to background at 378c to average from 365c to 370c/kg. Heavy yearling steers to feed sold to 366c to averaged from 340c to 349c/kg. Yearling heifers to feed for the domestic market made 314c to average 303c/kg. Heavy yearling heifers to feed sold to 326c/kg.

A small sample of bullocks to processors sold to 300c with grown heifers at 310c/kg. Light weight 2 score cows to processors improved by 2c selling to 265c and averaging 249c/kg. Score 3 heavy cows to processors made 279c to average 268c/kg. The best heavy cows gained 2c selling to 287c and averaging 281c/kg. Light weight bulls to restockers made 316c to average 306c/kg. Heavy bulls sold to limited competition topping at 270c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,21,9,398.0,435.0,429.7142857142857,-50.3,737.0,805.6,795.8,736.3,804.8,794.971423921131
Yearling Steer,200-280,Processor,C,2,2,NQ,304.0,304.0,304,NQ,563.0,563.0,563.0,836.0,836.0,836
Yearling Steer,200-280,Restocker,C,2,108,-29,306.0,465.0,402.1388888888889,-4.2,566.7,861.1,744.7,780.3,1162.8,1028.1680727358219
Yearling Steer,200-280,Restocker,D,2,3,NQ,293.0,293.0,293,NQ,542.6,542.6,542.6,776.5,776.5,776.4500325520834
Yearling Steer,280-330,Restocker,C,2,61,-47,328.0,373.0,352.1803278688525,-29.5,607.4,690.7,652.2,934.8,1131.0,1021.2286697137552
Yearling Steer,330-400,Feeder,C,2,33,-179,330.0,376.0,365.3939393939394,3.8,611.1,696.3,676.7,1105.5,1485.2,1437.3059599905303
