Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 16/04/2025
Comparison Date: 09/04/2025
Total Yarding: 4072 (-1760)
Commentary
"The approaching run of short working weeks reduced the number of cattle at Dalby by 1,760 head to 4,072. The restrictions on stock movements from the far west of the state is still evident however 360 head from New South Wales were included in the lineup. The turnoff of cows and heifers experienced at most selling centres across the nation continued at Dalby. The regular panel of buyers was present and active across all classes.

Light weight yearling steers and heifers to restockers experienced only quality related price changes with well bred lines receiving strong support. Medium and heavy weight yearling steers to feed averaged 13c to 15c/kg better. Medium and heavy weight yearling heifers to feed improved in price by 10c to 12c/kg. All classes of cows experienced a stronger market to average 5c to 6c/kg dearer.

Light weight yearling steers returning to the paddock made to a top of 500c with a large sample averaging 446c/kg. Yearling steers to feed for the domestic market made to 444c with most sales from 399c to 415c/kg. Heavy weight yearling steers to feed averaged 391c with a very isolated sale to 440c/kg. Light weight yearling heifers returning to the paddock made to 380c to average 330c and poor quality lines averaged 274c/kg. Medium and heavy weight yearling heifers to feed averaged 350c and sold to 380c/kg. 

A handful of bullocks made to 367c and heavy export heifers made to 366c/kg. Medium weight 2 score cows averaged 269c and made to 275c/kg. Heavy weight 3 score cows averaged 289c and the best of the heavy weight cows made to a top of 322c with a fair sample at 307c/kg. Heavy weight bulls were dearer and made to 356c/kg.

Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,8,6,400.0,400.0,400,-30.0,727.3,727.3,727.3,740.0,740.0,740
Yearling Steer,0-200,Restocker,D,2,4,NQ,350.2,350.2,350.20001220703125,NQ,636.7,636.7,636.7,647.9,647.9,647.8700561523438
Yearling Steer,200-280,Restocker,C,2,527,238,394.2,500.2,446.27287625452146,-20.6,716.7,909.5,811.4,985.5,1305.5,1136.4734919799573
Yearling Steer,200-280,Restocker,D,2,41,-47,318.2,380.0,356.4195199361662,41.2,578.5,690.9,648.0,795.5,1007.0,918.4848751905488
Yearling Steer,280-330,Feeder,C,2,121,-1,380.0,444.2,415.19009424635203,-11.8,690.9,807.6,756.0,1134.9,1332.6,1236.2650328076575
Yearling Steer,280-330,Restocker,C,2,128,29,378.2,456.2,420.7156352996826,4.9,687.6,829.5,778.9,1111.5,1368.6,1240.8651390075684
Yearling Steer,280-330,Restocker,D,2,17,7,290.2,356.2,318.6706004423254,-15.7,527.6,647.6,579.4,870.6,1015.2,921.0141350241269
Yearling Steer,330-400,Feeder,C,2,396,137,352.2,440.2,399.26212981252957,15.6,640.4,800.4,726.6,1285.5,1616.7,1449.11998710247
Yearling Steer,330-400,Feeder,D,2,12,-14,310.2,356.2,343.0333557128906,16.3,564.0,647.6,623.7,1163.3,1340.6,1270.0325622558594
Yearling Steer,330-400,Processor,D,2,3,NQ,316.2,316.2,316.20001220703125,NQ,574.9,574.9,574.9,1185.8,1185.8,1185.7501627604167
Yearling Steer,400+,Feeder,C,2,210,-379,350.2,440.2,389.9666724795387,12.5,636.7,800.4,709.0,1488.3,1881.9,1729.465590122768
Yearling Steer,400+,Feeder,D,2,40,35,264.2,316.2,278.3500152587891,-50.6,480.4,574.9,506.1,1122.9,1501.9,1190.892626953125
Yearling Heifer,0-200,Restocker,C,2,43,NQ,312.2,312.2,312.2000136264535,NQ,578.1,578.1,578.1,577.6,577.6,577.5700853924419
Yearling Heifer,200-280,Processor,C,2,5,1,306.2,306.2,306.2,2.0,567.0,567.0,567.0,673.6,673.6,673.6400390625
Yearling Heifer,200-280,Restocker,C,2,309,52,290.2,380.2,329.0750882540706,-26.5,537.4,704.1,609.4,638.4,1007.5,838.1870958643052
Yearling Heifer,200-280,Restocker,D,2,70,-49,224.2,286.2,273.9800114222935,14.2,415.2,530.0,507.4,493.2,742.0,639.436164202009
Yearling Heifer,280-330,Feeder,C,2,42,-100,286.2,371.2,329.94285946800596,-3.4,530.0,687.4,611.0,815.7,1169.3,988.7835925874256
Yearling Heifer,280-330,Feeder,D,2,8,NQ,222.2,222.2,222.1999969482422,NQ,411.5,411.5,411.5,666.6,666.6,666.5999755859375
Yearling Heifer,330-400,Feeder,C,2,288,-280,280.0,380.2,350.2520872751872,12.6,518.5,704.1,648.6,938.0,1366.8,1268.588133070204
Yearling Heifer,330-400,Feeder,D,2,8,-27,180.0,260.0,238.54999923706055,-31.7,333.3,481.5,441.8,693.0,1001.0,905.7075042724609
Yearling Heifer,330-400,Processor,C,2,22,-75,330.0,330.0,330,7.5,611.1,611.1,611.1,1155.0,1155.0,1155
Yearling Heifer,330-400,Processor,C,3,3,NQ,370.0,370.0,370,NQ,685.2,685.2,685.2,1332.0,1332.0,1332
Yearling Heifer,400+,Feeder,C,2,367,45,280.0,374.2,351.07303446839876,10.5,518.5,698.5,652.1,1275.0,1784.4,1571.8715527609843
Yearling Heifer,400+,Feeder,D,2,3,-6,272.2,272.2,272.20001220703125,16.8,504.1,504.1,504.1,1184.1,1184.1,1184.070068359375
Yearling Heifer,400+,Processor,C,2,1,-44,300.0,300.0,300,-0.8,555.6,555.6,555.6,1230.0,1230.0,1230
Yearling Heifer,400+,Processor,C,3,1,-52,320.0,320.0,320,-27.4,592.6,592.6,592.6,1312.0,1312.0,1312
Yearling Heifer,400+,Processor,D,2,1,NQ,266.2,266.2,266.20001220703125,NQ,493.0,493.0,493.0,1158.0,1158.0,1157.9700927734375
Manufacturing Steer,540+,Processor,C,3,13,NQ,310.0,318.2,316.3076923076923,NQ,563.6,578.5,575.1,2415.1,2594.7,2456.5755709134614
Grown Steer,400-500,Feeder,C,2,27,NQ,302.2,340.0,326.20741102430554,NQ,549.5,618.2,593.1,1284.4,1445.0,1386.3815104166667
Grown Steer,500-600,Processor,C,3,5,-9,332.2,340.0,335.32000732421875,-1.9,604.0,618.2,609.7,1744.1,1785.0,1760.430078125
Grown Steer,500-600,Processor,C,4,17,-62,356.2,360.2,358.55294979319854,4.7,643.2,647.6,645.0,2044.6,2128.8,2094.113970588235
Grown Steer,600-750,Processor,C,3,2,-6,344.2,344.2,344.20001220703125,14.0,625.8,625.8,625.8,2185.7,2185.7,2185.669921875
Grown Steer,600-750,Processor,C,4,5,-57,350.2,367.2,360.4000244140625,-0.4,636.7,667.6,655.3,2269.3,2331.7,2306.75048828125
Grown Heifer,0-540,Feeder,D,2,25,NQ,240.2,270.0,263.2239990234375,NQ,500.4,562.5,548.4,1020.8,1147.5,1118.7019921875
Grown Heifer,0-540,Processor,C,3,4,-45,282.2,300.0,291.1000061035156,-26.4,542.7,566.0,554.4,1199.4,1275.0,1237.175048828125
Grown Heifer,0-540,Processor,C,4,34,-69,334.2,360.2,351.435302734375,9.1,630.6,679.6,663.1,1761.4,1895.0,1816.8260282628676
Grown Heifer,540+,Processor,C,4,20,19,350.2,366.2,360.3000244140625,30.3,660.8,690.9,679.8,1982.1,2158.3,2053.871044921875
Cows,0-400,Restocker,D,1,3,-27,187.2,187.2,187.19999186197916,-6.0,425.5,425.5,425.5,739.4,739.4,739.4400227864584
Cows,400-520,Processor,D,1,19,-31,216.2,241.2,235.72631916246917,11.5,491.4,548.2,535.7,952.8,1048.6,1022.0902999074835
Cows,400-520,Processor,D,2,88,5,260.0,275.2,269.2954573197798,6.3,561.6,597.8,584.2,1105.0,1333.8,1244.3402238325639
Cows,400-520,Processor,D,3,101,-37,275.0,288.2,281.4198058477723,1.3,561.2,588.2,573.2,1168.8,1388.1,1312.6547899907177
Cows,400-520,Processor,D,4,22,-94,285.0,298.2,288.7636413574219,-4.9,558.8,584.7,566.2,1382.3,1446.3,1397.8200017755682
Cows,400-520,Restocker,D,1,9,-14,180.0,258.2,232.13334147135416,13.1,409.1,586.8,527.6,873.0,1097.4,1022.5667317708334
