Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Processor,D,2,6,NQ,284.2,288.2,286.20001220703125,NQ,516.7,524.0,520.4,720.5,753.1,736.8150227864584
Yearling Steer,200-280,Restocker,C,2,196,-57,354.2,454.2,410.51838154695474,19.9,644.0,825.8,746.4,814.0,1135.5,1036.133470184949
Yearling Steer,200-280,Restocker,D,2,117,37,278.2,368.2,325.6495789095887,55.2,505.8,669.5,592.1,704.0,975.7,850.0613565037393
Yearling Steer,280-330,Feeder,C,2,222,168,356.2,432.2,405.1783865163992,59.0,647.6,785.8,736.7,1066.5,1296.6,1210.176880982545
Yearling Steer,280-330,Feeder,D,2,30,NQ,310.0,325.0,318.06666666666666,NQ,563.6,590.9,578.3,930.0,975.0,954.2
Yearling Steer,280-330,Restocker,C,2,8,-245,366.2,366.2,366.20001220703125,24.9,665.8,665.8,665.8,1098.6,1098.6,1098.5999755859375
Yearling Steer,280-330,Restocker,D,2,38,26,310.0,336.2,321.1894788240132,47.2,563.6,611.3,584.0,930.0,1008.6,953.2042043585526
Yearling Steer,330-400,Feeder,C,2,304,207,340.0,400.2,370.76448219700865,34.3,618.2,727.6,674.1,1190.0,1510.1,1329.2715711091694
Yearling Steer,330-400,Feeder,D,2,25,18,238.2,338.2,317.69600952148437,77.7,433.1,614.9,577.6,857.5,1285.2,1191.0169921875
Yearling Steer,330-400,Processor,D,2,2,NQ,270.2,270.2,270.20001220703125,NQ,491.3,491.3,491.3,945.7,945.7,945.7000732421875
Yearling Steer,400+,Feeder,C,2,315,-55,336.2,390.2,371.80572393508186,32.9,611.3,709.5,676.0,1462.5,1951.0,1660.7656300378223
Yearling Steer,400+,Feeder,D,2,12,NQ,288.2,314.2,301.95001220703125,NQ,524.0,571.3,549.0,1275.4,1366.8,1338.7000325520833
Yearling Steer,400+,Processor,C,3,10,1,358.2,358.2,358.2,40.2,651.3,651.3,651.3,1737.3,1737.3,1737.269921875
Yearling Heifer,200-280,Processor,C,2,10,8,260.0,260.0,260,-22.0,481.5,481.5,481.5,572.0,572.0,572
Yearling Heifer,200-280,Processor,D,2,20,-37,240.0,240.0,240,17.6,444.4,444.4,444.4,528.0,528.0,528
Yearling Heifer,200-280,Restocker,C,2,241,210,278.2,342.2,311.31287152935363,5.8,515.2,633.7,576.5,642.8,891.5,787.0996276095696
Yearling Heifer,200-280,Restocker,D,2,20,-20,240.2,250.0,246.4699951171875,18.5,444.8,463.0,456.4,528.4,662.5,559.1089721679688
Yearling Heifer,280-330,Feeder,C,2,90,13,276.2,332.2,304.42889675564237,-11.3,511.5,615.2,563.8,828.6,990.6,906.7239827473958
Yearling Heifer,280-330,Processor,C,2,20,14,260.0,280.0,263.05,-17.9,481.5,518.5,487.1,780.0,840.0,789.15
Yearling Heifer,280-330,Restocker,C,2,24,-104,283.2,300.0,288.40000406901044,-30.0,524.4,555.6,534.1,852.4,900.0,866.3800048828125
Yearling Heifer,280-330,Restocker,E,1,1,NQ,100.0,100.0,100,NQ,185.2,185.2,185.2,300.0,300.0,300
Yearling Heifer,330-400,Feeder,C,2,134,-118,280.0,347.2,329.24030360890856,23.4,518.5,643.0,609.7,980.0,1312.4,1205.9240977728546
Yearling Heifer,330-400,Feeder,D,2,4,-26,260.0,264.2,262.1000061035156,-3.8,481.5,489.3,485.4,910.0,964.3,937.1650390625
Yearling Heifer,400+,Feeder,C,2,295,-228,286.2,350.2,332.0813671047405,11.4,530.0,648.5,615.0,1245.0,1587.4,1441.0884136652542
Yearling Heifer,400+,Processor,C,2,8,-12,280.2,280.2,280.20001220703125,2.0,518.9,518.9,518.9,1190.9,1190.9,1190.85009765625
Yearling Heifer,400+,Processor,C,3,13,-65,312.2,331.2,327.7230788010817,17.6,578.1,613.3,606.9,1404.9,1600.5,1496.2153883713943
Grown Steer,400-500,Feeder,C,2,28,15,314.2,320.0,317.10001046316967,-21.1,571.3,581.8,576.5,1366.8,1392.0,1379.385044642857
Grown Steer,400-500,Feeder,C,3,24,NQ,346.2,351.2,348.7000325520833,NQ,638.5,665.8,652.2,1523.3,1703.3,1613.2999674479167
Grown Steer,400-500,Feeder,D,2,5,1,272.2,272.2,272.2,42.2,494.9,494.9,494.9,1184.1,1184.1,1184.0701171875
Grown Steer,500-600,Processor,C,4,32,NQ,358.2,365.2,361.8562660217285,NQ,651.3,664.0,657.9,1875.0,2045.1,1970.9854049682617
Grown Steer,600-750,Processor,C,3,15,-142,322.2,353.2,341.0666748046875,18.6,614.9,642.2,624.6,2046.0,2242.8,2165.773404947917
Grown Steer,600-750,Processor,C,4,36,NQ,347.2,384.2,358.81111823187933,NQ,631.3,686.1,647.0,2204.7,2551.1,2280.4962497287324
Grown Heifer,0-540,Processor,C,3,41,14,284.2,322.0,312.77073557783916,2.3,546.5,607.5,595.8,1436.6,1722.7,1599.6804854230184
Grown Heifer,0-540,Processor,C,4,5,NQ,333.2,348.2,339.20001220703125,NQ,617.0,657.0,633.0,1416.1,1862.9,1594.807958984375
Grown Heifer,540+,Processor,C,4,15,NQ,332.2,344.2,337.00001627604166,NQ,626.8,661.9,640.8,1933.4,1999.8,1959.96328125
Grown Heifer,540+,Processor,C,5,1,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1804.2,1804.2,1804.199951171875
Cows,0-400,Processor,D,1,14,NQ,224.2,238.2,234.1999991280692,NQ,509.5,541.4,532.3,896.8,952.8,936.7999965122768
Cows,0-400,Processor,D,2,6,-1,251.2,251.2,251.19999186197916,6.2,546.1,546.1,546.1,1004.8,1004.8,1004.7999674479166
Cows,0-400,Restocker,D,1,20,NQ,194.2,234.2,210.9999969482422,NQ,441.4,532.3,479.5,706.3,936.8,806.7819946289062
Cows,400-520,Processor,D,1,18,2,210.0,236.2,228.3111097547743,34.3,477.3,536.8,518.9,892.5,1003.8,977.9888780381945
Cows,400-520,Processor,D,2,76,-18,246.2,269.2,256.8815813566509,26.7,535.2,585.2,558.4,1059.1,1305.6,1165.1053017064144
Cows,400-520,Processor,D,3,139,-17,262.2,285.2,277.7726668762646,18.3,547.3,582.0,567.9,1239.8,1368.7,1315.4598520402428
Cows,400-520,Processor,D,4,43,42,285.0,294.2,287.47442201126455,13.5,558.8,576.9,563.7,1253.7,1397.8,1368.0234942768896
Cows,400-520,Restocker,D,1,33,29,210.2,264.2,243.10909016927084,41.1,477.7,600.5,552.5,914.4,1178.9,1060.873017282197
Cows,400-520,Restocker,D,2,12,1,258.0,266.2,264.15000406901044,37.4,560.9,578.7,574.2,1197.9,1251.3,1211.2500610351562
Cows,520+,Processor,D,3,100,-145,273.2,286.2,281.8840063476562,19.8,557.6,584.1,575.3,1475.3,1809.8,1601.7410961914063
