Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 22/01/2025
Comparison Date: 15/01/2025
Total Yarding: 7138 (+2286)
Commentary
"Dalby agents penned 7,138 head a lift of 2,286 cattle were drawn from NSW, SA and 1,739 from far western QLD which included one consignment of 570 head with the balance from the local supply area. All the regular processors and feeder buyers attended along with restockers and backgrounders. With the extra numbers on offer prices for all classes could not maintain last weeks dearer trends and slipped from 12c to 20c/kg and more in places.

Light weight yearling steers to background sold to 444c with those over 280kg at 452c to average 402c/kg. Yearling steers to feed for the domestic market made 438c/kg.Heavy yearling steers to feed sold to 402c and averaged from 360c to 373c/kg. Light weight yearling heifers to restockers sold to 370c with those over 280kg at 360c to average 320c/kg. Yearling heifers to feed for the domestic market sold to 360c and averaged 335c/kg. Heavy yearling heifers to feed made 370c to average 344c/kg. 

Grown steers to feed averaged 374c and sold to 394c with those to processors at 351c to average 338c/kg. Heavy bullocks to processors made 358c to average 344c/kg. Grown heifers to processors made 336c to average 321c/kg.Plain conditioned light weight cows to processors made 272c to average 255c/kg. Heavy score 3 cows to processors made 290c to average 280c with the best heavy cows topping at 298c to average 289c/kg. Light weight bulls to restockers made 360c to average 311c/kg. Heavy bulls to processors made 318c to average 285c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,350,289,320.0,444.0,410.9685714285714,11.6,592.6,822.2,761.1,784.0,1221.0,1096.1124351283481
Yearling Steer,200-280,Restocker,D,2,25,-7,248.0,298.0,278.16,-84.8,459.3,551.9,515.1,662.5,819.5,762.94
Yearling Steer,280-330,Feeder,C,2,38,-107,346.0,430.0,388.63157894736844,-45.1,640.7,796.3,719.7,1089.9,1397.5,1213.9157907586348
Yearling Steer,280-330,Processor,D,2,1,-12,326.0,326.0,326,-14.0,603.7,603.7,603.7,929.1,929.1,929.0999755859375
Yearling Steer,280-330,Restocker,C,2,320,245,352.0,452.0,402.109375,-40.7,651.9,837.0,744.6,1054.5,1449.5,1195.0461074829102
Yearling Steer,280-330,Restocker,D,2,48,11,284.0,315.0,294.375,-60.4,525.9,583.3,545.1,809.4,975.0,848.96875
Yearling Steer,330-400,Feeder,C,2,388,-143,328.0,438.0,387.9072164948454,-34.2,607.4,811.1,718.3,1139.0,1603.7,1392.8455782231597
