Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,60,NQ,432.2,468.2,464.6000162760417,NQ,785.8,851.3,844.7,799.6,866.2,859.5099934895833
Yearling Steer,200-280,Feeder,C,2,8,NQ,378.2,378.2,378.20001220703125,NQ,687.6,687.6,687.6,1040.1,1040.1,1040.050048828125
Yearling Steer,200-280,Restocker,C,2,204,8,368.2,456.2,445.015697703642,34.5,669.5,829.5,809.1,905.4,1249.1,1156.8181643018536
Yearling Steer,200-280,Restocker,D,2,8,-109,312.2,343.2,319.95001220703125,-5.7,567.6,624.0,581.7,858.5,909.5,871.282470703125
Yearling Steer,280-330,Feeder,C,2,126,-96,378.2,454.2,435.83334302145335,30.7,687.6,825.8,792.4,1077.9,1410.0,1309.9179106212798
Yearling Steer,280-330,Feeder,D,2,1,-29,310.2,310.2,310.20001220703125,-7.9,564.0,564.0,564.0,930.6,930.6,930.5999755859375
Yearling Steer,280-330,Restocker,C,2,34,26,376.2,410.2,396.6705968520221,30.5,684.0,745.8,721.2,1128.6,1230.6,1172.399959788603
Yearling Steer,280-330,Restocker,D,2,6,-32,354.2,354.2,354.2000325520833,33.0,644.0,644.0,644.0,1062.6,1062.6,1062.5999348958333
Yearling Steer,330-400,Feeder,C,2,117,-187,360.0,420.2,388.42223182091345,17.7,654.5,764.0,706.2,1206.0,1533.7,1449.1510541866987
Yearling Steer,330-400,Feeder,D,2,10,-15,270.0,343.2,304.560009765625,-13.1,490.9,624.0,553.7,972.0,1321.3,1159.0560302734375
Yearling Steer,400+,Feeder,C,2,141,-174,348.2,410.2,384.083697812777,12.3,625.4,745.8,697.1,1448.1,1814.4,1696.3363634474733
Yearling Steer,400+,Processor,C,3,5,-5,380.0,380.0,380,21.8,690.9,690.9,690.9,1949.4,1949.4,1949.4
Yearling Heifer,0-200,Restocker,C,2,36,NQ,374.2,394.2,393.08891126844617,NQ,680.4,730.0,727.2,692.3,729.3,727.2144368489584
Yearling Heifer,200-280,Restocker,C,2,133,-108,298.2,364.2,345.95940886762804,34.6,552.2,674.4,640.3,757.2,985.0,894.3344139156485
Yearling Heifer,200-280,Restocker,D,2,6,-14,168.2,246.2,207.19999186197916,-39.3,311.5,455.9,383.7,420.5,652.4,536.4650065104166
Yearling Heifer,280-330,Feeder,C,2,159,69,320.0,365.0,337.63397639052675,33.2,581.8,675.9,623.2,924.0,1164.2,995.9269620307587
Yearling Heifer,280-330,Restocker,C,2,125,101,340.0,358.2,355.574400390625,67.2,629.6,663.3,658.5,969.0,1081.8,1066.256689453125
Yearling Heifer,330-400,Feeder,C,2,88,-46,326.2,360.0,339.7954587069425,10.6,604.1,666.7,629.3,1129.5,1360.8,1254.2086847478693
Yearling Heifer,330-400,Processor,C,2,44,NQ,320.0,352.2,342.59090909090907,NQ,592.6,652.2,634.4,1120.0,1356.0,1210.284090909091
Yearling Heifer,330-400,Processor,C,3,46,NQ,349.2,360.2,351.59130859375,NQ,646.7,667.0,651.1,1222.2,1422.8,1265.8065981657608
Yearling Heifer,400+,Feeder,C,2,26,-269,340.2,345.0,344.6307701697716,12.5,630.0,638.9,638.2,1518.0,1530.9,1518.9923095703125
