Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 04/12/2024
Comparison Date: 20/11/2024
Total Yarding: 1560 (-322)
Commentary
"Dearer market following widespread rain and a reduction in supply. Agents yarded 1560 cattle, down from the 1900 head plus which were regularly offered in recent weeks. Price improvements of 10c to 25c/kg were broadly seen across the market, with some higher spikes in excess of 50c recorded at times for young and lighter store cattle as they rebounded from the discounted rates of recent sales. There was, however, still an element of selective bidding over trade cattle based on quality with one key trade order absent. Some of the heavier grown cattle also had mixed results. But overall results were still dearer.

Prices reached a top of 380c/kg for young Limousin steers off feed that showed a lot of weight for age and quality at 585kg. Most of the lead pens of prime trade cattle from 345c to 372c/kg, with the next run with not quite as much polish and yield from 320c to 340c/kg. Recording some of the best price gains were store and feeder steers, the main run of nicely bred yearlings in the 330-400kg range selling from
297c to 355.6c/kg to average 344c/kg for a 26c gain on a fortnight ago. Some lighter Angus store steers sold to 372c/kg back to the paddock. The young cattle that tended to sell under 300c/kg today tended to be plainer shaped or crossbred types at 240c to 290c/kg. Some of the plainer grass heifers were also under 300c/kg.

In the grown steer section the best beef types in the 500-600kg range sold from 311c to 350c for a rise of 15c on a fortnight ago. Export steers over 600kg 325c to 350c/kg for the best quality, older or plainer shapes 284c to 325c/kg. Not many Friesian steers but the few with good finish sold dearer at 275c to 310c/kg. Heavy grown heifers generally 300c to 330c/kg, again with the plainer or crossbred types 260c to 290c/kg.

Cow prices gained 15c to 28c/kg to recover the losses of last month.. Heavy beef cows in fat score 4 condition 291c to 300c/kg, and the score 3s 272c to 291c/kg lwt. Leaner and light cows, including some dairy’s, were significantly dearer at 22c to 262c/kg.

NOTE: This was the final Echuca sale for 2024.
Next year the Echuca prime cattle market will be held weekly instead of fortnightly, with the weekly sales scheduled to start on Wednesday January 15.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,8,1,290.0,372.0,354.57500076293945,7.5,557.7,729.4,692.3,951.2,1164.4,1116.797477722168
Yearling Steer,280-330,Restocker,D,2,18,11,270.6,310.0,283.1777869330512,23.2,541.2,620.0,566.4,803.7,956.3,880.1022101508247
Yearling Steer,330-400,Feeder,C,2,28,-12,290.0,355.6,335.47143118722096,11.0,537.0,674.9,641.5,1160.0,1386.8,1268.8773018973213
Yearling Steer,330-400,Processor,C,2,7,2,335.0,352.0,348.14285714285717,18.8,620.4,640.0,634.6,1172.5,1302.4,1258.5571463448662
Yearling Steer,330-400,Processor,C,3,15,8,310.0,355.0,339.18666788736977,-3.2,574.1,657.4,627.4,1190.0,1366.4,1305.3219970703126
Yearling Steer,330-400,Restocker,C,2,34,-39,297.6,355.6,344.10000700109146,26.3,583.5,697.3,662.8,1097.5,1386.8,1274.2630830652574
Yearling Steer,330-400,Restocker,D,2,24,9,265.0,314.0,301.40834554036456,4.7,530.0,615.7,593.9,967.3,1091.4,1077.9024047851562
Yearling Steer,400+,Feeder,C,2,17,-25,316.6,346.6,332.5529479980469,20.8,586.3,654.0,624.1,1438.4,1535.5,1470.7740981158088
Yearling Steer,400+,Live Export,C,3,2,NQ,332.0,332.0,332,NQ,614.8,614.8,614.8,1593.6,1593.6,1593.5999755859375
Yearling Steer,400+,Processor,B,3,3,2,348.0,369.6,355.2000020345052,5.2,621.4,648.4,630.4,1607.8,1681.7,1632.4000244140625
Yearling Steer,400+,Processor,C,2,6,2,320.0,362.0,342.8333333333333,2.8,592.6,658.2,630.9,1328.0,1739.5,1574.6166585286458
Yearling Steer,400+,Processor,C,3,89,-8,305.0,380.0,342.98651877413977,13.7,564.8,678.6,624.9,1271.8,2223.0,1626.4309589514571
Yearling Steer,400+,Processor,C,4,5,3,315.0,337.6,328.560009765625,-14.8,583.3,613.8,601.6,1471.1,1471.9,1471.581640625
Yearling Steer,400+,Processor,D,3,1,-5,330.0,330.0,330,52.1,611.1,611.1,611.1,1551.0,1551.0,1551
Yearling Steer,400+,Restocker,C,2,19,-7,310.0,320.0,315.4842111687911,3.0,596.2,620.0,605.0,1271.7,1606.4,1412.5327276932567
Yearling Steer,400+,Restocker,C,3,1,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1520.0,1520.0,1520
Yearling Heifer,280-330,Processor,D,3,1,-4,290.0,290.0,290,45.2,557.7,557.7,557.7,957.0,957.0,957
Yearling Heifer,280-330,Processor,E,2,7,5,260.2,260.2,260.2000209263393,50.2,510.2,510.2,510.2,832.6,832.6,832.6399972098214
Yearling Heifer,280-330,Restocker,D,2,26,25,233.0,282.2,275.23847022423377,5.2,466.0,553.3,541.5,757.3,920.0,894.8860849233774
Yearling Heifer,280-330,Restocker,E,2,22,19,200.0,258.6,247.9454678622159,41.5,425.5,517.2,500.5,616.0,742.2,719.2398348721591
Yearling Heifer,330-400,Feeder,C,2,1,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1240.0,1240.0,1240
Yearling Heifer,330-400,Feeder,D,2,4,NC,290.0,290.0,290,32.3,557.7,557.7,557.7,1154.2,1154.2,1154.199951171875
Yearling Heifer,330-400,Feeder,D,3,1,-3,290.0,290.0,290,20.0,547.2,547.2,547.2,1015.0,1015.0,1015
Yearling Heifer,330-400,Processor,C,3,28,-22,305.0,358.0,327.39286259242465,26.6,564.8,650.9,607.0,1132.9,1360.4,1223.0701947893415
Yearling Heifer,330-400,Processor,C,4,8,-4,305.0,340.6,336.1499938964844,13.6,564.8,630.7,622.5,1143.8,1284.1,1266.52294921875
Yearling Heifer,330-400,Processor,D,2,6,3,242.0,275.0,264,46.6,484.0,539.2,520.8,897.8,1045.0,995.9400024414062
Yearling Heifer,330-400,Processor,D,3,9,-29,260.0,315.0,293.8888888888889,36.1,500.0,594.3,557.7,884.0,1244.3,1121.4055582682292
Yearling Heifer,330-400,Processor,D,4,1,-8,275.0,275.0,275,-5.0,518.9,518.9,518.9,962.5,962.5,962.5
Yearling Heifer,330-400,Restocker,C,2,5,-3,298.2,310.0,304.9200073242188,25.6,573.5,596.2,586.4,1121.8,1163.0,1140.1320556640626
Yearling Heifer,330-400,Restocker,D,2,28,NC,250.0,280.0,265.5857162475586,8.2,500.0,560.0,528.2,867.5,1080.0,955.4944240025112
Yearling Heifer,330-400,Restocker,D,3,2,-1,290.0,290.0,290,64.6,547.2,547.2,547.2,1087.5,1087.5,1087.5
Yearling Heifer,400+,Dairy,D,1,18,NQ,222.6,255.0,246,NQ,494.7,554.3,537.8,1157.5,1746.8,1583.0750054253472
Yearling Heifer,400+,Feeder,C,2,3,NC,310.0,318.0,315.3333333333333,25.3,596.2,600.0,598.7,1286.5,1287.9,1287.433349609375
Yearling Heifer,400+,Processor,B,2,2,-8,340.0,340.0,340,-14.0,618.2,618.2,618.2,1434.8,1434.8,1434.800048828125
Yearling Heifer,400+,Processor,C,2,2,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,1434.8,1434.8,1434.800048828125
Yearling Heifer,400+,Processor,C,3,23,2,306.2,355.0,342.34783139436144,14.0,567.0,656.7,630.8,1270.7,1491.0,1429.7624830163043
Yearling Heifer,400+,Processor,C,4,8,-6,313.0,355.0,326.25,5.8,590.6,645.5,605.4,1339.6,1755.0,1426.8899841308594
Yearling Heifer,400+,Processor,D,3,1,-21,297.0,297.0,297,29.4,571.2,571.2,571.2,1381.1,1381.1,1381.050048828125
Yearling Heifer,400+,Processor,D,4,7,4,294.6,310.0,296.80001395089283,36.8,555.8,584.9,560.0,1348.5,2018.0,1922.3657924107142
Vealer Steer,280-330,Processor,C,2,1,NC,286.2,286.2,286.20001220703125,-13.8,540.0,540.0,540.0,930.2,930.2,930.1500854492188
Vealer Steer,280-330,Processor,C,3,3,2,340.0,340.0,340,15.0,629.6,629.6,629.6,1043.8,1105.0,1064.2000325520833
Vealer Steer,280-330,Restocker,C,2,2,-19,340.0,340.0,340,6.0,666.7,666.7,666.7,1094.8,1094.8,1094.800048828125
Vealer Steer,280-330,Restocker,D,2,1,-15,310.0,310.0,310,15.0,620.0,620.0,620.0,914.5,914.5,914.5
Vealer Steer,330+,Feeder,C,2,2,NQ,326.2,326.2,326.20001220703125,NQ,615.5,615.5,615.5,1304.8,1304.8,1304.800048828125
Vealer Steer,330+,Processor,C,2,3,2,360.0,360.2,360.1333414713542,60.1,654.5,667.0,662.9,1206.7,1260.0,1224.4466959635417
Vealer Steer,330+,Processor,C,3,18,14,334.2,365.0,355.53333536783856,9.2,618.9,663.6,649.6,1204.7,1463.7,1332.9660983615452
