Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 06/11/2024
Comparison Date: 23/10/2024
Total Yarding: 1850 (+110)
Commentary
"Numbers remained high with another 1850 cattle filling the yards to near capacity. There was some stand-out trade steers and heifers of a higher standard than a fortnight ago, while the export run included the usual mix of cows, manufacturing and grown steers. Demand from domestic processors was more energetic, and helped by some outstanding quality, prices averaged dearer after reaching a top of 411c/kg. The main grades of heavy beef cows sold at modestly dearer levels by 3-10c/kg. But there was still some dull spots in the sale, with grown steers, grown heifers and any secondary bred or shaped cattle averaging cheaper compared to the last market at Echuca on October 23.

Competition was keener on good trade cattle, with the lead run mostly in the range of 350c to 380c/kg but with some exceptional Limousin steers and heifers offering high carcass yields pushing above 390c to a top of 411c/kg. The best run of yearling steers in the 400-480kg weight range averaged 365c/kg. Buyers did tend to be weight sensitive and bidding wasn’t as strong on cattle weighing over 520kg. Well bred yearlings and vealers with not quite as much carcass potential or finish from 310c to 345c/kg, with restockers and feeders operating in this price band. Young cattle which sold under 300c/kg tended to be lighter or lack breed quality at 240c to 290c/kg.

The best heavy grown steers were similar to 9c/kg off on some of the bigger types at 320c to 355.6c/kg.  Grown heifers performed around quality at 260 to 320c/kg for most - but noting buyers were selective on plainer shaped grassy types or young females showing signs of being in calf which were discounted down to 240c/kg. 

The cow marked showed consistency at 270c to 290c/kg for most of the lead beef pens, with just occasional sales higher to 306c/kg.  Leaner beef cows 240c to 280c/kg; plainest cows down to 168.6c.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,2,-1,310.0,316.8,313.3999938964844,7.2,607.8,609.2,608.5,1023.0,1029.6,1026.2999877929688
Yearling Steer,280-330,Restocker,D,2,3,1,321.6,321.6,321.6000162760417,31.6,643.2,643.2,643.2,919.8,919.8,919.7760416666666
Yearling Steer,330-400,Processor,B,2,1,NQ,381.6,381.6,381.6000061035156,NQ,681.4,681.4,681.4,1469.2,1469.2,1469.1600341796875
Yearling Steer,330-400,Processor,C,2,1,NC,340.0,340.0,340,70.0,629.6,629.6,629.6,1258.0,1258.0,1258
Yearling Steer,330-400,Processor,C,3,22,2,320.0,380.0,341.3363730690696,-17.4,581.8,690.9,645.2,1170.0,1444.1,1306.5473299893465
Yearling Steer,330-400,Processor,C,4,6,NQ,365.6,365.6,365.6000162760417,NQ,664.7,664.7,664.7,1451.4,1451.4,1451.4319661458333
Yearling Steer,330-400,Processor,D,3,3,NQ,351.6,351.6,351.6000162760417,NQ,651.1,651.1,651.1,1381.8,1381.8,1381.7879231770833
Yearling Steer,330-400,Restocker,C,2,24,4,315.0,344.2,328.3666737874349,-5.1,605.8,661.9,638.1,1166.5,1311.4,1254.6850179036458
Yearling Steer,330-400,Restocker,D,2,11,2,310.0,310.0,310,14.4,596.2,607.8,602.5,1116.0,1212.1,1190.399991122159
Yearling Steer,400+,Feeder,C,2,29,24,312.6,335.0,327.20000063139815,-11.4,601.2,632.1,619.8,1359.8,1610.2,1452.234829606681
Yearling Steer,400+,Feeder,C,3,7,6,328.6,328.6,328.59999302455356,10.0,608.5,608.5,608.5,1547.7,1547.7,1547.7060546875
Yearling Steer,400+,Feeder,D,2,2,NQ,315.0,315.0,315,NQ,605.8,605.8,605.8,1360.8,1360.8,1360.800048828125
Yearling Steer,400+,Processor,B,2,11,NQ,357.0,398.0,390.54545454545456,NQ,637.5,698.2,687.2,1499.4,1627.8,1604.4709028764205
Yearling Steer,400+,Processor,B,3,12,9,396.6,400.0,396.8833414713542,5.2,683.8,701.8,690.3,1891.8,2113.9,2006.84814453125
Yearling Steer,400+,Processor,C,2,3,1,325.0,340.0,333.3333333333333,18.2,601.9,620.4,613.5,1365.0,1479.0,1405.8333333333333
Yearling Steer,400+,Processor,C,3,62,5,325.0,411.6,362.053226594002,13.7,590.9,722.1,653.5,1361.2,1926.8,1682.263910108997
Yearling Steer,400+,Processor,C,4,26,15,322.0,365.0,350.54615431565503,-6.5,585.5,651.8,632.4,1384.6,1872.4,1718.142305814303
Yearling Steer,400+,Restocker,C,2,14,-30,310.0,326.0,323.14285714285717,-0.5,584.9,626.9,617.3,1271.0,1538.7,1495.9628208705358
