Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 20/11/2024
Comparison Date: 06/11/2024
Total Yarding: 1882 (+32)
Commentary
"Another near capacity yarding of 1882 cattle as conditions remain dry in the region. Quality was plainer overall, although there was still some very good steers and heifers off grain presented. The buying group was smaller and subdued, and price falls of 10 to 30c/kg - and sometimes more in places - were recorded for all categories. As a general rule the better bred and finished cattle held their value the best, and it was plainer grassy heifers and off-bred steers and heifers that wore the brunt of the cheaper trend. However the lack of buying depth meant there was still some reasonable cattle which got caught up in the discounting and sold at much cheaper levels to a fortnight ago.

Domestic processors paid from 330c to a top of 375c/kg for the lead of the fed yearlings or vealers showing shape , muscle and carcass yield potential. A couple of feeder and restocking orders still supported decent lines of Angus steers at up to 352c/kg. But underneath this was a lot of young steers and heifers which sold in a range of 280c to 320c/kg, with plainer shaped heifers or off-bred cattle quickly pulled back to between 220c to 260c/kg. Bidding occasionally dipping below 200c on crossbreds.

In the export run the lead of the heavy grown steers sold from 302c to 340.6c/kg, with some of the plainer shaped beef types down to 280c/kg. Grown heifers sold on quality and were subject to discounting to show a spread of 230c to 310c/kg, with just a few better quality types to 330c/kg.  There wasn’t as many manufacturing or dairy steers in this yarding and they ranged from 220c to 300c/kg.

The heavier beef cows lost 10c to 20c/kg, while lighter and plainer conditioned types including dairy females lost more in value. Main run of handy beef cows 240c to 275c/kg, plainer types 210c to 240c/kg. The most secondary dairy down to 156c/kg.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,8,NQ,336.2,336.2,336.20001220703125,NQ,672.4,672.4,672.4,907.7,907.7,907.739990234375
Yearling Steer,280-330,Restocker,C,2,7,5,320.0,351.6,347.08572823660717,33.7,627.5,676.2,669.2,992.0,1079.4,1066.924525669643
Yearling Steer,280-330,Restocker,D,2,7,4,200.0,290.0,260,-61.6,400.0,568.6,516.8,660.0,948.3,825.7999965122768
Yearling Steer,330-400,Feeder,C,2,40,NQ,298.6,352.2,324.46000518798826,NQ,574.2,677.3,619.5,1044.0,1326.6,1223.2863708496093
Yearling Steer,330-400,Feeder,D,2,12,NQ,284.6,285.6,285.3500162760417,NQ,547.3,560.0,556.8,967.6,1033.9,1017.3140462239584
Yearling Steer,330-400,Processor,B,2,1,NC,355.0,355.0,355,-26.6,645.5,645.5,645.5,1260.3,1260.3,1260.25
Yearling Steer,330-400,Processor,C,2,5,4,305.0,357.6,329.32000122070315,-10.7,564.8,650.2,607.4,1220.0,1412.5,1313.70400390625
Yearling Steer,330-400,Processor,C,3,7,-15,328.0,355.0,342.3714294433594,1.0,596.4,645.5,624.1,1203.8,1356.1,1285.3414306640625
Yearling Steer,330-400,Processor,C,4,3,-3,362.2,362.2,362.20001220703125,-3.4,646.8,658.5,654.6,1394.5,1394.5,1394.469970703125
Yearling Steer,330-400,Restocker,C,2,73,49,260.0,350.6,317.75069270721855,-10.6,490.6,682.7,612.8,996.0,1295.7,1135.3420811483304
Yearling Steer,330-400,Restocker,D,2,15,4,270.2,298.6,296.7066609700521,-13.3,540.4,597.2,593.4,999.7,1137.7,1128.4709513346354
Yearling Steer,400+,Feeder,C,2,42,13,265.0,334.6,311.7857179187593,-15.4,509.6,631.3,589.1,1166.0,1630.3,1427.5517025902159
Yearling Steer,400+,Feeder,D,2,1,-1,275.0,275.0,275,-40.0,528.8,528.8,528.8,1306.3,1306.3,1306.25
Yearling Steer,400+,Processor,B,2,18,7,360.2,375.0,371.73334418402777,-18.8,643.2,669.6,663.8,1578.8,1667.7,1597.6633843315972
Yearling Steer,400+,Processor,B,3,1,-11,350.0,350.0,350,-46.9,625.0,625.0,625.0,1820.0,1820.0,1820
Yearling Steer,400+,Processor,C,2,4,1,340.0,340.0,340,6.7,618.2,618.2,618.2,1591.2,1591.2,1591.199951171875
Yearling Steer,400+,Processor,C,3,97,35,280.0,376.2,329.3072220320554,-32.7,518.5,671.8,597.8,1232.0,1758.8,1497.6870658323937
Yearling Steer,400+,Processor,C,4,2,-24,342.2,344.6,343.40000915527344,-7.1,611.1,615.4,613.2,1762.3,1826.4,1794.35498046875
