Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,2,NQ,320.0,320.0,320,NQ,627.5,627.5,627.5,854.4,854.4,854.4000244140625
Yearling Steer,280-330,Feeder,C,2,2,-4,302.0,302.0,302,-43.5,592.2,592.2,592.2,987.5,987.5,987.5399780273438
Yearling Steer,280-330,Restocker,C,2,3,-26,326.6,338.6,330.6000061035156,-2.4,616.2,651.2,627.9,1068.0,1117.4,1084.4480387369792
Yearling Steer,330-400,Feeder,C,2,18,-3,320.0,346.2,330.01112196180554,-12.3,604.9,641.1,622.0,1152.0,1322.5,1252.277370876736
Yearling Steer,330-400,Processor,C,2,1,-10,330.0,330.0,330,-10.2,611.1,611.1,611.1,1260.6,1260.6,1260.5999755859375
Yearling Steer,330-400,Processor,C,3,5,-50,329.6,342.2,336.40000610351564,-22.3,610.4,630.7,620.7,1252.5,1290.1,1269.4608154296875
Yearling Steer,330-400,Processor,D,3,1,-1,318.6,318.6,318.6000061035156,-1.6,590.0,590.0,590.0,1147.0,1147.0,1146.9599609375
Yearling Steer,330-400,Restocker,C,2,25,-6,300.0,338.2,326.45600341796876,-29.4,576.9,650.4,621.6,1047.8,1251.3,1148.68935546875
Yearling Steer,330-400,Restocker,D,2,1,-2,300.0,300.0,300,-10.0,576.9,576.9,576.9,1050.0,1050.0,1050
Yearling Steer,330-400,Restocker,D,3,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1087.5,1087.5,1087.5
Yearling Steer,400+,Feeder,C,2,29,-2,290.0,342.6,324.3310399548761,-22.1,557.7,646.4,612.7,1180.3,1483.2,1384.3476815059266
Yearling Steer,400+,Feeder,C,3,9,NQ,318.6,362.6,347.933349609375,NQ,590.0,671.5,644.3,1411.4,1707.8,1609.030002170139
Yearling Steer,400+,Processor,B,2,1,-13,345.0,345.0,345,-44.0,605.3,605.3,605.3,1794.0,1794.0,1794
Yearling Steer,400+,Processor,C,2,4,-1,321.6,345.0,335.4000015258789,-11.5,595.6,616.1,609.7,1350.7,1507.7,1462.7550048828125
Yearling Steer,400+,Processor,C,3,31,-43,312.0,360.0,334.3161315917969,-22.1,567.3,642.9,610.6,1338.8,1748.4,1518.0778847971271
Yearling Steer,400+,Processor,D,3,1,-2,316.6,316.6,316.6000061035156,-11.6,586.3,586.3,586.3,1440.5,1440.5,1440.530029296875
Yearling Steer,400+,Restocker,C,2,10,-38,314.0,324.6,321.5199951171875,8.1,592.5,612.5,606.6,1308.1,1419.3,1335.002685546875
Yearling Steer,400+,Restocker,C,3,37,NQ,314.6,364.2,349.79460350242823,NQ,582.6,674.4,646.9,1321.3,1722.7,1591.224391627956
Yearling Steer,400+,Restocker,D,2,1,-1,290.0,290.0,290,-32.0,557.7,557.7,557.7,1218.0,1218.0,1218
Yearling Steer,400+,Restocker,D,3,3,NQ,315.0,315.0,315,NQ,594.3,594.3,594.3,1408.1,1408.1,1408.0501302083333
Yearling Heifer,200-280,Restocker,D,2,5,NQ,256.6,282.2,277.08001098632815,NQ,513.2,564.4,554.2,710.8,781.7,767.5116821289063
Yearling Heifer,280-330,Restocker,C,2,3,NQ,304.2,312.2,306.86667887369794,NQ,585.0,600.4,590.1,905.4,958.2,940.6133219401041
Yearling Heifer,280-330,Restocker,D,2,13,6,250.0,290.6,282.7692307692308,10.5,500.0,558.8,548.3,737.5,950.3,914.5015493539663
Yearling Heifer,280-330,Restocker,E,2,8,NQ,217.6,250.0,241.9000015258789,NQ,444.1,490.2,478.7,689.8,815.0,783.6980133056641
Yearling Heifer,330-400,Feeder,B,2,1,NQ,344.2,344.2,344.20001220703125,NQ,649.4,649.4,649.4,1239.1,1239.1,1239.1201171875
Yearling Heifer,330-400,Feeder,C,3,5,NQ,312.0,312.0,312,NQ,588.7,588.7,588.7,1232.4,1232.4,1232.4
Yearling Heifer,330-400,Processor,C,3,6,-8,300.0,320.0,305,-28.5,555.6,603.8,568.5,1059.0,1168.0,1084.0833333333333
Yearling Heifer,330-400,Processor,C,4,8,-3,350.0,350.0,350,0.2,636.4,648.1,642.3,1281.0,1281.0,1281
Yearling Heifer,330-400,Processor,D,3,10,-24,268.6,310.2,291.5800079345703,-14.4,516.5,585.3,556.3,926.7,1231.5,1110.013250732422
Yearling Heifer,330-400,Restocker,D,2,5,-39,256.0,310.0,288.4,-9.7,512.0,607.8,569.5,1024.0,1054.0,1042
Yearling Heifer,330-400,Restocker,D,3,14,8,286.6,299.6,293.34286063058033,-12.3,550.2,565.3,559.5,965.2,1065.8,1017.1983206612723
Yearling Heifer,330-400,Restocker,E,2,8,NQ,203.6,203.6,203.60000610351562,NQ,424.2,424.2,424.2,678.0,678.0,677.988037109375
Yearling Heifer,400+,Feeder,C,3,11,-2,315.0,315.0,315,-23.6,594.3,594.3,594.3,1338.8,1338.8,1338.75
Yearling Heifer,400+,Processor,B,2,2,NQ,364.2,364.2,364.20001220703125,NQ,662.2,662.2,662.2,1700.8,1700.8,1700.8140869140625
Yearling Heifer,400+,Processor,C,3,35,26,297.6,360.0,329.71428745814734,-13.1,551.1,654.5,609.3,1199.3,1641.6,1411.3766671316964
Yearling Heifer,400+,Processor,C,4,3,-14,322.2,322.2,322.20001220703125,-27.9,596.7,596.7,596.7,1385.5,1385.5,1385.4599609375
Yearling Heifer,400+,Processor,D,3,15,2,260.0,318.6,300.81333821614584,0.0,500.0,601.1,568.2,1134.0,1351.6,1273.9693359375
Yearling Heifer,400+,Processor,D,4,2,-6,280.6,280.6,280.6000061035156,-44.1,529.4,529.4,529.4,1206.6,1206.6,1206.5799560546875
Yearling Heifer,400+,Restocker,D,2,4,NQ,255.0,260.6,259.20001220703125,NQ,490.4,511.0,505.8,1040.4,1123.2,1102.4895324707031
Yearling Heifer,400+,Restocker,D,3,3,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1101.6,1101.6,1101.5999348958333
Vealer Steer,200-280,Restocker,C,2,8,NQ,310.0,332.0,323.3000030517578,NQ,596.2,647.2,631.1,719.2,929.6,840.7185211181641
Vealer Steer,200-280,Restocker,D,2,2,NQ,310.0,310.0,310,NQ,607.8,607.8,607.8,821.5,821.5,821.5
Vealer Steer,280-330,Feeder,B,2,2,NQ,325.0,325.0,325,NQ,625.0,625.0,625.0,975.0,975.0,975
Vealer Steer,280-330,Feeder,C,2,3,NQ,326.0,329.6,328.40000406901044,NQ,615.1,633.8,627.6,1011.9,1059.5,1027.7480061848958
Vealer Steer,280-330,Restocker,C,2,24,22,302.0,345.0,328.43333435058594,-3.8,592.2,656.9,633.5,893.9,1089.0,1021.6083526611328
Vealer Steer,280-330,Restocker,D,2,1,NQ,248.2,248.2,248.1999969482422,NQ,496.4,496.4,496.4,734.7,734.7,734.6719360351562
Vealer Steer,330+,Feeder,C,3,3,-7,326.6,326.6,326.6000162760417,-28.4,604.8,604.8,604.8,1087.6,1087.6,1087.5779622395833
Vealer Steer,330+,Processor,B,2,3,1,365.0,365.0,365,-15.0,651.8,651.8,651.8,1507.4,1507.4,1507.4498697916667
Vealer Heifer,0-200,Restocker,E,2,4,NQ,210.0,210.0,210,NQ,437.5,437.5,437.5,388.5,388.5,388.5
Vealer Heifer,200-280,Processor,C,3,1,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,825.0,825.0,825
Vealer Heifer,200-280,Restocker,C,2,9,4,250.0,300.0,282.17777845594617,-46.4,490.2,599.2,551.9,642.5,801.0,718.5488959418403
Vealer Heifer,200-280,Restocker,D,2,15,NQ,240.6,270.0,256.98668009440104,NQ,481.2,540.0,507.9,640.0,710.8,668.3462931315104
Vealer Heifer,200-280,Restocker,E,2,8,NQ,210.0,220.0,211.25,NQ,446.8,458.3,448.2,489.3,561.0,498.2624816894531
Vealer Heifer,280-330,Restocker,C,2,1,NQ,307.0,307.0,307,NQ,590.4,590.4,590.4,982.4,982.4,982.4000244140625
Vealer Heifer,280-330,Restocker,C,3,4,NQ,296.6,296.6,296.6000061035156,NQ,581.6,581.6,581.6,836.4,836.4,836.4120483398438
Vealer Heifer,330+,Processor,C,2,1,NQ,316.2,316.2,316.20001220703125,NQ,596.6,596.6,596.6,1169.9,1169.9,1169.9400634765625
Vealer Heifer,330+,Processor,C,3,8,-1,330.0,338.6,336.2250061035156,3.3,611.1,627.0,622.6,1105.5,1436.5,1328.0347900390625
Vealer Heifer,330+,Processor,D,3,2,NQ,285.6,285.6,285.6000061035156,NQ,538.9,538.9,538.9,1113.8,1113.8,1113.8399658203125
Manufacturing Steer,0-540,Dairy,D,2,28,15,268.6,276.2,272.8571472167969,149.0,540.0,559.6,551.3,1309.5,1485.0,1406.8021589006696
Manufacturing Steer,0-540,Dairy,E,2,1,-6,200.0,200.0,200,-45.0,434.8,434.8,434.8,700.0,700.0,700
Manufacturing Steer,0-540,Processor,D,2,27,25,240.0,274.2,262.91111133716726,-35.1,480.0,533.3,516.1,902.3,1468.8,1252.2796314380787
Manufacturing Steer,0-540,Processor,D,3,9,3,310.0,310.0,310,11.7,584.9,584.9,584.9,1581.0,1581.0,1581
Manufacturing Steer,0-540,Processor,E,2,21,18,220.0,260.2,227.25714692615327,-27.7,458.3,553.6,473.8,655.6,1120.1,767.1885579427084
Manufacturing Steer,0-540,Restocker,D,2,21,4,240.0,310.0,275.55238269624255,-18.5,480.0,596.2,545.6,840.0,1344.0,1100.8163888113838
Manufacturing Steer,0-540,Restocker,D,3,4,2,290.0,313.6,301.8000030517578,-28.8,547.2,591.7,569.4,1334.0,1492.7,1413.3680419921875
Manufacturing Steer,0-540,Restocker,E,2,19,14,170.0,228.6,220.0842156661184,-37.5,361.7,486.4,462.1,518.5,733.8,673.0808233963816
Manufacturing Steer,540+,Dairy,D,1,6,NQ,270.6,270.6,270.6000162760417,NQ,563.8,563.8,563.8,1677.7,1677.7,1677.7200520833333
Manufacturing Steer,540+,Dairy,D,2,6,-32,285.0,285.0,285,-11.8,570.0,570.0,570.0,1638.8,1638.8,1638.75
Manufacturing Steer,540+,Processor,D,2,4,-7,274.0,275.0,274.25,-43.8,526.9,528.8,527.4,1485.1,1760.0,1553.8099365234375
Manufacturing Steer,540+,Processor,D,3,2,-20,310.0,310.0,310,-10.0,584.9,584.9,584.9,1875.5,1875.5,1875.5
Grown Steer,400-500,Feeder,C,2,1,NQ,350.2,350.2,350.20001220703125,NQ,648.5,648.5,648.5,1733.5,1733.5,1733.489990234375
Grown Steer,400-500,Processor,C,2,1,NC,305.0,305.0,305,-25.0,564.8,564.8,564.8,1357.3,1357.3,1357.25
Grown Steer,400-500,Restocker,C,2,4,NQ,328.6,328.6,328.6000061035156,NQ,620.0,620.0,620.0,1577.3,1577.3,1577.280029296875
Grown Steer,400-500,Restocker,C,3,5,NQ,312.0,350.6,342.8800048828125,NQ,577.8,649.3,635.0,1341.6,1689.9,1620.2336669921874
