Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,6,-3,377.0,377.0,377,20.0,725.0,725.0,725.0,697.5,697.5,697.4500325520834
Yearling Steer,200-280,Processor,C,2,14,12,335.0,335.0,335,135.0,644.2,644.2,644.2,854.3,854.3,854.25
Yearling Steer,200-280,Processor,D,2,21,NQ,361.0,361.0,361,NQ,694.2,694.2,694.2,812.3,812.3,812.25
Yearling Steer,200-280,Restocker,C,2,121,-7,231.0,379.0,340.27272727272725,-37.0,444.2,728.8,654.4,473.5,938.6,833.8342961082774
Yearling Steer,200-280,Restocker,D,2,115,70,171.0,363.0,279.7130434782609,-27.5,328.8,698.1,537.9,427.5,943.6,716.7760720957881
Yearling Steer,280-330,Processor,D,2,1,NQ,233.0,233.0,233,NQ,448.1,448.1,448.1,757.3,757.3,757.25
Yearling Steer,280-330,Restocker,C,2,13,-5,280.0,341.0,319.53846153846155,-65.4,538.5,655.8,614.5,868.0,1036.8,992.1846078725962
Yearling Steer,280-330,Restocker,D,2,4,-48,277.0,311.0,302.5,0.2,532.7,598.1,581.7,844.8,886.3,875.9749450683594
Yearling Steer,330-400,Feeder,C,2,21,-20,250.0,320.0,301.6190476190476,-37.0,480.8,615.4,580.0,950.0,1224.5,1137.923828125
Yearling Steer,330-400,Feeder,D,2,28,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1152.0,1152.0,1152
Yearling Steer,330-400,Restocker,C,2,26,NQ,300.0,339.0,328.6923076923077,NQ,576.9,651.9,632.1,1005.0,1220.4,1137.3807842548076
Yearling Steer,400+,Restocker,C,2,8,NQ,327.0,327.0,327,NQ,628.8,628.8,628.8,1438.8,1438.8,1438.800048828125
Yearling Heifer,0-200,Processor,C,2,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,315.0,315.0,315
Yearling Heifer,0-200,Processor,D,2,6,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,380.0,380.0,380
