Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 02/09/2024
Comparison Date: 26/08/2024
Total Yarding: 1945 (+1172)
Commentary
"Numbers lifted by 1172 for a yarding of 1945 cattle. Quality was mixed with good supplies of heavy prime cattle and feeder weights on offer. There was also a large yarding of prime cows. All the regular buyers were present. 

Prime yearling steers were 8c dearer, 274c to 385c while prime yearling heifers sold cheaper, 270c to 372c/kg. Feeder steers lifted 5c, 340c to 420c and feeder heifers dropped 20c, 260c to 340c/kg.

Prime grown steers were down 12c, 260c to 383c, and prime grown heifers gained 10c, 250c to 370c/kg. Cows were 10c stronger, 2 and 3 scores sold from 210c to 315, and heavy prime cows, 305c to 340c/kg. Heavy bulls sold to 305c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,2,-13,380.0,380.0,380,12.0,730.8,730.8,730.8,1140.0,1140.0,1140
Yearling Steer,330-400,Feeder,C,2,86,57,344.0,420.0,384.5232558139535,23.9,661.5,807.7,739.5,1296.0,1596.0,1426.6162790697674
Yearling Steer,330-400,Processor,C,3,1,NC,350.0,350.0,350,-10.0,660.4,660.4,660.4,1400.0,1400.0,1400
Yearling Steer,330-400,Restocker,C,2,8,NQ,341.0,341.0,341,NQ,655.8,655.8,655.8,1295.8,1295.8,1295.800048828125
Yearling Steer,400+,Feeder,C,2,193,-54,340.0,415.0,359.4715025906736,-32.1,653.8,798.1,691.3,1428.0,1826.0,1579.113994697215
Yearling Steer,400+,Processor,C,3,33,17,274.0,385.0,346.6666666666667,-4.3,517.0,726.4,654.1,1205.6,2464.0,1992.8484848484848
Yearling Heifer,330-400,Feeder,C,2,31,-32,310.0,335.0,324.4193548387097,-13.7,596.2,644.2,623.9,1116.0,1340.0,1265.6774193548388
Yearling Heifer,330-400,Processor,C,3,3,-29,270.0,340.0,316.6666666666667,-37.4,509.4,641.5,597.5,918.0,1224.0,1122
Yearling Heifer,330-400,Restocker,C,2,20,NQ,270.0,321.0,298.2,NQ,519.2,617.3,573.5,1071.0,1284.0,1117.2
Yearling Heifer,400+,Feeder,C,2,34,-5,260.0,340.0,314.70588235294116,-27.3,500.0,653.8,605.2,1196.0,1564.0,1394.3529411764705
Yearling Heifer,400+,Processor,C,3,32,17,285.0,372.0,338.96875,-28.1,537.7,701.9,635.9,1254.0,2008.8,1657.3249740600586
Vealer Steer,0-200,Restocker,C,2,4,3,350.0,400.0,375,175.0,673.1,769.2,721.2,490.0,800.0,645
Vealer Steer,200-280,Restocker,C,2,15,11,308.0,400.0,383.8666666666667,63.9,592.3,769.2,738.2,739.2,1037.4,972.6133341471354
Vealer Heifer,0-200,Restocker,C,2,2,NC,320.0,320.0,320,70.0,615.4,615.4,615.4,640.0,640.0,640
Vealer Heifer,200-280,Restocker,C,2,4,2,304.0,320.0,316,68.0,584.6,615.4,607.7,790.4,896.0,869.6000061035156
Manufacturing Steer,540+,Dairy,D,3,12,NC,296.0,296.0,296,26.0,616.7,616.7,616.7,2072.0,2072.0,2072
Grown Steer,0-400,Feeder,C,3,10,NQ,290.0,374.0,340.4,NQ,537.0,692.6,630.4,1160.0,1496.0,1361.6
Grown Steer,400-500,Feeder,C,3,77,60,340.0,418.0,388.5974025974026,26.3,629.6,774.1,719.6,1700.0,1948.8,1855.698724127435
Grown Steer,400-500,Processor,C,4,2,1,260.0,280.0,270,-34.0,472.7,509.1,490.9,1196.0,1400.0,1298
Grown Steer,500-600,Feeder,C,3,8,7,330.0,330.0,330,-25.0,611.1,611.1,611.1,1716.0,1716.0,1716
Grown Steer,500-600,Feeder,C,4,2,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,1560.0,1560.0,1560
Grown Steer,500-600,Processor,C,4,25,4,320.0,383.0,346.44,-13.6,581.8,696.4,629.9,1664.0,2221.4,2005.767998046875
Grown Steer,600-750,Processor,C,4,8,6,340.0,368.0,362.625,1.6,618.2,669.1,659.3,2263.0,2516.0,2345.2749938964844
Grown Heifer,0-540,Feeder,C,3,16,4,360.0,360.0,360,23.7,666.7,666.7,666.7,1656.0,1656.0,1656
Grown Heifer,0-540,Processor,C,4,20,15,250.0,345.0,327.15,12.1,454.5,627.3,594.8,1250.0,1863.0,1758.5299987792969
