Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 03/03/2025
Comparison Date: 
Total Yarding: 1717 (NQ)
Commentary
"Numbers lifted this sale with agents yarding 1717 head. Quality was once again very mixed with both well bred and secondary cattle penned. The usual buyers were present and competing in a very variable market.

Middleweight yearling steers to feed were firm to a couple dearer to sell from 324c to 378c/kg. Heavyweights sold from 345 to 376c/kg. Finished types to processors received from 328 to 370c/kg. The heifer portion fluctuated with quality and types. Those to feed ranging from 290 to 325c with processors paying from 285 to 330c/kg. 

Heavy steers and bullocks were limited and reached 337c/kg. Grown heifers sold from 310 to 328c/kg. A large penning of cows lost last weeks gains slipping 20c and more. Heavy 2 score sold from 255 to 300c and 3 score received 272 to 306c/kg. The best heavy bull reached 323c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,23,20,340.0,403.0,394.2608695652174,59.3,629.6,746.3,730.1,714.0,1007.5,969.8260869565217
Yearling Steer,280-330,Processor,C,3,5,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,900.0,900.0,900
Yearling Steer,280-330,Restocker,C,2,3,NQ,354.0,354.0,354,NQ,655.6,655.6,655.6,1062.0,1062.0,1062
Yearling Steer,330-400,Feeder,C,2,136,-27,324.2,376.0,364.06177296358,1.7,600.4,696.3,674.2,1134.7,1476.8,1398.3185747931984
Yearling Steer,330-400,Feeder,C,3,98,45,344.0,378.0,367.93878547512753,10.7,637.0,700.0,681.4,1209.6,1488.8,1420.663295200893
Yearling Steer,330-400,Processor,C,3,4,NC,334.0,334.0,334,-26.0,618.5,618.5,618.5,1302.6,1302.6,1302.5999755859375
Yearling Steer,400+,Feeder,C,2,166,66,344.0,376.6,367.8963843655873,-1.5,637.0,697.4,681.3,1444.8,1616.6,1566.472291509789
Yearling Steer,400+,Feeder,C,3,38,-98,345.0,370.0,355.04737613075656,-14.1,638.9,685.2,657.5,1470.0,1628.0,1595.9941920230262
Yearling Steer,400+,Processor,C,3,28,-22,328.0,370.0,343.5071454729353,-12.0,607.4,685.2,636.1,1344.8,1628.2,1551.625732421875
Yearling Steer,400+,Restocker,C,2,6,NQ,328.2,328.2,328.20001220703125,NQ,607.8,607.8,607.8,1345.6,1345.6,1345.6199544270833
Yearling Heifer,200-280,Feeder,C,2,4,NQ,350.2,350.2,350.20001220703125,NQ,648.5,648.5,648.5,980.6,980.6,980.5599975585938
Yearling Heifer,200-280,Feeder,C,3,6,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,756.0,756.0,756
Yearling Heifer,200-280,Processor,D,3,6,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,675.0,675.0,675
Yearling Heifer,280-330,Feeder,C,2,1,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,840.0,840.0,840
