Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 04/11/2024
Comparison Date: 28/10/2024
Total Yarding: 1264 (-580)
Commentary
"Numbers dropped by 580 for a yarding of 1264 cattle. Quality was mixed with prime yearlings and grown cattle well represented. Feeder weight cattle were also well supplied and there were limited numbers of cows. Not all the regular buyers were present.

Young cattle to the trade were down 15c to 20c, prime yearling steers sold from 260c to 344c, and prime yearling heifers, 261c to 337c/kg. Feeder steers slipped 6c, 290c to 357c, while feeder heifers held firm, 240c to 316c/kg.

Prime grown steers were firm to dearer, 270c to 359c, and prime grown heifers sold 10c cheaper, 270c to 346c/kg. Cows lifted 10c, 2 and 3 scores sold from 180c to 285c, and heavy prime cows, 285c to 300c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,2,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,934.4,934.4,934.4000244140625
Yearling Steer,280-330,Restocker,C,2,28,NQ,291.0,304.0,297.9642857142857,NQ,559.6,584.6,573.0,912.0,931.2,920.914306640625
Yearling Steer,330-400,Feeder,C,2,62,-21,300.0,357.0,342.758064516129,-1.1,576.9,686.5,659.0,1084.6,1428.0,1329.4128969254032
Yearling Steer,330-400,Processor,C,3,16,6,300.0,300.0,300,-22.5,566.0,566.0,566.0,1140.0,1140.0,1140
Yearling Steer,330-400,Restocker,C,2,53,43,304.0,340.0,323.1698113207547,-3.8,584.6,653.8,621.5,1054.0,1216.0,1146.1849204009434
Yearling Steer,400+,Feeder,C,2,253,-92,290.0,350.0,324.1185770750988,-11.1,557.7,673.1,623.3,1260.0,1564.0,1452.8577084748642
Yearling Steer,400+,Feeder,C,3,4,NQ,325.0,325.0,325,NQ,613.2,613.2,613.2,1430.0,1430.0,1430
Yearling Steer,400+,Processor,C,3,99,17,260.0,344.0,314.7979797979798,-30.6,490.6,649.1,594.0,1288.0,1830.6,1554.3110992739898
Yearling Steer,400+,Restocker,C,2,2,-12,320.0,320.0,320,-9.0,615.4,615.4,615.4,1408.0,1408.0,1408
Yearling Heifer,330-400,Feeder,C,2,20,-30,240.0,290.0,278.75,-24.7,461.5,557.7,536.1,864.0,1160.0,1089.4
Yearling Heifer,330-400,Processor,C,3,16,-40,261.0,310.0,270.1875,-31.5,492.5,584.9,509.8,1044.0,1116.0,1057.5
Yearling Heifer,400+,Feeder,C,2,20,-62,290.0,316.0,304.4,5.0,557.7,607.7,585.4,1218.0,1453.6,1361.739990234375
Yearling Heifer,400+,Processor,C,3,31,-37,269.0,337.0,294.38709677419354,-9.7,507.5,635.8,555.4,1237.4,1887.2,1407.2193721648187
Yearling Heifer,400+,Restocker,C,2,17,7,319.0,319.0,319,9.0,613.5,613.5,613.5,1339.8,1339.8,1339.8000919117646
Vealer Steer,200-280,Processor,C,2,1,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,754.0,754.0,754
Vealer Heifer,200-280,Processor,C,2,10,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,840.0,840.0,840
Vealer Heifer,200-280,Restocker,C,2,29,11,224.0,291.0,257.82758620689657,1.4,430.8,559.6,495.8,582.4,814.8,653.3930958714978
Grown Steer,400-500,Processor,C,3,16,14,245.0,245.0,245,NC,453.7,453.7,453.7,1078.0,1078.0,1078
Grown Steer,400-500,Processor,C,4,6,-4,275.0,305.0,295,-32.0,500.0,554.5,536.4,1375.0,1525.0,1475
Grown Steer,500-600,Processor,C,4,88,59,270.0,356.0,318.1818181818182,-2.2,490.9,647.3,578.5,1458.0,2064.8,1803.8727389248934
Grown Steer,600-750,Processor,C,4,67,65,300.0,359.0,332.82089552238807,50.8,545.5,652.7,605.1,1891.0,2297.6,2129.555270522388
Grown Heifer,0-540,Processor,C,3,2,-15,244.0,244.0,244,-11.9,451.9,451.9,451.9,1171.2,1171.2,1171.199951171875
Grown Heifer,0-540,Processor,C,4,7,-41,270.0,312.0,278.85714285714283,-35.9,490.9,567.3,507.0,1344.0,1622.4,1387.2000034877233
Grown Heifer,540+,Processor,C,3,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1512.0,1512.0,1512
Grown Heifer,540+,Processor,C,4,22,3,275.0,346.0,321.5,-10.4,500.0,629.1,584.5,1540.0,2145.2,1863.8908913352273
