Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 11/11/2024
Comparison Date: 04/11/2024
Total Yarding: 1212 (-52)
Commentary
"Numbers remained similar to last week with 1212 cattle yarded. Quality was good with feeder weights the best supplied along with good numbers of heavy prime cattle. Supply of cows was down with a yarding of mixed quality. All the regular buyers were present.

Young cattle to the trade were firm to cheaper, prime yearling steers sold from 305c to 340c, and prime yearling heifers, 276c to 310c/kg. Feeder steers lifted 10c selling from 300c to 369c, and feeder heifers were up 2c, 279c to 330c/kg. Lightweight restocker cattle were firm to 5c cheaper, steers sold from 303c to 324c, and heifers, 290c to 315c/kg.

Prime grown cattle were 8c dearer and more in places, heavy steers sold from 289c to 359c, and heavy heifers, 270c to 345c/kg. Cows held firm, 2 and 3 scores sold from 188c to 286c, and heavy prime cows, 287c to304c/kg. Heavy bulls sold to 286c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,64,2,302.0,363.0,346.21875,3.5,580.8,698.1,665.8,1087.2,1452.0,1252.7781143188477
Yearling Steer,330-400,Restocker,C,2,3,-50,324.0,324.0,324,0.8,623.1,623.1,623.1,1166.4,1166.4,1166.4000651041667
Yearling Steer,400+,Feeder,C,2,173,-80,300.0,369.0,345.04624277456645,20.9,576.9,709.6,663.6,1320.0,1700.0,1566.8693918217125
Yearling Steer,400+,Processor,C,3,40,-59,305.0,340.0,321.3,6.5,575.5,641.5,606.2,1525.0,1775.2,1640.55498046875
Yearling Heifer,330-400,Feeder,C,2,13,-7,288.0,290.0,288.9230769230769,10.2,553.8,557.7,555.6,1036.8,1160.0,1093.6615835336538
Yearling Heifer,330-400,Processor,C,2,3,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1200.0,1200.0,1200
Yearling Heifer,330-400,Restocker,C,2,24,NQ,290.0,294.0,291.4166666666667,NQ,557.7,565.4,560.4,986.0,1117.2,1030.0166524251301
Yearling Heifer,400+,Feeder,C,2,90,70,270.0,330.0,305.31111111111113,0.9,519.2,634.6,587.1,1188.0,1481.2,1368.8799967447917
Yearling Heifer,400+,Processor,C,3,38,7,276.0,310.0,294.5,0.1,520.8,584.9,555.7,1159.2,1647.0,1427.478939658717
Yearling Heifer,400+,Restocker,C,2,74,57,311.0,315.0,313.47297297297297,-5.5,598.1,605.8,602.8,1306.2,1512.0,1412.7135108741554
Vealer Steer,200-280,Restocker,C,2,13,NQ,303.0,303.0,303,NQ,582.7,582.7,582.7,848.4,848.4,848.4000150240385
Manufacturing Steer,540+,Dairy,D,3,41,NQ,220.0,283.0,250.8780487804878,NQ,458.3,589.6,522.7,1386.0,1785.0,1517.8292682926829
Grown Steer,400-500,Feeder,C,3,13,NQ,297.0,297.0,297,NQ,550.0,550.0,550.0,1485.0,1485.0,1485
Grown Steer,400-500,Processor,C,4,2,-4,310.0,314.0,312,17.0,563.6,570.9,567.3,1488.0,1507.2,1497.5999755859375
Grown Steer,500-600,Processor,C,4,75,-13,280.0,354.0,325.93333333333334,7.8,509.1,643.6,592.6,1512.0,2124.0,1882.6746614583333
Grown Steer,600-750,Processor,C,4,5,-62,340.0,359.0,347.6,14.8,618.2,652.7,632.0,2108.0,2225.8,2155.12001953125
Grown Heifer,0-540,Processor,C,4,86,79,270.0,339.0,320.80232558139534,41.9,490.9,616.4,583.3,1425.0,1830.6,1726.2046125545057
Grown Heifer,540+,Processor,C,4,43,21,300.0,345.0,323.3953488372093,1.9,545.5,627.3,588.0,1680.0,2001.0,1835.6279069767443
Cows,0-400,Processor,C,2,18,NQ,188.0,188.0,188,NQ,408.7,408.7,408.7,752.0,752.0,752
Cows,400-520,Processor,C,2,28,NQ,200.0,245.0,231.07142857142858,NQ,434.8,532.6,502.3,920.0,1176.0,1097.7142857142858
Cows,400-520,Processor,C,3,1,NQ,255.0,255.0,255,NQ,531.3,531.3,531.3,1326.0,1326.0,1326
Cows,400-520,Processor,D,2,20,6,232.0,260.0,243.5,3.7,504.3,565.2,529.3,1020.8,1352.0,1121.7800048828126
Cows,400-520,Restocker,C,2,42,NQ,200.0,247.0,242.52380952380952,NQ,434.8,537.0,527.2,920.0,1136.2,1115.6094680059523
Cows,520+,Processor,D,3,26,2,270.0,286.0,279.15384615384613,3.7,562.5,595.8,581.6,1458.0,1601.6,1531.138446514423
