Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 16/09/2024
Comparison Date: 09/09/2024
Total Yarding: 1376 (-609)
Commentary
"Numbers dropped by 609 for a yarding of 1376 cattle. Quality was good with heavy prime cattle well supplied, feeder cattle numbers were limited and cows were also well supplied. Most of the regular buyers were present.

Prime yearling steers held firm, 310c to 373c, while prime yearling heifers lifted 5c, 263c to 355c/kg. Feeder steers dropped 10c, 308c to 396c, and feeder heifers gained 16c, 300c to 355c/kg.

Prime grown steers sold 20c dearer, 280c to 376c, and prime grown heifers held firm, 290c to 357c/kg. Cows were firm to dearer, 2 and 3 scores sold from 245c to 312c, and heavy prime cows, 300c to 335c/kg. Heavy bulls sold to 293c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,70,33,320.0,395.0,370.4428571428571,-8.7,615.4,759.6,712.4,1088.0,1580.0,1422.8571358816964
Yearling Steer,330-400,Processor,C,3,2,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1360.0,1360.0,1360
Yearling Steer,400+,Feeder,C,2,163,-138,308.0,396.0,364.22085889570553,-10.0,592.3,761.5,700.4,1355.2,1900.8,1708.2699386503068
Yearling Steer,400+,Feeder,C,3,2,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1564.0,1564.0,1564
Yearling Steer,400+,Processor,C,3,41,-76,310.0,373.0,346.2926829268293,0.9,584.9,703.8,653.4,1531.2,2014.2,1802.5121861899772
Yearling Steer,400+,Restocker,C,2,1,-11,330.0,330.0,330,10.0,634.6,634.6,634.6,1452.0,1452.0,1452
Yearling Heifer,280-330,Feeder,C,2,17,NQ,310.0,339.0,318.52941176470586,NQ,596.2,651.9,612.6,992.0,1084.8,1019.2941176470588
Yearling Heifer,330-400,Processor,C,3,14,8,263.0,320.0,275.2142857142857,-44.8,496.2,603.8,519.3,999.4,1280.0,1059.528599330357
Yearling Heifer,330-400,Restocker,C,2,9,NQ,304.0,305.0,304.44444444444446,NQ,584.6,586.5,585.5,1037.0,1155.2,1102.6666666666667
Yearling Heifer,400+,Feeder,C,2,54,-191,300.0,355.0,342.9074074074074,18.8,576.9,682.7,659.4,1260.0,1765.0,1583.1926088686344
Yearling Heifer,400+,Processor,C,3,82,-111,300.0,355.0,342.3658536585366,23.7,566.0,669.8,646.0,1320.0,1846.0,1684.385372999238
Yearling Heifer,400+,Restocker,C,2,13,-25,296.0,310.0,300.46153846153845,2.6,569.2,596.2,577.8,1276.8,1364.0,1312.6769456129807
Vealer Steer,0-200,Restocker,C,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,432.0,432.0,432
Vealer Steer,200-280,Restocker,C,2,1,-2,334.0,334.0,334,78.0,642.3,642.3,642.3,935.2,935.2,935.2000122070312
Vealer Heifer,0-200,Restocker,C,2,2,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,448.0,448.0,448
Manufacturing Steer,0-540,Dairy,D,3,8,NQ,280.0,280.0,280,NQ,583.3,583.3,583.3,1512.0,1512.0,1512
Grown Steer,400-500,Processor,C,4,3,-9,335.0,335.0,335,28.6,609.1,609.1,609.1,1608.0,1608.0,1608
Grown Steer,500-600,Feeder,C,3,9,NQ,341.0,341.0,341,NQ,631.5,631.5,631.5,1773.2,1773.2,1773.199978298611
Grown Steer,500-600,Processor,C,4,28,2,325.0,345.0,333.75,-12.5,590.9,627.3,606.8,1771.2,1950.0,1847.7857142857142
Grown Steer,600-750,Processor,C,4,52,47,335.0,376.0,369.5,29.7,609.1,683.6,671.8,2211.0,2475.0,2401.153846153846
Grown Steer,750+,Processor,C,4,2,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,2128.0,2128.0,2128
Grown Heifer,0-540,Feeder,C,3,4,NQ,348.0,348.0,348,NQ,644.4,644.4,644.4,1879.2,1879.2,1879.199951171875
Grown Heifer,0-540,Processor,C,4,145,136,290.0,331.0,304.9862068965517,-9.0,527.3,601.8,554.5,1334.0,1787.4,1547.3255118534482
Grown Heifer,540+,Processor,C,4,27,-11,328.0,357.0,344.85185185185185,11.1,596.4,649.1,627.0,1848.0,2312.0,2058.451809353299
Cows,400-520,Processor,D,2,47,13,245.0,294.0,278.8936170212766,11.5,532.6,639.1,606.3,1173.0,1352.4,1289.1659325132978
Cows,400-520,Processor,D,3,50,29,292.0,307.0,301.18,13.5,608.3,639.6,627.5,1401.6,1586.0,1508.003984375
Cows,520+,Processor,D,3,35,-98,285.0,312.0,305.0857142857143,0.2,593.8,650.0,635.6,1539.0,1774.8,1684.222914341518
Cows,520+,Processor,D,4,165,-93,300.0,335.0,323.1878787878788,-1.4,600.0,670.0,646.4,1844.4,2296.0,2108.089699485085
Bulls,450-600,Processor,C,3,10,5,240.0,290.0,274.5,22.3,428.6,517.9,483.7,1200.0,1650.0,1478
Bulls,600+,Processor,C,3,19,NC,230.0,293.0,268.42105263157896,-14.1,396.6,505.2,462.8,1703.0,2800.0,2116.8947368421054
