Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,4,NQ,388.0,388.0,388,NQ,718.5,718.5,718.5,776.0,776.0,776
Yearling Steer,200-280,Feeder,C,2,2,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,918.0,918.0,918
Yearling Steer,200-280,Restocker,C,2,3,-20,324.0,342.0,330,-57.6,600.0,633.3,611.1,752.4,907.2,855.6000162760416
Yearling Steer,200-280,Restocker,C,3,2,NQ,362.2,362.2,362.20001220703125,NQ,670.7,670.7,670.7,869.3,869.3,869.280029296875
Yearling Steer,280-330,Feeder,C,2,14,NQ,318.2,390.0,374.6142883300781,NQ,589.3,722.2,693.7,986.4,1170.0,1130.6614292689733
Yearling Steer,280-330,Feeder,C,3,1,-13,380.0,380.0,380,35.0,703.7,703.7,703.7,1140.0,1140.0,1140
Yearling Steer,280-330,Restocker,C,2,5,-6,390.2,390.2,390.2,38.7,722.6,722.6,722.6,1248.6,1248.6,1248.6400390625
Yearling Steer,280-330,Restocker,C,3,9,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,921.6,921.6,921.5999348958334
Yearling Steer,330-400,Feeder,C,2,111,38,338.2,370.0,352.7135163728181,-12.6,626.3,685.2,653.2,1224.0,1480.0,1330.5892015061936
Yearling Steer,330-400,Feeder,C,3,10,-31,340.0,380.0,374,29.7,629.6,703.7,692.6,1190.0,1520.0,1471.8
Yearling Steer,330-400,Processor,C,3,3,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1224.0,1224.0,1224
Yearling Steer,330-400,Restocker,C,2,29,NQ,294.6,390.0,335.144828007139,NQ,566.5,722.2,632.1,1119.5,1326.0,1233.9986866918102
Yearling Steer,400+,Feeder,C,2,38,-93,356.2,377.0,369.30526572779604,20.3,659.6,698.1,683.9,1460.4,1776.0,1633.8252724095394
Yearling Steer,400+,Feeder,C,3,145,23,352.2,387.2,370.00828057650864,26.2,652.2,717.0,685.2,1491.0,1748.0,1672.0426387392242
Yearling Steer,400+,Processor,C,3,44,4,330.0,360.0,355.6727294921875,5.8,611.1,666.7,658.7,1716.0,2008.2,1872.0945490056818
Yearling Heifer,200-280,Feeder,C,3,18,NQ,316.2,316.2,316.20000542534723,NQ,585.6,585.6,585.6,727.3,727.3,727.2599826388889
Yearling Heifer,200-280,Processor,C,3,5,NQ,295.2,295.2,295.2,NQ,546.7,546.7,546.7,797.0,797.0,797.039990234375
Yearling Heifer,200-280,Restocker,C,3,4,NQ,260.0,288.0,274,NQ,481.5,533.3,507.4,650.0,806.4,728.2000122070312
Yearling Heifer,280-330,Processor,C,3,3,-16,300.0,300.0,300,NC,555.6,555.6,555.6,930.0,930.0,930
Yearling Heifer,280-330,Restocker,C,2,3,NQ,296.0,296.0,296,NQ,548.1,548.1,548.1,888.0,888.0,888
Yearling Heifer,330-400,Feeder,C,2,18,-21,255.0,290.0,274.94444444444446,-19.8,472.2,537.0,514.5,943.5,1131.0,1061.8722330729167
Yearling Heifer,330-400,Feeder,C,3,38,14,290.0,310.0,297.4263209292763,1.4,537.0,574.1,550.8,1102.0,1209.0,1158.4421258223683
Yearling Heifer,330-400,Processor,C,3,13,-13,280.0,310.0,295.38461538461536,12.9,518.5,574.1,547.0,1054.0,1200.0,1107.6923076923076
Yearling Heifer,330-400,Restocker,C,2,20,-9,276.0,276.0,276,-35.0,520.8,520.8,520.8,1048.8,1048.8,1048.8
Yearling Heifer,330-400,Restocker,C,3,4,NQ,262.0,262.0,262,NQ,485.2,485.2,485.2,995.6,995.6,995.5999755859375
Yearling Heifer,400+,Feeder,C,2,5,-23,319.2,319.2,319.2,10.9,602.3,602.3,602.3,1436.4,1436.4,1436.4
Yearling Heifer,400+,Feeder,C,3,133,116,292.2,337.2,321.4646656925517,14.5,541.1,624.4,595.9,1281.0,1551.1,1402.6992407777257
Yearling Heifer,400+,Processor,C,3,28,6,287.0,340.2,323.05714416503906,-0.7,541.5,630.0,599.3,1230.0,1598.0,1454.0142778669085
Yearling Heifer,400+,Restocker,C,3,13,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1333.0,1333.0,1333
Vealer Steer,0-200,Restocker,C,2,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,540.0,540.0,540
Grown Steer,600-750,Processor,C,2,14,NQ,306.2,306.2,306.2000209263393,NQ,567.0,567.0,567.0,1867.8,1867.8,1867.8198939732142
Grown Heifer,0-540,Processor,C,2,9,2,275.0,290.0,280.6666666666667,-7.9,509.3,537.0,519.8,1182.5,1377.6,1261.1444227430557
Grown Heifer,0-540,Processor,C,3,14,-15,285.0,310.0,306.42857142857144,2.7,527.8,574.1,567.5,1368.0,1643.0,1559.4285714285713
Grown Heifer,540+,Processor,C,3,6,-4,280.0,315.0,293.3333333333333,-5.0,518.5,583.3,543.2,1624.0,1827.0,1694
Cows,400-520,Processor,D,1,10,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,924.0,924.0,924
Cows,400-520,Processor,D,2,14,6,265.0,270.0,267.85714285714283,13.7,530.0,540.0,535.7,1325.0,1404.0,1370.142857142857
Cows,400-520,Processor,D,3,2,-4,270.0,270.0,270,1.0,540.0,540.0,540.0,1377.0,1377.0,1377
Cows,520+,Dairy,D,2,8,NQ,275.0,275.0,275,NQ,550.0,550.0,550.0,1870.0,1870.0,1870
Cows,520+,Processor,D,2,53,-17,255.0,281.2,276.7962277970224,15.0,510.0,562.4,552.8,1377.0,1996.5,1596.4928185804836
Cows,520+,Processor,D,3,69,-52,278.0,302.0,291.1971028645833,13.8,556.0,604.0,581.7,1602.8,2082.2,1862.7767900107563
Cows,520+,Processor,D,4,6,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1624.0,1624.0,1624
Bulls,0-450,Processor,C,2,3,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,780.0,780.0,780
Bulls,450-600,Processor,C,2,7,-1,200.0,200.0,200,-85.1,370.4,370.4,370.4,960.0,960.0,960
Bulls,450-600,Processor,C,3,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1566.0,1566.0,1566
Bulls,450-600,Restocker,C,2,2,NQ,275.0,275.0,275,NQ,509.3,509.3,509.3,1347.5,1347.5,1347.5
Bulls,600+,Processor,C,3,5,NQ,283.2,292.2,287.32000732421875,NQ,524.4,541.1,532.1,1865.5,2542.1,2195.348095703125
Bulls,600+,Processor,D,2,8,NQ,279.2,293.2,287.15000915527344,NQ,507.6,533.1,522.1,2081.7,3248.0,2723.4050903320312
