Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 18/11/2024
Comparison Date: 11/11/2024
Total Yarding: 1046 (-166)
Commentary
"Numbers dropped by 166 for a yarding of 1046 cattle. Quality was good with feeder weights the best supplied and good supply’s of heavy prime grown cattle along with limited numbers of cows. All the regular buyers were present.

Prime yearling steers gained 2c, selling from 300c to to 345c, while prime yearling heifers lifted 15c, 250c to 338c/kg. Feeder steers were firm to slightly cheaper selling form 288c to 360c, and feeder heifers were 10c cheaper, 243c to 320c/kg.

Prime grown steers were down 5c, 250c to 347c, while prime grown heifers were firm to dearer, 250c to 338c/kg. Cows fell 20c, 2 and 3 scores sold from 180c to 268c, and heavy prime cows, 267c to 277c/kg. Heavy bulls sold to 290c/kg.

Market reporter, Angus Williams."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,6,-58,333.0,333.0,333,-13.2,640.4,640.4,640.4,1332.0,1332.0,1332
Yearling Steer,330-400,Restocker,C,2,5,2,305.0,323.0,318,-6.0,586.5,621.2,611.5,1159.0,1292.0,1247.160009765625
Yearling Steer,400+,Feeder,C,2,332,159,288.0,360.0,339.9548192771084,-5.1,553.8,692.3,653.8,1302.0,1825.2,1591.7463908367847
Yearling Steer,400+,Processor,C,3,28,-12,300.0,345.0,319.42857142857144,-1.9,566.0,650.9,602.7,1430.0,2277.0,1794.2428588867188
Yearling Heifer,330-400,Feeder,C,2,19,6,255.0,308.0,288.7368421052632,-0.2,490.4,592.3,555.3,918.0,1232.0,1103.9473684210527
Yearling Heifer,330-400,Processor,C,3,2,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,1200.0,1200.0,1200
Yearling Heifer,330-400,Restocker,C,2,13,-11,250.0,330.0,300.7692307692308,9.4,480.8,634.6,578.4,918.0,1188.0,1069.6923076923076
Yearling Heifer,400+,Feeder,C,2,102,12,243.0,320.0,293.45098039215685,-11.9,467.3,615.4,564.3,1069.2,1472.0,1324.0666671453737
Yearling Heifer,400+,Processor,C,3,50,12,250.0,338.0,316.98,22.5,471.7,637.7,598.1,1200.0,2095.6,1666.2440063476563
Yearling Heifer,400+,Restocker,C,2,16,-58,305.0,305.0,305,-8.5,586.5,586.5,586.5,1403.0,1403.0,1403
Manufacturing Steer,0-540,Feeder,C,2,5,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,1104.0,1104.0,1104
Manufacturing Steer,0-540,Processor,C,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,1104.0,1104.0,1104
Manufacturing Steer,540+,Dairy,D,3,5,-36,235.0,235.0,235,-15.9,489.6,489.6,489.6,1410.0,1410.0,1410
Grown Steer,500-600,Processor,C,4,58,-17,280.0,340.0,323.87931034482756,-2.1,509.1,618.2,588.9,1512.0,2040.0,1843.834468446929
Grown Steer,600-750,Processor,C,4,28,23,300.0,347.0,338.10714285714283,-9.5,576.9,630.9,615.9,1920.0,2270.4,2145.0927385602677
Grown Steer,750+,Processor,C,4,8,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,2000.0,2000.0,2000
Grown Heifer,0-540,Processor,C,4,32,-54,250.0,333.0,294.25,-26.6,454.5,605.5,535.0,1200.0,1798.2,1526.1687316894531
Grown Heifer,540+,Processor,C,4,54,11,290.0,338.0,325.0740740740741,1.7,527.3,614.5,591.0,1624.0,2217.6,1925.9888938621239
Cows,400-520,Processor,D,2,9,-11,180.0,235.0,215,-28.5,391.3,510.9,467.4,792.0,1128.0,1024.888888888889
Cows,400-520,Processor,D,3,3,NQ,245.0,252.0,249.66666666666666,NQ,510.4,525.0,520.1,1225.0,1310.4,1281.933349609375
Cows,520+,Processor,D,3,25,-1,258.0,268.0,263.76,-15.4,537.5,558.3,549.5,1444.8,1608.0,1519.7600390625
Cows,520+,Processor,D,4,68,-11,267.0,277.0,269.5735294117647,-23.5,534.0,554.0,539.1,1602.0,1904.0,1763.7588034237133
Bulls,450-600,Processor,C,3,9,NC,261.0,275.0,265.6666666666667,14.0,450.0,491.1,469.0,1305.0,1375.0,1328.3333333333333
Bulls,600+,Processor,C,3,18,4,270.0,290.0,277.3888888888889,8.7,465.5,500.0,478.3,1761.5,2707.5,2154.1944444444443
