Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 20/01/2025
Comparison Date: 13/01/2025
Total Yarding: 2369 (+758)
Commentary
"Numbers jumped this sale with agents yarding 2369 head. Quality was mixed but fair with a handy offering of well bred cattle available. Yearlings made up the majority of the yard along with a good run of cows. The usual buyers were present and competing in an easier market. 

Yearling steers slipped 10c/kg with feeders paring from 330 to 400c/kg for middle and heavyweights. The finished types to processors sold from 335 to 363c/kg, middleweight heifers held fairly steady to sell from 331 to 355c/kg to feed. Heavyweights were back 10 to 14c with processors paying from 321c to 347c/kg. 

Heavy steers and bullocks dropped 10c ranging from 310c to 363c/kg. Grown heifers sold from 305 to 335c/kg. Cows held mostly steady with heavy cows from 285 to 313c with plainer types from 282c to 302c/kg. The best heavy bull reached 337c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,12,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,988.0,988.0,988
Yearling Steer,200-280,Restocker,C,2,2,-19,340.0,340.0,340,-25.5,629.6,629.6,629.6,748.0,748.0,748
Yearling Steer,280-330,Feeder,C,2,6,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,1155.0,1155.0,1155
Yearling Steer,330-400,Feeder,C,2,151,NC,330.2,400.0,371.96291972785593,-2.9,611.5,740.7,688.8,1320.8,1520.0,1411.4066380380796
Yearling Steer,330-400,Feeder,C,3,50,2,334.0,381.0,368.7680029296875,-10.4,618.5,705.6,682.9,1302.6,1524.0,1466.196015625
Yearling Steer,330-400,Processor,C,3,1,NC,350.0,350.0,350,-12.6,648.1,648.1,648.1,1330.0,1330.0,1330
Yearling Steer,400+,Feeder,C,2,322,247,362.2,390.0,379.9701871694245,-11.3,670.7,722.2,703.6,1485.0,1986.4,1672.5305645865683
Yearling Steer,400+,Feeder,C,3,115,-39,340.0,387.2,365.1391357421875,-19.0,629.6,717.0,674.8,1462.0,1795.4,1638.0664274796195
Yearling Steer,400+,Processor,C,3,112,72,335.0,365.2,351.4821526663644,-20.4,618.2,676.3,645.2,1486.8,2288.2,1937.2024928501673
Yearling Heifer,200-280,Feeder,C,2,4,NQ,295.0,295.0,295,NQ,546.3,546.3,546.3,796.5,796.5,796.5
Yearling Heifer,200-280,Restocker,C,2,11,-1,312.0,312.0,312,9.0,577.8,577.8,577.8,811.2,811.2,811.2000177556819
Yearling Heifer,280-330,Processor,C,3,1,-6,310.0,310.0,310,-8.6,574.1,574.1,574.1,992.0,992.0,992
Yearling Heifer,280-330,Restocker,C,3,11,NQ,290.2,290.2,290.2000177556818,NQ,537.4,537.4,537.4,870.6,870.6,870.5999644886364
Yearling Heifer,330-400,Feeder,C,2,25,-113,312.2,334.2,328.040009765625,-30.3,578.1,618.9,607.5,1092.7,1203.1,1172.2025
