Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 28/10/2024
Comparison Date: 21/10/2024
Total Yarding: 1844 (+581)
Commentary
"Numbers lifted by 581 for a yarding of 1844 cattle. Quality was mixed with mostly feeder weights penned along with good supplies of prime yearlings. Heavy grown cattle were limited along with heavy prime cows. All the regular buyers were present.

Prime yearling steers were 6c dearer, 270c to 367c, and prime yearling heifers were up to 16c better, 230c to 340c/kg. Feeder steers lifted 5c, 280c to 366c, and feeder heifers were up 6c, 220c to 318c/kg.

Prime grown steers dropped 20c, 245c to 353c, while prime grown heifers were firm to dearer, 240c to 350c/kg. Cows eased 5c, 2 and 3 scores sold from 180c to 279c, and heavy prime cows, 278c to 287c/kg. Heavy bulls sold to 290c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,83,36,300.0,366.0,343.87951807228916,21.5,576.9,703.8,661.3,1140.0,1376.0,1284.1108457266566
Yearling Steer,330-400,Processor,C,3,10,6,282.0,327.0,322.5,32.5,532.1,617.0,608.5,1071.6,1177.2,1166.6399780273437
Yearling Steer,330-400,Restocker,C,2,10,-28,327.0,327.0,327,-22.5,628.8,628.8,628.8,1111.8,1111.8,1111.8
Yearling Steer,400+,Feeder,C,2,345,127,280.0,365.0,335.2550724637681,1.4,538.5,701.9,644.7,1288.0,1876.0,1545.8939141757246
Yearling Steer,400+,Processor,C,3,82,-49,270.0,367.0,345.4146341463415,6.8,509.4,692.5,651.7,1188.0,1971.2,1752.5341350276296
Yearling Steer,400+,Restocker,C,2,14,9,329.0,329.0,329,69.0,632.7,632.7,632.7,1447.6,1447.6,1447.6000279017858
Yearling Heifer,280-330,Processor,C,3,3,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,736.0,736.0,736
Yearling Heifer,280-330,Restocker,C,2,12,NQ,240.0,276.0,267,NQ,461.5,530.8,513.5,768.0,883.2,854.4000244140625
Yearling Heifer,330-400,Feeder,C,2,50,9,285.0,318.0,303.48,8.1,548.1,611.5,583.6,1026.0,1208.4,1128.143984375
Yearling Heifer,330-400,Feeder,C,3,2,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1178.0,1178.0,1178
Yearling Heifer,330-400,Processor,C,2,5,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1064.0,1064.0,1064
Yearling Heifer,330-400,Processor,C,3,56,52,260.0,319.0,301.67857142857144,16.7,490.6,605.8,571.2,884.0,1276.0,1165.5
Yearling Heifer,330-400,Restocker,C,2,19,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1240.0,1240.0,1240
Yearling Heifer,400+,Feeder,C,2,82,50,220.0,317.0,299.390243902439,5.2,423.1,609.6,575.8,968.0,1525.0,1335.2048845988948
Yearling Heifer,400+,Processor,C,3,68,-26,255.0,340.0,304.1029411764706,2.9,481.1,641.5,573.8,1122.0,1645.0,1401.241153492647
Yearling Heifer,400+,Restocker,C,2,10,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1364.0,1364.0,1364
Vealer Steer,0-200,Processor,C,2,4,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,480.0,480.0,480
Vealer Steer,0-200,Restocker,C,2,9,NQ,270.0,354.0,340.6666666666667,NQ,519.2,680.8,655.1,403.2,566.4,527.2000189887153
Vealer Heifer,0-200,Processor,C,2,4,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,480.0,480.0,480
Vealer Heifer,0-200,Restocker,C,2,27,NQ,250.0,280.0,268.2962962962963,NQ,480.8,538.5,516.0,412.8,504.0,475.288890697338
Vealer Heifer,200-280,Restocker,C,2,18,17,255.0,260.0,256.3888888888889,4.4,490.4,500.0,493.1,714.0,728.0,717.8888888888889
Manufacturing Steer,0-540,Dairy,D,3,11,6,230.0,235.0,231.36363636363637,51.4,479.2,489.6,482.0,1150.0,1175.0,1156.8181818181818
Manufacturing Steer,540+,Dairy,D,3,4,2,255.0,260.0,257.5,47.5,531.3,541.7,536.5,1508.0,1683.0,1595.5
Grown Steer,400-500,Processor,C,3,2,NQ,245.0,245.0,245,NQ,453.7,453.7,453.7,1127.0,1127.0,1127
Grown Steer,400-500,Processor,C,4,10,-11,290.0,358.0,327,23.2,527.3,650.9,594.5,1392.0,1790.0,1611.8
