Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 29/07/2024
Comparison Date: 22/07/2024
Total Yarding: 980 (+180)
Commentary
"Numbers rose by 180 for a yarding of 980 cattle. Quality was mixed with a limited supply of heavy prime cattle, heavy feeders were well supplied along with light cattle suitable for restockers and backgrounders. Most of the regular buyers were present. 

Prime yearling steers sold cheaper, 220c to 350c and prime yearling heifers were firm to dearer, 300c to 368c/kg. Feeder steers were up to 30c dearer, 309c to 429c and feeder heifers up to 20c dearer, 208c to 360c/kg.

Prime grown cattle dropped 15c, heavy steers sold from 200c to 360c and heavy heifers, 225c to 355c/kg. Cows sold 7c cheaper, 2 and 3 scores sold from 170c to 285c and heavy prime cows, 288c to 300c/kg. Heavy bulls sold to 280c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,3,NQ,349.0,349.0,349,NQ,671.2,671.2,671.2,1047.0,1047.0,1047
Yearling Steer,280-330,Restocker,C,2,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,960.0,960.0,960
Yearling Steer,330-400,Feeder,C,2,37,22,320.0,429.0,409.2972972972973,45.8,615.4,825.0,787.1,1088.0,1544.4,1470.0108213682433
Yearling Steer,400+,Feeder,C,2,93,NC,309.0,415.0,383.9462365591398,23.4,594.2,798.1,738.4,1545.0,2203.2,1894.4451523647513
Yearling Steer,400+,Processor,C,3,3,-90,220.0,350.0,290,-79.2,415.1,660.4,547.2,1188.0,1750.0,1519.3333333333333
Yearling Steer,400+,Restocker,C,2,43,NQ,417.0,417.0,417,NQ,801.9,801.9,801.9,1918.2,1918.2,1918.199945494186
Yearling Heifer,280-330,Restocker,C,2,4,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,930.0,930.0,930
Yearling Heifer,330-400,Feeder,C,2,59,39,280.0,320.0,318.64406779661016,-3.9,538.5,615.4,612.8,1088.0,1280.0,1140.0677966101696
Yearling Heifer,330-400,Processor,C,3,1,-10,300.0,300.0,300,-35.0,566.0,566.0,566.0,1200.0,1200.0,1200
Yearling Heifer,400+,Feeder,C,2,56,19,208.0,360.0,329.125,15.7,400.0,692.3,632.9,956.8,1800.0,1654.3106754847936
Yearling Heifer,400+,Processor,C,3,40,29,330.0,368.0,358.825,15.2,622.6,694.3,677.0,1650.0,2100.0,1767.7699951171876
Vealer Steer,0-200,Processor,C,2,2,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,300.0,300.0,300
Vealer Steer,0-200,Restocker,C,2,3,NQ,370.0,370.0,370,NQ,711.5,711.5,711.5,592.0,592.0,592
Vealer Steer,200-280,Restocker,C,2,19,NQ,300.0,438.0,386.2631578947368,NQ,576.9,842.3,742.8,720.0,1138.8,991.8631784539474
Vealer Heifer,0-200,Processor,C,2,4,NQ,170.0,220.0,195,NQ,326.9,423.1,375.0,340.0,352.0,346
Vealer Heifer,0-200,Restocker,C,2,6,NQ,327.0,327.0,327,NQ,628.8,628.8,628.8,654.0,654.0,654
Vealer Heifer,200-280,Restocker,C,2,20,NQ,310.0,340.0,331,NQ,596.2,653.8,636.5,744.0,816.0,794.4
Manufacturing Steer,540+,Dairy,D,3,2,NQ,250.0,250.0,250,NQ,520.8,520.8,520.8,1875.0,1875.0,1875
Grown Steer,400-500,Feeder,C,3,12,NQ,240.0,360.0,270,NQ,444.4,666.7,500.0,1152.0,1800.0,1286
Grown Steer,400-500,Processor,C,4,1,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,1200.0,1200.0,1200
Grown Steer,500-600,Feeder,C,3,22,NQ,380.0,408.0,395.3636363636364,NQ,703.7,755.6,732.2,2090.4,2448.0,2221.8908913352275
Grown Steer,500-600,Processor,C,4,22,-8,310.0,360.0,352.27272727272725,-20.7,563.6,654.5,640.5,1736.0,2160.0,2025.8181818181818
Grown Steer,600-750,Processor,C,4,3,-8,333.0,340.0,335.3333333333333,-9.2,605.5,618.2,609.7,2197.8,2244.0,2213.2000325520835
Grown Steer,750+,Processor,C,4,2,1,200.0,200.0,200,-80.0,363.6,363.6,363.6,1700.0,1700.0,1700
Grown Heifer,0-540,Feeder,C,2,2,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1140.0,1140.0,1140
