Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 30/09/2024
Comparison Date: 23/09/2024
Total Yarding: 1430 (-123)
Commentary
"Numbers dropped slightly for a yarding of 1430 cattle. Quality was good with plenty on offer for feeders and restockers, prime yearlings were also well supplied. There were limited numbers of heavy grown cattle. All the regular buyers were present.

Young cattle to the trade held firm, prime yearling steers sold from 316c to 365c and prime yearling heifers, 290c to 356c/kg. Feeder steers were also firm, 310c to 400c, while feeder heifers sold cheaper, 260c to 347c/kg.

Prime grown cattle 5c cheaper, heavy steers sold from 270c to 357c, and heavy heifers, 270c to 355c/kg. Cows were firm to cheaper, 2 and 3 scores sold from 180c to 301c, and heavy prime cows, 305c to 322c/kg. Heavy bulls sold to 300c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,36,NQ,330.0,369.0,347.3888888888889,NQ,634.6,709.6,668.1,1056.0,1180.8,1111.6445176866318
Yearling Steer,330-400,Feeder,C,2,145,69,310.0,400.0,358.2896551724138,-29.3,596.2,769.2,689.0,1139.0,1520.0,1353.3986361799568
Yearling Steer,330-400,Processor,C,3,5,-14,340.0,355.0,343,-22.4,641.5,669.8,647.2,1292.0,1349.0,1303.4
Yearling Steer,330-400,Restocker,C,2,40,NQ,250.0,360.0,323.675,NQ,480.8,692.3,622.5,850.0,1224.0,1115.1949951171875
Yearling Steer,400+,Feeder,C,2,199,93,335.0,389.0,363.77386934673365,15.9,644.2,748.1,699.6,1470.0,1857.6,1684.0311702555748
Yearling Steer,400+,Processor,C,3,70,25,316.0,365.0,353.3142857142857,16.9,596.2,688.7,666.6,1472.0,2117.0,1896.5142525809151
Yearling Heifer,280-330,Feeder,C,2,17,NQ,260.0,319.0,284.47058823529414,NQ,500.0,613.5,547.1,832.0,1020.8,910.3058794806985
Yearling Heifer,280-330,Processor,C,3,5,NQ,338.0,340.0,339.6,NQ,637.7,641.5,640.8,1081.6,1088.0,1086.7199951171874
Yearling Heifer,280-330,Restocker,C,2,23,NQ,312.0,314.0,313.39130434782606,NQ,600.0,603.8,602.7,998.4,1004.8,1002.8521781589674
Yearling Heifer,330-400,Feeder,C,2,8,-10,290.0,319.0,293.625,-31.4,557.7,613.5,564.7,1044.0,1276.0,1073
Yearling Heifer,330-400,Processor,C,3,7,2,290.0,330.0,312.85714285714283,-31.1,547.2,622.6,590.3,1102.0,1188.0,1151.142857142857
Yearling Heifer,330-400,Restocker,C,2,2,NQ,318.0,318.0,318,NQ,611.5,611.5,611.5,1081.2,1081.2,1081.199951171875
Yearling Heifer,400+,Feeder,C,2,43,-71,280.0,347.0,318.7906976744186,-7.0,538.5,667.3,613.1,1176.0,1665.0,1392.2558139534883
Yearling Heifer,400+,Processor,C,3,17,-2,290.0,356.0,331.88235294117646,-18.7,547.2,671.7,626.2,1352.4,1851.2,1609.6470588235295
Vealer Steer,200-280,Restocker,C,2,20,NQ,360.0,435.0,431.25,NQ,692.3,836.5,829.3,1008.0,1131.0,1124.85
Manufacturing Steer,540+,Dairy,D,3,4,NQ,275.0,275.0,275,NQ,572.9,572.9,572.9,1650.0,1650.0,1650
Grown Steer,400-500,Processor,C,4,1,NQ,270.0,270.0,270,NQ,490.9,490.9,490.9,1296.0,1296.0,1296
Grown Steer,500-600,Processor,C,4,32,NQ,285.0,357.0,316.34375,NQ,518.2,649.1,575.2,1482.0,2070.6,1732.5187606811523
Grown Heifer,0-540,Processor,C,4,34,NQ,270.0,352.0,297.6470588235294,NQ,490.9,640.0,541.2,1296.0,1863.0,1508.6294124827666
Grown Heifer,540+,Processor,C,4,11,NQ,323.0,355.0,340.72727272727275,NQ,587.3,645.5,619.5,1873.4,1988.0,1937.7454723011363
Cows,400-520,Processor,D,2,115,40,180.0,272.0,231.6,39.0,391.3,591.3,503.5,792.0,1360.0,1055.2956521739131
Cows,400-520,Processor,D,3,54,NQ,278.0,290.0,283.85185185185185,NQ,579.2,604.2,591.4,1334.4,1508.0,1407.0518482349537
Cows,400-520,Restocker,D,2,7,NQ,245.0,245.0,245,NQ,532.6,532.6,532.6,1078.0,1078.0,1078
Cows,520+,Dairy,D,3,12,NQ,265.0,280.0,275,NQ,552.1,583.3,572.9,1590.0,1792.0,1724.6666666666667
Cows,520+,Processor,D,3,88,-19,282.0,301.0,295.3863636363636,5.6,587.5,627.1,615.4,1560.6,1680.0,1617.334111993963
Cows,520+,Processor,D,4,158,-1,305.0,322.0,312.4873417721519,-4.6,610.0,644.0,625.0,1724.8,2125.2,1856.259502942049
Calves,0-80,Restocker,C,2,6,NQ,200.0,300.0,246.66666666666666,NQ,384.6,576.9,474.4,100.0,240.0,168
Bulls,0-450,Processor,C,3,1,NQ,150.0,150.0,150,NQ,267.9,267.9,267.9,675.0,675.0,675
Bulls,450-600,Processor,C,3,4,NQ,255.0,272.0,261.75,NQ,448.3,485.7,459.4,1275.0,1560.0,1438.75
Bulls,600+,Processor,C,3,9,NQ,220.0,300.0,271,NQ,379.3,517.2,467.2,1540.0,2550.0,2129.9444444444443
