Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 01/04/2025
Comparison Date: 
Total Yarding: 700 (NQ)
Commentary
"Gunnedah numbers declined by 1135 head due to widespread rain events through the drawing area to offer 700 good quality cattle which included a very good offering of heavy cows that stood out to top at 345c/kg. Light cows also improved significantly in value.The regular buying gallery attended to a generally dearer trend although not all buyers operated.

Steer weaners under 200kgs were dearer to restockers 370c to 482c/kg. Similar heifers 316c to 385c/kg. Light background steers 371c to 400c/kg and medium feeders sold  to dearer trends reaching 452c/kg. Heavy  steers to process made to 365c/kg. Feeder heifers under 330kgs 325c to 354c/kg and medium weights 347c to 374c/kg. Heavy yearling heifers to process 360c to 384c/kg.

Heavy grown heifers to the trade 330c to 354c/kg. Four score cows 310c to 345c/kg three scores 264c to 305c/kg. Heavy bulls 276c to 307c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,6,NQ,328.0,396.0,352,NQ,607.4,733.3,651.9,852.8,1069.2,950.5333048502604
Yearling Steer,200-280,Restocker,C,2,1,NQ,332.0,332.0,332,NQ,614.8,614.8,614.8,929.6,929.6,929.5999755859375
Yearling Steer,280-330,Feeder,C,2,8,5,355.0,360.0,358.125,-16.9,657.4,666.7,663.2,1136.0,1152.0,1146
Yearling Steer,280-330,Restocker,C,2,9,8,371.0,400.0,374.22222222222223,42.2,687.0,740.7,693.0,1113.0,1200.0,1122.6666666666667
Yearling Steer,330-400,Feeder,C,2,92,43,328.0,452.0,397.2826086956522,21.9,607.4,837.0,735.7,1224.0,1580.0,1454.0250137992527
Yearling Steer,400+,Feeder,C,2,12,-210,322.0,322.0,322,-55.7,596.3,596.3,596.3,1803.2,1803.2,1803.1998697916667
Yearling Steer,400+,Processor,C,3,12,-29,326.0,418.0,372.8333333333333,-0.1,603.7,774.1,690.4,1800.0,2190.0,1889.7666727701824
Yearling Heifer,200-280,Feeder,C,2,5,NQ,354.0,354.0,354,NQ,667.9,667.9,667.9,955.8,955.8,955.8
Yearling Heifer,200-280,Restocker,C,2,6,2,359.0,359.0,359,41.0,677.4,677.4,677.4,969.3,969.3,969.2999674479166
Yearling Heifer,280-330,Feeder,C,2,23,17,325.0,354.0,337.30434782608694,9.3,613.2,667.9,636.4,1007.5,1168.2,1090.4956266983695
Yearling Heifer,280-330,Processor,C,2,11,NQ,354.0,370.0,362.72727272727275,NQ,667.9,698.1,684.4,1062.0,1110.0,1088.1818181818182
Yearling Heifer,280-330,Processor,D,2,3,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,780.0,780.0,780
Yearling Heifer,280-330,Restocker,C,2,20,-2,322.0,402.0,356.6,29.1,607.5,758.5,672.8,1030.4,1246.2,1171.1500183105468
Yearling Heifer,330-400,Feeder,C,2,8,-79,347.0,350.0,347.75,12.4,654.7,660.4,656.1,1225.0,1283.9,1269.175048828125
Yearling Heifer,330-400,Feeder,C,3,40,18,374.0,374.0,374,32.4,705.7,705.7,705.7,1383.8,1383.8,1383.8
Yearling Heifer,330-400,Processor,C,2,25,NQ,320.0,370.0,345.72,NQ,603.8,698.1,652.3,1152.0,1313.5,1218.0680078125
Yearling Heifer,330-400,Restocker,C,2,2,-20,360.0,360.0,360,41.7,679.2,679.2,679.2,1296.0,1296.0,1296
Yearling Heifer,400+,Feeder,C,2,3,-34,346.0,346.0,346,9.6,652.8,652.8,652.8,1453.2,1453.2,1453.1998697916667
Yearling Heifer,400+,Feeder,C,3,3,-113,359.0,359.0,359,8.1,677.4,677.4,677.4,1507.8,1507.8,1507.8001302083333
Yearling Heifer,400+,Processor,C,2,14,NQ,368.0,368.0,368,NQ,694.3,694.3,694.3,1545.6,1545.6,1545.6000279017858
Yearling Heifer,400+,Processor,C,3,26,-4,360.0,384.0,372.46153846153845,22.4,679.2,724.5,702.8,1573.8,2183.1,1748.3346228966345
Vealer Steer,0-200,Restocker,C,2,32,NQ,370.0,482.0,426.25,NQ,685.2,892.6,789.4,555.0,795.6,698.5124969482422
Vealer Steer,200-280,Restocker,C,2,16,-15,294.0,468.0,398.375,-26.0,544.4,866.7,737.7,655.6,1076.4,926.5374946594238
Vealer Heifer,0-200,Restocker,C,2,15,4,316.0,385.0,367.1333333333333,51.1,596.2,726.4,692.7,537.2,693.0,658.7333374023438
Vealer Heifer,200-280,Restocker,C,2,9,-62,262.0,380.0,334.6666666666667,4.5,494.3,717.0,631.4,576.4,836.0,762.4000108506945
Manufacturing Steer,540+,Processor,D,3,3,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,1170.0,1170.0,1170
Grown Steer,600-750,Processor,C,3,12,NQ,357.0,357.0,357,NQ,661.1,661.1,661.1,2320.5,2320.5,2320.5
