Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 03/12/2024
Comparison Date: 26/11/2024
Total Yarding: 2500 (-1050)
Commentary
"With large rainfall recorded from the drawing areas the numbers fell by 1000 head. Young cattle were again offloaded in large numbers while there was a limited supply of heavy grown cattle apart from cows. The quality of the offering was generally good with the majority of the cattle presenting in forward condition. There was reduced processor competition on cows however all other regular orders were in place. 

The market for light weight steers returning to the paddock was solid resulting in a mostly firm trend. The medium weight steers to restock and feed sold to a dearer trend improving by as much as 10c/kg. Feedlotters were looking for plenty of weight in their steer purchases regardless of breed with this also resulting in a dearer trend of around 10c/kg. There was little change in the market for light weight yearling heifers. The medium and heavy weights sold on a mostly firm market with an odd cheaper sale.

The limited supply of well finished heavy weight grown steers suitable to processors saw a firm to slightly cheaper trend with some quality related price change. Well finished grown heifers sold on a firm to slightly dearer trend. There were slightly cheaper trends through the cow market with reduced competition and weaker demand."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,23,2,366.0,398.0,378.3478260869565,11.7,703.8,765.4,727.6,1134.6,1313.4,1203.8695652173913
Yearling Steer,280-330,Restocker,C,2,58,40,390.0,430.0,399.4310344827586,9.4,750.0,826.9,768.1,1170.0,1323.3,1218.625875538793
Yearling Steer,330-400,Feeder,C,2,99,-266,375.0,402.0,384.5959595959596,19.1,721.2,773.1,739.6,1262.9,1520.0,1431.6495016078757
Yearling Steer,330-400,Restocker,C,2,73,40,290.0,399.0,380.54794520547944,-0.7,557.7,767.3,731.8,1073.0,1496.3,1425.850666202911
Yearling Steer,400+,Feeder,C,2,321,266,302.0,386.0,378.25545171339564,13.5,580.8,742.3,727.4,1238.2,1924.0,1718.3180650372371
Yearling Steer,400+,Feeder,C,3,114,97,340.0,379.0,367.5964912280702,-3.4,629.6,701.9,680.7,1649.0,1952.5,1830.3280993009869
Yearling Steer,400+,Processor,C,3,9,-10,320.0,342.0,335.55555555555554,-20.7,592.6,633.3,621.4,1386.0,1881.0,1801.4444444444443
Yearling Steer,400+,Restocker,C,2,48,NQ,376.0,385.0,380.8125,NQ,723.1,740.4,732.3,1560.4,1638.3,1608.5458374023438
Yearling Heifer,280-330,Feeder,C,2,47,23,305.0,328.0,318.3404255319149,16.6,586.5,630.8,612.2,970.2,1049.6,1016.0425531914893
Yearling Heifer,280-330,Processor,C,2,3,-13,280.0,280.0,280,-8.4,538.5,538.5,538.5,812.0,812.0,812
Yearling Heifer,280-330,Processor,C,3,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,976.5,976.5,976.5
Yearling Heifer,280-330,Restocker,C,2,153,NQ,280.0,337.0,325.6078431372549,NQ,538.5,648.1,626.2,812.0,1075.8,985.0209226919935
