Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 2590 (+240)
Commentary
"There was a small increase in numbers following the short week. Yearlings were well supplied. Apart from cows there were limited numbers of export cattle. The quality and condition of the offering varied with some of the young cattle looking to have slipped in the heat and deteriorating seasonal conditions. Not all processors participated and some of the feeder orders were subdued.

Restockers were active on the good quality light weight young cattle with the  better quality vealers to restock selling to a slightly dearer trend. Medium and heavy weight yearling steers to restock and feed improved slightly. The price gap between breeds minimal on the good quality lots, particularly the heavier weight feeders. Demand for heifer yearlings to restock and feed was weaker throughout. This resulted in cheaper trends with significant falls in places, more so on the secondary lots.

The weaker processor demand for export cattle resulted in the well finished heavy grown steers selling to cheaper trends. Those trends carried into the grown heifers. There were quality related price variations in some cow classes, most noticeable on the plainer condition lots to process. Overall however the trend was slightly cheaper, up to 13c on the well finished heavy weights. Heavy bulls were as much as 14c/kg cheaper on an improved quality offering."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,9,-4,364.0,364.0,364,2.7,700.0,700.0,700.0,964.6,964.6,964.5999348958334
Yearling Steer,280-330,Restocker,C,2,59,36,322.0,386.0,360.1864406779661,-0.8,619.2,742.3,692.7,966.0,1235.2,1151.6762447033898
Yearling Steer,280-330,Restocker,D,2,4,NQ,256.0,256.0,256,NQ,512.0,512.0,512.0,832.0,832.0,832
Yearling Steer,330-400,Feeder,C,2,124,-56,337.0,384.0,368.7096774193548,2.3,648.1,738.5,709.1,1179.5,1416.8,1356.796370967742
Yearling Steer,330-400,Restocker,C,2,78,-46,342.0,395.0,362.3076923076923,6.7,657.7,759.6,696.7,1217.2,1501.0,1304.792962489984
Yearling Steer,400+,Feeder,C,2,266,16,310.0,384.0,367.83458646616543,3.2,596.2,738.5,707.4,1302.0,1840.0,1596.5708682411596
Yearling Steer,400+,Feeder,C,3,108,86,320.0,370.0,353.85185185185185,-6.0,592.6,685.2,659.3,1569.5,1908.0,1761.352783203125
Yearling Steer,400+,Processor,C,3,4,-36,320.0,350.0,340.5,-28.4,592.6,633.3,619.0,1855.0,1949.4,1878.8500061035156
Yearling Steer,400+,Restocker,C,2,21,NQ,360.0,378.0,374.14285714285717,NQ,692.3,726.9,719.5,1476.0,1575.0,1546.4857235863096
Yearling Heifer,200-280,Restocker,C,2,3,NC,280.0,280.0,280,-10.0,538.5,538.5,538.5,728.0,728.0,728
Yearling Heifer,200-280,Restocker,D,2,18,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,648.0,648.0,648
Yearling Heifer,280-330,Feeder,C,2,5,-35,268.0,268.0,268,-52.1,515.4,515.4,515.4,804.0,804.0,804
