Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 05/11/2024
Comparison Date: 29/10/2024
Total Yarding: 3470 (+1120)
Commentary
"The onset of warmer weather and heading into some very hot dry days saw the numbers increase significantly. Young cattle were plentiful and there were some high quality heavy weight cows penned. Overall the quality and condition of the offering was good, there were some plainer quality cattle penned also. The usual orders were in place while there was a greater QLD presence in the feeder steer market.

Restocker demand for light weight steers was strong with this category one of very few showing in the positive. A greater selection of medium and heavy weight yearling steers eased requirement pressure and resulted in cheaper trends. The heavy weights were least affected losing around 10c/kg. Heavy trade steers were quite a bit cheaper. As is often the case on a falling market the heifers saw significantly cheaper trends through the light and medium weights while the good quality heavy weights were less affected. The plain and secondary quality heifers showing the greater falls. There were signs through the young cattle market that supply lines were filling.

Export cattle sold to cheaper trends with both heavy grown steers and heifer’s adversely affected. There was some quality related price improvement on an otherwise cheaper trend through the cow market. Heavy bulls were plentiful and sold to cheaper trends with some of the heavier bulls carrying an excess of condition."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,62,43,330.0,418.0,376,4.4,634.6,803.8,723.1,874.5,995.0,952.1935247605846
Yearling Steer,200-280,Restocker,D,2,9,NC,374.0,374.0,374,86.0,748.0,748.0,748.0,860.2,860.2,860.2000325520834
Yearling Steer,280-330,Feeder,C,2,12,-4,320.0,345.0,339.1666666666667,-20.0,615.4,663.5,652.2,1000.5,1089.0,1027.25
Yearling Steer,280-330,Restocker,C,2,64,40,258.0,400.0,336.921875,-24.4,496.2,769.2,647.9,824.6,1200.0,1029.273422241211
Yearling Steer,280-330,Restocker,D,2,9,NQ,272.0,272.0,272,NQ,544.0,544.0,544.0,870.4,870.4,870.4000108506945
Yearling Steer,330-400,Feeder,C,2,124,45,300.0,364.0,348.93548387096774,-10.9,576.9,692.3,669.1,1110.0,1440.0,1311.6660865045362
Yearling Steer,330-400,Restocker,C,2,122,24,280.0,374.0,335.1475409836066,-33.0,538.5,719.2,644.5,964.8,1347.5,1227.497546586834
Yearling Steer,330-400,Restocker,D,2,15,NQ,274.0,300.0,277.46666666666664,NQ,548.0,600.0,554.9,931.6,1020.0,943.3866536458333
Yearling Steer,400+,Feeder,C,2,308,174,310.0,357.0,348.05194805194805,-10.8,596.2,686.5,668.2,1408.0,1643.5,1531.1187886820212
Yearling Steer,400+,Feeder,C,3,134,70,314.0,355.0,342.64179104477614,-7.8,581.5,657.4,634.5,1539.0,1914.0,1762.5559646834188
Yearling Steer,400+,Feeder,D,2,20,NQ,275.0,300.0,282.5,NQ,528.8,576.9,543.3,1155.0,1260.0,1186.5
Yearling Steer,400+,Processor,C,2,25,NQ,330.0,340.0,330.8,NQ,611.1,629.6,612.6,1428.0,1716.0,1692.96
