Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 08/10/2024
Comparison Date: 01/10/2024
Total Yarding: 2900 (+580)
Commentary
"As the warmer weather continues there was an increased penning where young cattle were well supplied. Cows and grown heifers made up the bulk of the export cattle with few well finished heavy grown steers. The overall quality of the offering was generally good while the majority presented in forward condition. There was a reduced buyer presence operating on the heavy weight feeder steers while not all processors operated at their recent levels.

With supply lines showing signs of filling demand through the young cattle to restock and feed was weaker. This resulted in the light and medium weight yearling steers selling to cheaper trends of 15 to 20c/kg. The reduced competition for heavy weight feeder steers resulted in cheaper trends of 16c to 30c/kg with the mixed breed pens least affected while the specialty lines experienced the greater falls. Demand for yearling heifers to restock and feed was also weaker with large numbers showing at the higher end of the condition scores. Market trends were cheaper throughout however only slightly so in comparison to those of the steers. There was a small improvement in the few going to the trade.

A limited supply of heavy grown steers to process sold on a firm to slightly dearer trend. That trend flowing into the best of the grown heifers. There were varying trends though the cow market with the medium weight cows selling on a firm to cheaper trend while the well finished heavy weights improved slightly. Heavy weight bulls sold to a cheaper trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,44,39,350.0,380.0,377.27272727272725,-13.5,673.1,730.8,725.5,875.0,1045.0,1029.5454545454545
Yearling Steer,280-330,Restocker,C,2,110,71,310.0,385.0,361.8090909090909,-6.7,596.2,740.4,695.8,969.0,1270.5,1127.4545454545455
Yearling Steer,330-400,Feeder,C,2,100,-23,328.0,365.0,355.54,-12.6,630.8,701.9,683.7,1145.8,1436.0,1317.4489965820312
Yearling Steer,330-400,Feeder,C,3,2,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1156.0,1156.0,1156
Yearling Steer,330-400,Restocker,C,2,37,-131,350.0,376.0,362.27027027027026,-12.9,673.1,723.1,696.7,1190.0,1334.8,1253.0594911317567
Yearling Steer,400+,Feeder,C,2,335,195,326.0,382.0,356.0477611940299,-13.4,626.9,734.6,684.7,1353.0,1836.0,1560.299854244403
Yearling Steer,400+,Feeder,C,3,157,-84,310.0,375.0,353.4012738853503,-19.1,584.9,694.4,657.0,1302.0,1782.0,1599.9891769506369
Yearling Steer,400+,Processor,C,3,16,-9,311.0,370.0,359.75,2.5,575.9,685.2,666.2,1555.0,1971.0,1826.125
Yearling Heifer,200-280,Processor,C,2,4,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,783.0,783.0,783
Yearling Heifer,200-280,Restocker,C,2,63,53,230.0,310.0,290.76190476190476,-15.6,442.3,584.9,557.9,598.0,852.5,778.6999937996031
Yearling Heifer,280-330,Processor,C,2,12,7,234.0,234.0,234,-42.4,450.0,450.0,450.0,772.2,772.2,772.2000325520834
Yearling Heifer,280-330,Processor,C,3,2,-12,322.0,322.0,322,4.0,607.5,607.5,607.5,917.7,917.7,917.7000122070312
