Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 09/07/2024
Comparison Date: 
Total Yarding: 1635 (NQ)
Commentary
"Gunnedah penned 1635 mostly good quality cattle 456 less than last week. There were pens of plainer types included in the offering. The cow penning resulted in much dearer trends for that category to top at 299c/kg. There were pens of medium weight yearling steers up to 400c/kg and yearling steers in excess of 500kgs also making to 400c/kg. The regular buyers attended and included an extra cow buyer.

Weaner steers 274c to 402c/kg and the heifer portion 23c/kg dearer 294c to 325c/kg. Light steers to feed 312c to 410c/kg and backgrounders to 407c/kg. Medium feeders sold to strong trends and the heavy categories saw a moderate quality correction. Light background heifers sold to a modest rise however medium weights slipped 16c/kg plainer types affecting averages.

Grown heifers to feed were considerably dearer making to 340c/kg. The same applied to the heavy grown processor heifers which sold to very competitive demand. Cows trends improved with medium weights making to 250c/kg and heavy cows to 22c/kg dearer 260c to 299c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,15,NQ,410.0,410.0,410,NQ,759.3,759.3,759.3,1148.0,1148.0,1148
Yearling Steer,200-280,Restocker,C,2,22,4,330.0,407.0,396.59090909090907,60.6,611.1,753.7,734.4,896.4,1098.9,1073.7954378995028
Yearling Steer,280-330,Feeder,C,2,76,NQ,312.0,410.0,367.17105263157896,NQ,577.8,759.3,679.9,1026.0,1287.0,1174.2092253032483
Yearling Steer,330-400,Feeder,C,2,221,NQ,310.0,420.0,378.3348416289593,NQ,574.1,777.8,700.6,1116.0,1561.8,1398.993213774392
Yearling Steer,330-400,Feeder,C,3,12,NQ,340.0,368.0,361,NQ,629.6,681.5,668.5,1360.0,1361.6,1361.199951171875
Yearling Steer,330-400,Processor,C,3,1,NQ,345.0,345.0,345,NQ,638.9,638.9,638.9,1276.5,1276.5,1276.5
Yearling Steer,330-400,Restocker,C,2,2,-4,336.0,336.0,336,-42.7,622.2,622.2,622.2,1176.0,1176.0,1176
Yearling Steer,400+,Feeder,C,2,35,1,290.0,404.0,378.54285714285714,-6.8,537.0,748.1,701.0,1241.2,2222.0,2018.8428501674107
Yearling Steer,400+,Feeder,C,3,4,-18,346.0,346.0,346,-24.2,640.7,640.7,640.7,1903.0,1903.0,1903
Yearling Steer,400+,Processor,C,3,10,NQ,310.0,355.0,339.3,NQ,574.1,657.4,628.3,1860.0,2124.0,1989.889990234375
Yearling Heifer,200-280,Feeder,C,2,29,NQ,300.0,325.0,323,NQ,566.0,613.2,609.4,840.0,877.5,874.1689621497845
Yearling Heifer,200-280,Processor,C,2,1,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,718.2,718.2,718.2000122070312
Yearling Heifer,200-280,Restocker,C,2,31,30,250.0,312.0,291.83870967741933,59.8,471.7,588.7,550.6,575.0,842.4,780.0806609122984
Yearling Heifer,280-330,Feeder,C,2,23,NQ,352.0,352.0,352,NQ,664.2,664.2,664.2,1126.4,1126.4,1126.400050951087
Yearling Heifer,280-330,Processor,C,2,4,NQ,320.0,330.0,327.5,NQ,603.8,622.6,617.9,960.0,1049.4,1027.050048828125
Yearling Heifer,280-330,Processor,C,3,2,NQ,325.0,325.0,325,NQ,613.2,613.2,613.2,1040.0,1040.0,1040
Yearling Heifer,280-330,Restocker,C,2,36,5,290.0,321.0,312.44444444444446,-15.5,547.2,605.7,589.5,928.0,1027.2,998.9888780381945
Yearling Heifer,330-400,Feeder,C,2,26,-5,270.0,302.0,294.9230769230769,-61.6,509.4,569.8,556.5,918.0,1102.6,1068.90769136869
Yearling Heifer,330-400,Processor,C,2,1,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,850.0,850.0,850
Yearling Heifer,330-400,Processor,C,3,4,2,302.0,350.0,324,-8.5,569.8,660.4,611.3,1117.4,1295.0,1190.25
Yearling Heifer,330-400,Restocker,C,2,29,-10,288.0,320.0,301.9310344827586,10.4,543.4,603.8,569.7,1050.0,1152.0,1091.6275592672414
Yearling Heifer,400+,Feeder,C,2,37,32,297.0,334.0,300.05405405405406,-26.9,560.4,630.2,566.1,1306.8,1436.2,1312.502738334037
Yearling Heifer,400+,Processor,C,2,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1408.0,1408.0,1408
Yearling Heifer,400+,Processor,C,3,51,28,280.0,370.0,350.47058823529414,48.5,528.3,698.1,661.3,1176.0,2006.8,1778.8078517539827
Vealer Steer,200-280,Feeder,C,2,9,NQ,402.0,402.0,402,NQ,744.4,744.4,744.4,1125.6,1125.6,1125.5999348958333
Vealer Steer,200-280,Restocker,C,2,34,-26,274.0,402.0,352.52941176470586,-29.8,507.4,744.4,652.8,638.0,1030.4,863.4117647058823
