Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 10/09/2024
Comparison Date: 03/09/2024
Total Yarding: 2970 (+70)
Commentary
"The numbers remained steady with another large offloading of young cattle. There was a fair supply of heavy grown cattle along with a good selection of cows. Overall the quality of the young cattle was good and condition variable. There were some bigger lines of feeder and restocker cattle along with the usual penning of plainer and secondary quality yearlings. The usual buyers were in attendance.

Light weight steers to restockers sold to a slightly cheaper trend with the medium and heavy weights to restock and feed following a similar trend. The price gap between the light weight heifers and their steer counterparts closed slightly with the heifers selling on  a firm to dearer trend with an improvement in quality. The medium and heavy weights to restock and feed saw trends generally firm with an odd slightly dearer sale.

There were not many well finished heavy grown steers to suit processors with the market firm to cheaper. Most of the price change was quality and age related. There was little change in the well finished grown heifers to process. The cow market showed an improvement under strong demand with all classes selling to a dearer trend. A good supply of heavy bulls sold to dearer trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,13,-6,276.0,415.0,382.9230769230769,3.4,530.8,798.1,736.4,676.2,1099.8,1002.0076998197115
Yearling Steer,280-330,Restocker,C,2,160,76,300.0,414.0,381.325,-3.2,576.9,796.2,733.3,870.0,1273.8,1174.9681198120118
Yearling Steer,330-400,Feeder,C,2,220,33,335.0,400.0,376.15,-3.7,644.2,769.2,723.4,1172.5,1516.0,1405.7811301491477
Yearling Steer,330-400,Feeder,C,3,2,NQ,346.0,346.0,346,NQ,640.7,640.7,640.7,1280.2,1280.2,1280.199951171875
Yearling Steer,330-400,Processor,C,3,6,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,1330.0,1330.0,1330
Yearling Steer,330-400,Restocker,C,2,174,90,316.0,404.0,376.4367816091954,-27.7,607.7,776.9,723.9,1106.0,1535.2,1346.9195177801723
Yearling Steer,400+,Feeder,C,2,341,229,336.0,403.0,380.366568914956,5.0,646.2,775.0,731.5,1476.0,1985.0,1677.38696217467
Yearling Steer,400+,Feeder,C,3,116,67,356.0,404.0,376.05172413793105,-8.7,659.3,748.1,696.4,1569.5,1958.0,1848.0637964709051
Yearling Steer,400+,Processor,C,3,1,NC,350.0,350.0,350,-10.0,648.1,648.1,648.1,1435.0,1435.0,1435
Yearling Steer,400+,Restocker,C,2,8,1,376.0,376.0,376,-34.0,723.1,723.1,723.1,1579.2,1579.2,1579.199951171875
Yearling Heifer,200-280,Restocker,C,2,30,27,268.0,362.0,358.26666666666665,52.3,515.4,696.2,689.0,696.8,1010.8,994.7233459472657
Yearling Heifer,280-330,Feeder,C,2,29,9,330.0,360.0,351.7241379310345,-0.3,634.6,692.3,676.4,1089.0,1116.0,1108.551724137931
Yearling Heifer,280-330,Processor,C,2,22,NQ,276.0,355.0,344.22727272727275,NQ,530.8,682.7,662.0,828.0,1136.0,1094
