Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 10/12/2024
Comparison Date: 03/12/2024
Total Yarding: 2920 (+420)
Commentary
"With just one sale left before the Christmas break there was an increase in supply. That increase was mostly made up of feeder cattle. Young cattle made up by far the largest percentage of the offering with the majority in the medium and heavy weight classes. The quality of the young cattle was generally very good with condition also good. There were limited supplies of well finished export steers and heifers while there was a fair supply of cows. There were a couple of absentees in the buying group.

Strong demand from restockers and feedlotters resulted in dearer trends through the yearling steers with light weights to restock and feed up to 6c/kg dearer. A greater emphasis was placed on the medium and heavy weights with medium weights as much as 14c dearer while heavy weights to background and feed saw improvement of as much as 10c/kg with little in the way of breed premiums. Light weight yearling heifers sold to a slightly cheaper trend with a limited supply and some variation in quality.The medium and heavy weight heifers sold to a dearer trend of as much as 10c/kg. 

Well finished heavy grown steers to process experienced little change while the well finished heavy grown heifers were keenly sought. The best of them were as much as 20c/kg dearer. There was also strong processor demand in the cow market with market trends showing significant improvement."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,5,NQ,400.0,400.0,400,NQ,769.2,769.2,769.2,1000.0,1000.0,1000
Yearling Steer,280-330,Feeder,C,2,40,17,398.0,436.0,418,39.7,765.4,838.5,803.8,1179.9,1417.0,1278.97001953125
Yearling Steer,280-330,Restocker,C,2,24,-34,352.0,408.0,376.75,-22.7,676.9,784.6,724.5,1056.0,1203.6,1140.6083170572917
Yearling Steer,330-400,Feeder,C,2,144,45,370.0,410.0,390.5486111111111,6.0,711.5,788.5,751.1,1258.0,1517.0,1436.0086398654514
Yearling Steer,330-400,Restocker,C,2,138,65,350.0,416.0,387.9782608695652,7.4,673.1,800.0,746.1,1330.0,1556.3,1449.6742810235507
Yearling Steer,400+,Feeder,C,2,557,236,345.0,395.0,386.6552962298025,8.4,663.5,759.6,743.6,1537.5,1944.0,1726.1057475173923
Yearling Steer,400+,Feeder,C,3,38,-76,325.0,383.0,369.7105263157895,2.1,601.9,709.3,686.6,1548.0,1948.2,1821.942074424342
Yearling Steer,400+,Processor,C,3,9,NC,360.0,360.0,360,24.4,666.7,666.7,666.7,1980.0,2106.0,2078
Yearling Steer,400+,Processor,C,4,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1984.0,1984.0,1984
Yearling Steer,400+,Restocker,C,2,68,20,355.0,389.0,388.3529411764706,7.5,682.7,748.1,746.8,1562.0,1633.8,1626.4206112132354
Yearling Heifer,200-280,Restocker,C,2,5,NQ,302.0,323.0,318.8,NQ,580.8,621.2,613.1,791.3,815.4,796.1599853515625
Yearling Heifer,280-330,Feeder,C,2,10,-37,310.0,310.0,310,-8.3,596.2,596.2,596.2,1023.0,1023.0,1023
