Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 11/02/2025
Comparison Date: 04/02/2025
Total Yarding: 1105 (-1485)
Commentary
"A localised rain event saw numbers fall by more than half. Young cattle and cows made up the majority in an offering where both quality and condition was fair to good. There was a reduced gallery of buyers in attendance, mostly from the restocker and feeder ranks.

There were limited supplies of vealers with the steers dearer and the heifer portion cheaper. Lightweight yearling steers to restock saw averages down however this was a breed related change. The medium and heavyweight yearling steers to restock and feed experienced little change that wasn’t quality related. There were odd dearer sales, breed specific.yearling heifers sold on a generally firm market trend where the reduced supply impacted positively on price change.

Well finished grown heifers sold to a slightly dearer trend while there was some improvement in the cow market where all attending processors competed strongly whilst endeavouring to secure supply requirements."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,36,-23,314.0,368.0,351.52777777777777,-8.7,603.8,707.7,676.0,934.8,1177.6,1058.219443427192
Yearling Steer,330-400,Feeder,C,2,30,-94,368.0,384.0,374.53333333333336,5.8,707.7,738.5,720.3,1472.0,1536.0,1498.1333333333334
Yearling Steer,330-400,Restocker,C,2,101,23,280.0,426.0,361.029702970297,-1.3,538.5,819.2,694.3,966.0,1512.3,1307.9128828898515
Yearling Steer,400+,Feeder,C,2,99,-167,310.0,408.0,377.1212121212121,9.3,596.2,784.6,725.2,1364.0,1795.2,1647.6828083076862
Yearling Steer,400+,Feeder,C,3,5,-103,330.0,378.0,368.4,14.5,611.1,700.0,682.2,1534.5,1701.0,1667.7
Yearling Steer,400+,Processor,C,3,1,-3,340.0,340.0,340,-0.5,629.6,629.6,629.6,1428.0,1428.0,1428
Yearling Heifer,280-330,Feeder,C,2,26,21,286.0,310.0,291.65384615384613,23.7,550.0,596.2,560.9,829.4,1023.0,883.2576998197115
Yearling Heifer,280-330,Feeder,C,3,3,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,957.0,957.0,957
Yearling Heifer,280-330,Feeder,D,2,11,NQ,298.0,298.0,298,NQ,596.0,596.0,596.0,983.4,983.4,983.4000355113636
Yearling Heifer,280-330,Processor,C,2,2,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,926.3,926.3,926.25
Yearling Heifer,280-330,Processor,C,3,2,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,975.0,975.0,975
Yearling Heifer,280-330,Restocker,C,2,129,55,286.0,308.0,299.73643410852713,-2.7,550.0,592.3,576.4,858.0,1016.4,974.1829199975775
Yearling Heifer,280-330,Restocker,C,3,2,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,810.0,810.0,810
Yearling Heifer,330-400,Feeder,C,2,79,-16,302.0,320.0,310.746835443038,13.2,580.8,615.4,597.6,1071.0,1280.0,1131.551912331883
