Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 12/11/2024
Comparison Date: 05/11/2024
Total Yarding: 1750 (-1720)
Commentary
"Gunnedah numbers reduced by half to 1750 good quality cattle with yearlings in the majority. Trends increased significantly with all regular buyers participating.

Light steers to background were substantially dearer  272c to 300c/kg. Steers  280 kgs 292 to 400c/kg with some drafts showing a lapse in quality. Medium steers to feed saw a slight negative correction 359c to 382c/kg whereas similar steers to background sold to a dearer trend 359c to 390c/kg. Heavy yearling feeders gained 5c/kg  and sold 345c to 375c/kg. Light feeder heifers 310c to 337c/kg and medium feeders resulted in a dearer trend 345c to 375c/kg. Heavy feeders also dearer 316c to 330c/kg.

Heavy grown steers were dearer 336c to 356c/kg with the heifers following suite gaining 8c/kg and selling up to 326c/kg. Medium cows were dearer 254c to 260c/kg and heavy cows selling to dearer trends 242c to 305c/kg. Heavy bulls made to 285c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,17,NQ,302.0,360.0,342.94117647058823,NQ,559.3,666.7,635.1,815.4,1008.0,951.3529411764706
Yearling Steer,200-280,Processor,C,2,2,NQ,280.0,285.0,282.5,NQ,518.5,527.8,523.1,700.0,741.0,720.5
Yearling Steer,200-280,Restocker,C,2,44,-18,292.0,400.0,374.6363636363636,-1.4,540.7,740.7,693.8,759.2,1063.8,981.4181906960227
Yearling Steer,280-330,Feeder,C,2,26,14,330.0,376.0,365.9230769230769,26.8,611.1,696.3,677.6,1089.0,1240.8,1207.5461989182693
Yearling Steer,280-330,Restocker,C,2,22,-42,330.0,400.0,373.8636363636364,36.9,611.1,740.7,692.3,1056.0,1280.0,1179.590909090909
Yearling Steer,330-400,Feeder,C,2,247,123,289.0,382.0,367.4089068825911,18.5,535.2,707.4,680.4,982.6,1480.0,1358.027936309938
Yearling Steer,330-400,Processor,C,3,4,NQ,290.0,320.0,297.5,NQ,537.0,592.6,550.9,1102.0,1216.0,1130.5
Yearling Steer,330-400,Restocker,C,2,81,-41,359.0,390.0,379.65432098765433,44.5,664.8,722.2,703.1,1328.3,1443.0,1404.7210648148148
Yearling Steer,400+,Feeder,C,2,125,-183,345.0,375.0,364.024,16.0,638.9,694.4,674.1,1587.0,2111.2,1856.6240078125
Yearling Steer,400+,Feeder,C,3,18,-116,348.0,348.0,348,5.4,644.4,644.4,644.4,1844.4,1844.4,1844.3999565972222
Yearling Steer,400+,Processor,C,2,2,-23,285.0,285.0,285,-45.8,527.8,527.8,527.8,1710.0,1710.0,1710
Yearling Steer,400+,Processor,C,3,40,-65,335.0,368.0,360.125,28.0,620.4,681.5,666.9,1545.6,2307.5,1895.8199890136718
Yearling Steer,400+,Restocker,C,2,29,12,356.0,357.0,356.3103448275862,8.0,659.3,661.1,659.8,1495.2,1713.6,1562.9792901400863
Yearling Heifer,200-280,Feeder,C,2,10,NQ,305.0,325.0,309,NQ,575.5,613.2,583.0,823.5,877.5,834.3
Yearling Heifer,200-280,Processor,C,2,7,-3,270.0,270.0,270,44.8,509.4,509.4,509.4,702.0,702.0,702
Yearling Heifer,200-280,Restocker,C,2,19,-85,304.0,318.0,308.42105263157896,30.6,573.6,600.0,581.9,731.4,820.8,792.5684107730264
Yearling Heifer,280-330,Feeder,C,2,87,-9,310.0,337.0,327.08045977011494,35.2,584.9,635.8,617.1,977.3,1102.2,1065.4206963900863
Yearling Heifer,280-330,Processor,C,3,2,-5,310.0,310.0,310,11.4,584.9,584.9,584.9,961.0,961.0,961
Yearling Heifer,330-400,Feeder,C,2,98,-3,300.0,333.0,325.3775510204082,33.1,566.0,628.3,613.9,1080.0,1217.3,1164.7875652702487
Yearling Heifer,330-400,Processor,C,3,27,21,300.0,330.0,315.55555555555554,42.2,566.0,622.6,595.4,1110.0,1320.0,1196.888888888889
Yearling Heifer,400+,Feeder,C,2,12,NQ,316.0,330.0,324.1666666666667,NQ,596.2,622.6,611.6,1327.2,1518.0,1438.5
Yearling Heifer,400+,Processor,C,2,8,4,300.0,300.0,300,35.0,566.0,566.0,566.0,1740.0,1740.0,1740
Yearling Heifer,400+,Processor,C,3,22,-12,230.0,330.0,304.8636363636364,16.8,434.0,622.6,575.2,1323.0,2086.5,1590.8181818181818
Vealer Steer,0-200,Restocker,C,2,11,6,335.0,388.0,360.90909090909093,-31.1,632.1,718.5,673.7,536.0,776.0,660.9090909090909
Vealer Steer,200-280,Restocker,C,2,2,-16,320.0,320.0,320,-85.0,592.6,592.6,592.6,736.0,736.0,736
Vealer Heifer,0-200,Restocker,C,2,20,7,272.0,300.0,293,-17.0,513.2,566.0,552.8,489.6,510.0,504.9
Vealer Heifer,200-280,Processor,C,2,2,1,270.0,270.0,270,NC,509.4,509.4,509.4,702.0,702.0,702
