Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 14/01/2025
Comparison Date: 07/01/2025
Total Yarding: 3650 (+2830)
Commentary
"There was a significant increase in numbers with markets back in full swing. Young cattle and cows accounted for the bulk of the numbers with limited supplies of grown cattle  suitable to processors. The quality of the offering was generally good as was condition. There were very few light weight young cattle penned. The full compliment of regular buyers were in attendance.

The increased supply of young cattle was somewhat negated by high demand from restocks and more so feedlots. The few light weight steers sold to dearer trends with breed contributing. The medium weight yearling steers to restock and feed were keenly sought with breed and quality contributing to price change. The heavy weight feeder steers were mostly firm. There were however some cheaper sales in some of the breed specific feeders. Strong demand for well finished steers to the supermarket trade. Demand was strong for medium and heavy weight yearling heifers to feed with the market trend dearer. Improvements of as much as 14c/kg common.

Export processor demand was strong for heavy grown steers and well finished heavy grown heifers with trends dearer throughout. Increased supply minimised improvement in the cow market with market trends generally firm."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,10,2,390.0,394.0,392,37.5,750.0,757.7,753.8,1260.8,1287.0,1273.9
Yearling Steer,330-400,Feeder,C,2,82,73,352.0,395.0,383.890243902439,-31.1,676.9,759.6,738.3,1338.6,1580.0,1466.6658727134147
Yearling Steer,330-400,Restocker,C,2,162,97,320.0,440.0,399.68518518518516,-0.6,615.4,846.2,768.6,1152.0,1672.0,1429.9595691068673
Yearling Steer,400+,Feeder,C,2,517,403,355.0,402.0,388.70212765957444,-19.2,637.5,773.1,745.9,1455.5,1999.2,1766.157639287657
Yearling Steer,400+,Feeder,C,3,90,73,360.0,395.0,385.8333333333333,-22.3,666.7,759.6,717.3,1642.6,2156.0,1960.116677517361
Yearling Steer,400+,Processor,C,2,7,NQ,360.0,360.0,360,NQ,642.9,642.9,642.9,1746.0,1746.0,1746
Yearling Steer,400+,Processor,C,3,16,NQ,326.0,389.0,379.875,NQ,603.7,720.4,703.5,1760.4,1963.5,1934.462501525879
Yearling Steer,400+,Restocker,C,2,54,48,370.0,400.0,390.18518518518516,0.5,711.5,769.2,750.4,1629.6,1692.2,1660.7351707175926
Yearling Heifer,200-280,Restocker,C,2,17,15,310.0,320.0,317.6470588235294,7.6,596.2,615.4,610.9,821.5,880.0,866.2352941176471
Yearling Heifer,280-330,Feeder,C,2,19,18,332.0,346.0,337.1578947368421,-2.8,638.5,665.4,648.4,1029.2,1141.8,1070.6842105263158
Yearling Heifer,280-330,Processor,C,2,6,4,270.0,270.0,270,NC,540.0,540.0,540.0,891.0,891.0,891
Yearling Heifer,280-330,Restocker,C,2,87,72,324.0,350.0,336.62068965517244,0.7,623.1,673.1,647.3,923.4,1102.5,1066.4643779184626
Yearling Heifer,330-400,Feeder,C,2,326,225,318.0,364.0,348.36196319018404,7.4,611.5,700.0,669.9,1081.2,1456.0,1301.0454011694785
