Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 15/10/2024
Comparison Date: 08/10/2024
Total Yarding: 2060 (-840)
Commentary
"There was quite a reduction in numbers with rain about and a drop in the market. It was a very mixed quality penning with young cattle well supplied. Heavy weights were in good numbers with processors and feedlots catered for. There was an increased supply of plainer and secondary quality cattle penned while there were also some high quality heavy steers and cows penned. The usual processors were in attendance along with the addition of a couple more while feedlot competition on heavy feeders was reduced.

There was a much more noticeable price differential between to good quality young cattle plain and secondary quality young cattle. Market trends varied and price change was affected by quality variations. Light and medium weight yearling steers to restock and feed sold to a dearer trend of as much as 10c/kg while the plain quality steers were much cheaper. Heavy weight feeders sold on a firm to slightly cheaper trend however price change was assisted by breed and quality. Well finished heavy trade steers sold to a dearer trend and included a couple of pens of very heavy high yielding steers carrying their milk teeth. Light and medium weight yearling heifers to restock and feed sold on a firm to slightly cheaper trend. The heavy trade heifers saw a slightly dearer trend under increased competition.

 Heavy grown steers to process sold to a cheaper trend with some quality related average price improvement. Feeder steers with 2 or more teeth experienced little change. Well finished heavy grown heifers to process saw trends cheaper for the most part. There was a sharp downward correction in the cow market particularly noticeable in the well finished heavy weights. A good selection of heavy weight bulls sold to a dearer trend with an improvement in quality."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,27,-17,274.0,395.0,363.55555555555554,-13.7,526.9,759.6,699.1,630.2,987.5,942.3703997576678
Yearling Steer,200-280,Restocker,D,2,20,NQ,246.0,246.0,246,NQ,492.0,492.0,492.0,541.2,541.2,541.2
Yearling Steer,280-330,Restocker,C,2,38,-72,322.0,394.0,372.6578947368421,10.8,619.2,757.7,716.6,917.7,1182.0,1106.25
Yearling Steer,280-330,Restocker,D,2,26,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,576.0,576.0,576
Yearling Steer,330-400,Feeder,C,2,148,48,330.0,376.0,358.9121621621622,3.4,611.1,723.1,689.3,1155.0,1504.0,1353.623317409206
Yearling Steer,330-400,Feeder,C,3,3,1,350.0,350.0,350,10.0,648.1,648.1,648.1,1330.0,1330.0,1330
Yearling Steer,330-400,Processor,C,3,5,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,1225.0,1225.0,1225
Yearling Steer,330-400,Restocker,C,2,43,6,340.0,370.0,366.27906976744185,4.0,653.8,711.5,704.4,1207.5,1406.0,1370.7558139534883
Yearling Steer,330-400,Restocker,D,2,7,NQ,288.0,288.0,288,NQ,576.0,576.0,576.0,979.2,979.2,979.1999860491071
Yearling Steer,400+,Feeder,C,2,110,-225,290.0,370.0,355.8363636363636,-0.2,557.7,711.5,684.3,1232.5,1802.0,1592.0077325994318
Yearling Steer,400+,Feeder,C,3,164,7,335.0,369.0,346.8841463414634,-6.5,620.4,683.3,642.4,1505.0,1881.5,1713.6475621665397
