Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 16/07/2024
Comparison Date: 09/07/2024
Total Yarding: 1585 (-50)
Commentary
"There was a small reduction in supply. Young cattle and cows made up the bulk of the offering along with a fair supply of grown steers and heifers. The quality of the offering was fair to good while condition also varied. The full field of buyers were in attendance.

Restockers were active through the light and medium weight young cattle however market trends were generally firm to slightly cheaper for the steers. Heavy weight yearling steers to feed also sold to cheaper trends while a drop in quality within specific breeds saw price change greater than the actual trend. Well finished heavy trade steers remained firm. Light and medium weight yearling heifers remained firm for the most part with an odd dearer sale at the top end of the weight range. Heavy weight heifers to feed sold to a dearer trend with quality and breed contributing.

Heavy grown steers suitable to processors were considerably dearer. The well finished heavy grown heifers saw a trend only slightly dearer. There was little change in the heavy weight cow market while odd pens of medium weights carrying strong condition sold strongly."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,13,-9,362.0,370.0,367.53846153846155,-29.1,696.2,711.5,706.8,995.5,1017.5,1010.7307692307693
Yearling Steer,280-330,Feeder,C,2,24,-52,356.0,360.0,358.4583333333333,-8.7,684.6,692.3,689.3,1080.0,1184.7,1146.9125162760417
Yearling Steer,280-330,Restocker,C,2,52,NQ,344.0,398.0,379.28846153846155,NQ,661.5,765.4,729.4,997.6,1254.4,1168.1442260742188
Yearling Steer,330-400,Feeder,C,2,70,-151,339.0,374.0,357.64285714285717,-20.7,651.9,719.2,687.8,1156.0,1395.0,1301.8057094029018
Yearling Steer,330-400,Restocker,C,2,82,80,290.0,394.0,360.0731707317073,24.1,557.7,757.7,692.4,1116.5,1457.8,1306.3939000571647
Yearling Steer,400+,Feeder,C,2,193,158,310.0,396.0,362.7098445595855,-15.8,596.2,761.5,697.5,1376.0,1861.2,1591.5684017517406
Yearling Steer,400+,Feeder,C,3,14,10,300.0,362.0,348.57142857142856,2.6,555.6,670.4,645.5,1455.0,1728.0,1637.7857142857142
Yearling Steer,400+,Processor,C,3,12,2,330.0,358.0,355.4166666666667,16.1,611.1,663.0,658.2,1682.6,2034.9,1781.7083333333333
Yearling Heifer,200-280,Restocker,C,2,12,-19,270.0,300.0,277.5,-14.3,519.2,576.9,533.7,675.0,825.0,723.75
Yearling Heifer,280-330,Feeder,C,2,8,-15,300.0,318.0,315.75,-36.3,576.9,611.5,607.2,990.0,1033.5,1028.0625
Yearling Heifer,280-330,Restocker,C,2,87,51,270.0,320.0,306.735632183908,-5.7,519.2,615.4,589.9,783.0,992.0,952.6029887583064
Yearling Heifer,330-400,Feeder,C,2,46,20,310.0,320.0,313.9130434782609,19.0,596.2,615.4,603.7,1088.5,1232.0,1181.6684782608695
Yearling Heifer,330-400,Feeder,C,3,14,NQ,295.0,370.0,351.7142857142857,NQ,567.3,698.1,666.0,1003.0,1387.5,1273.55712890625
