Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 17/09/2024
Comparison Date: 10/09/2024
Total Yarding: 2700 (-270)
Commentary
"There was a small reduction in supply however the offloading of female cattle in large numbers continued. Medium and heavy weight yearlings were well supplied with some high quality lines presented. Overall the quality and condition of the offering was fair to good in front of the full field of regular buyers.

Restocker demand was strong on light and medium weight yearling steers as well as the few weaners. This resulted in dearer trends for those from 280 to 400kg. The lighter weights were cheaper. Medium and heavy weight feeder steers sold on a firm to slightly cheaper trend however much of the price change was breed related. Yearlings heifers sold on a firm to cheaper trend with only the highest quality lots showing little change. The weight of numbers contributing. Some of the largest price falls were in the lighter weight classes.

There were cheaper trends for the heavy grown steers to process with age accounting for some of the price fall. The well finished grown heifers to process also sold to a slightly cheaper trend. There were cheaper trends for the most part in the cow market, as much as 11c/kg on the well finished heavy weights. A large supply of high yielding bulls were dearer under strong processor competition."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,25,12,320.0,390.0,363.36,-19.6,615.4,750.0,698.8,768.0,993.2,903.0560009765625
Yearling Steer,280-330,Restocker,C,2,65,-95,290.0,448.0,396.0153846153846,14.7,557.7,861.5,761.6,826.5,1438.8,1234.0676964393028
Yearling Steer,330-400,Feeder,C,2,286,66,320.0,392.0,372.54545454545456,-3.6,615.4,753.8,716.4,1156.0,1504.0,1403.9690538953234
Yearling Steer,330-400,Feeder,C,3,11,9,340.0,400.0,380,34.0,629.6,740.7,703.7,1190.0,1540.0,1471.8181818181818
Yearling Steer,330-400,Processor,C,3,3,-3,320.0,380.0,360,-20.0,592.6,703.7,666.7,1184.0,1520.0,1408
Yearling Steer,330-400,Restocker,C,2,227,53,358.0,415.0,389.52863436123346,13.1,688.5,798.1,749.1,1217.2,1535.5,1462.4282215807407
Yearling Steer,400+,Feeder,C,2,142,-199,364.0,408.0,388.4366197183099,8.1,700.0,769.2,743.7,1492.4,1900.8,1707.6620010590889
Yearling Steer,400+,Feeder,C,3,101,-15,352.0,390.0,368.5049504950495,-7.5,651.9,722.2,685.0,1480.1,1891.5,1716.6227688931003
Yearling Steer,400+,Processor,C,3,17,16,346.0,370.0,355,5.0,640.7,685.2,657.4,1730.0,2146.0,1902.4117647058824
Yearling Steer,400+,Restocker,C,2,10,2,390.0,390.0,390,14.0,750.0,750.0,750.0,1599.0,1599.0,1599
Yearling Heifer,200-280,Restocker,C,2,43,13,280.0,354.0,334.2093023255814,-24.1,538.5,680.8,642.7,742.0,955.8,839.095339752907
Yearling Heifer,200-280,Restocker,D,2,9,NQ,255.0,255.0,255,NQ,510.0,510.0,510.0,612.0,612.0,612
Yearling Heifer,280-330,Feeder,C,2,37,8,347.0,350.0,349.5135135135135,-2.2,667.3,673.1,672.1,1085.0,1155.0,1103.2837837837837
