Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 19/11/2024
Comparison Date: 12/11/2024
Total Yarding: 2430 (+680)
Commentary
"There were large numbers of yearlings and more well finished heavy grown steers to suit the export processors than have been seen recently in an increased penning. The quality of the offering was generally good while the majority of the offering were in good condition. There was a full field of buyers in operation.

Strong demand from restockers resulted in the light weight steers selling to dearer trends with odd sales showing strong gains. The medium and heavy weights to restock and feed sold on a firm to slightly dearer trend under solid competition. Well finished heavy yearling steers into the Supermarket trade were a shade cheaper. Light weight yearling heifers to restockers sold to a slightly cheaper trend with buyers prepared to pay as much as 100c/kg more for similar weight steers. There was little but quality related price change on a generally firm market trend for medium and heavy weights to restock and feed with the price gap between steers and heifers was not as great.

Grown steers to feed were keenly sought with the majority carrying 2 teeth. Well finished heavy grown steers to export processors sold on a firm trend for the most part with age a factor in price change. Well finished grown heifers to the same destination saw a slightly dearer trend. There was little change in the market through the middle run of cows while the better heavy weights sold to a slightly cheaper trend. Heavy bulls sold to a dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,62,40,280.0,428.0,384.11290322580646,10.2,538.5,823.1,738.7,798.0,1333.2,1204.524169921875
Yearling Steer,330-400,Feeder,C,2,121,-126,338.0,379.0,367.5123966942149,0.1,650.0,728.8,706.8,1197.0,1480.0,1359.4797484342716
Yearling Steer,330-400,Restocker,C,2,134,53,300.0,386.0,365.7835820895522,-13.9,576.9,742.3,703.4,1050.0,1520.0,1357.8540840718283
Yearling Steer,400+,Feeder,C,2,289,164,305.0,376.0,364.0968858131488,0.1,586.5,723.1,697.6,1281.0,1945.1,1655.275450181796
Yearling Steer,400+,Feeder,C,3,119,101,340.0,372.0,353.85714285714283,5.9,629.6,715.4,661.1,1435.0,1972.0,1708.5949563419117
Yearling Steer,400+,Processor,C,2,1,-1,288.0,288.0,288,3.0,553.8,553.8,553.8,1180.8,1180.8,1180.800048828125
Yearling Steer,400+,Processor,C,3,35,-5,320.0,360.0,353.25714285714287,-6.9,592.6,666.7,654.2,1584.0,2041.4,1759.902845982143
Yearling Steer,400+,Restocker,C,2,33,4,330.0,386.0,373.27272727272725,17.0,634.6,742.3,717.8,1353.0,1582.6,1535.8424183238637
Yearling Heifer,200-280,Restocker,C,2,5,-14,270.0,270.0,270,-38.4,519.2,519.2,519.2,648.0,715.5,702
Yearling Heifer,280-330,Feeder,C,2,46,-41,300.0,310.0,306.60869565217394,-20.5,576.9,596.2,589.6,990.0,1023.0,1011.8086998980979
Yearling Heifer,280-330,Restocker,C,2,99,NQ,256.0,330.0,309.7676767676768,NQ,492.3,634.6,595.7,768.0,1030.4,964.2727174084596
Yearling Heifer,330-400,Feeder,C,2,106,8,264.0,313.0,298.6320754716981,-26.7,507.7,601.9,574.3,976.8,1172.0,1083.3961999281398
