Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,3,-14,375.0,375.0,375,1.1,721.2,721.2,721.2,1237.5,1237.5,1237.5
Yearling Steer,280-330,Restocker,C,2,1,-35,332.0,332.0,332,-8.5,638.5,638.5,638.5,1095.6,1095.6,1095.5999755859375
Yearling Steer,330-400,Feeder,C,2,49,-154,370.0,378.0,375.38775510204084,0.8,711.5,726.9,721.9,1312.5,1455.3,1376.318379304847
Yearling Steer,330-400,Restocker,C,2,76,-217,342.0,422.0,392.7763157894737,28.1,657.7,811.5,755.3,1265.4,1582.3,1479.0085609837581
Yearling Steer,400+,Feeder,C,2,222,-122,355.0,400.0,377.7432432432432,-3.5,682.7,769.2,726.4,1525.2,1840.0,1661.7594708966778
Yearling Steer,400+,Feeder,C,3,10,-14,370.0,370.0,370,3.2,685.2,685.2,685.2,2146.0,2146.0,2146
Yearling Steer,400+,Processor,C,3,41,22,346.0,380.0,372.9024390243902,9.0,640.7,703.7,690.6,1702.0,2105.6,1941.7390345131478
Yearling Steer,400+,Restocker,C,2,35,7,372.0,408.0,393.25714285714287,10.5,715.4,784.6,756.3,1636.8,1795.2,1716.548549107143
Yearling Heifer,200-280,Restocker,C,2,4,NQ,318.0,318.0,318,NQ,611.5,611.5,611.5,874.5,874.5,874.5
Yearling Heifer,280-330,Feeder,C,2,6,-18,328.0,328.0,328,36.5,630.8,630.8,630.8,984.0,984.0,984
Yearling Heifer,280-330,Restocker,C,2,22,NC,300.0,330.0,327.54545454545456,17.3,576.9,634.6,629.9,900.0,1089.0,1058.9181463068182
Yearling Heifer,330-400,Feeder,C,2,87,-194,296.0,351.0,335.39080459770116,25.5,569.2,675.0,645.0,1121.3,1298.7,1196.4747089956
Yearling Heifer,330-400,Feeder,C,3,22,-25,326.0,350.0,341.59090909090907,29.6,626.9,673.1,656.3,1271.4,1365.0,1325.1113503196023
Yearling Heifer,330-400,Restocker,C,2,22,-33,315.0,324.0,318.27272727272725,4.5,605.8,623.1,612.1,1086.8,1160.7,1129.7863325639205
Yearling Heifer,330-400,Restocker,C,3,1,NQ,324.0,324.0,324,NQ,611.3,611.3,611.3,1296.0,1296.0,1296
Yearling Heifer,400+,Feeder,C,2,37,25,325.0,345.0,336.3783783783784,39.7,625.0,663.5,646.9,1377.6,1431.8,1403.6662564664273
Yearling Heifer,400+,Feeder,C,3,116,71,336.0,366.0,350.94827586206895,35.7,634.0,690.6,665.7,1398.6,1738.5,1519.1400904162176
Yearling Heifer,400+,Processor,C,3,30,-38,318.0,360.0,350.06666666666666,1.0,611.5,679.2,664.3,1367.4,1548.0,1453.7133341471354
Yearling Heifer,400+,Processor,C,4,15,11,344.0,371.0,369.2,36.7,649.1,700.0,696.6,1634.0,2021.9,1996.0865885416667
Vealer Steer,200-280,Restocker,C,2,31,1,350.0,446.0,424.38709677419354,0.9,673.1,857.7,816.1,902.0,1133.6,1045.999984248992
Vealer Steer,280-330,Feeder,C,2,8,1,369.0,369.0,369,7.0,709.6,709.6,709.6,1051.7,1051.7,1051.6500244140625
Vealer Steer,280-330,Restocker,C,2,74,-29,360.0,440.0,416.43243243243245,17.7,692.3,846.2,800.8,1080.0,1419.0,1313.5621634818413
Vealer Steer,330+,Feeder,C,2,3,-73,380.0,380.0,380,5.8,730.8,730.8,730.8,1330.0,1330.0,1330
Vealer Steer,330+,Restocker,C,2,48,20,386.0,430.0,404.1666666666667,-23.8,742.3,826.9,777.2,1351.0,1505.0,1414.5833333333333
Vealer Heifer,0-200,Restocker,C,2,11,NQ,316.0,316.0,316,NQ,607.7,607.7,607.7,632.0,632.0,632
Vealer Heifer,200-280,Restocker,C,2,71,17,290.0,342.0,330.19718309859155,21.3,557.7,657.7,635.0,770.8,918.5,851.7929618727993
Vealer Heifer,280-330,Restocker,C,2,12,-53,320.0,320.0,320,-32.8,615.4,615.4,615.4,1024.0,1024.0,1024
Grown Steer,0-400,Processor,C,2,8,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1080.0,1080.0,1080
Grown Heifer,0-540,Feeder,C,2,7,-7,308.0,308.0,308,43.0,592.3,592.3,592.3,1232.0,1232.0,1232
Grown Heifer,0-540,Feeder,C,4,4,NQ,324.0,324.0,324,NQ,623.1,623.1,623.1,1571.4,1571.4,1571.4000244140625
Grown Heifer,0-540,Processor,C,2,1,NQ,288.0,288.0,288,NQ,553.8,553.8,553.8,1180.8,1180.8,1180.800048828125
Grown Heifer,0-540,Processor,C,3,20,NC,294.0,358.0,332.35,47.8,565.4,675.5,637.9,1234.8,1736.3,1562.4950012207032
Grown Heifer,0-540,Processor,C,4,6,-20,338.0,360.0,345.6666666666667,11.4,650.0,679.2,656.3,1639.3,1944.0,1735.433349609375
Grown Heifer,0-540,Processor,D,3,12,NQ,266.0,290.0,271,NQ,521.6,568.6,531.4,1064.0,1334.0,1122.1666666666667
Grown Heifer,0-540,Restocker,D,2,21,NQ,260.0,284.0,271.42857142857144,NQ,520.0,568.0,542.9,1066.0,1093.4,1079.047619047619
Grown Heifer,540+,Processor,C,4,8,2,325.0,346.0,337.375,27.4,613.2,652.8,636.6,1815.0,2080.0,1892.125
Cows,400-520,Feeder,D,2,15,-16,272.0,288.0,280.53333333333336,24.7,604.4,640.0,623.4,1224.0,1440.0,1339.2
Cows,400-520,Feeder,D,3,1,NQ,288.0,288.0,288,NQ,600.0,600.0,600.0,1497.6,1497.6,1497.5999755859375
Cows,400-520,Processor,D,2,45,-16,240.0,289.0,276.0444444444444,23.7,533.3,635.6,605.5,1008.0,1401.7,1286.6944607204862
Cows,400-520,Processor,D,3,43,-18,268.0,291.0,285,21.3,574.5,606.3,598.9,1242.0,1513.2,1445.1139341842297
Cows,400-520,Restocker,D,2,9,NQ,200.0,230.0,223.33333333333334,NQ,444.4,511.1,496.3,900.0,1012.0,987.1111111111111
Cows,520+,Feeder,D,3,4,NQ,270.0,272.0,270.5,NQ,574.5,578.7,575.5,1441.6,1485.0,1474.1499938964844
Cows,520+,Processor,D,2,1,-3,280.0,280.0,280,8.0,622.2,622.2,622.2,1512.0,1512.0,1512
Cows,520+,Processor,D,3,50,-59,275.0,298.0,288.02,24.9,572.9,606.3,592.6,1457.5,1833.0,1582.3359765625
Cows,520+,Processor,D,4,130,-132,285.0,327.0,302.1384615384615,27.5,580.0,654.0,606.1,1573.0,2354.4,1965.6276958759015
