Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 26/11/2024
Comparison Date: 
Total Yarding: 3550 (NQ)
Commentary
"Gunnedah penned 3550 good quality cattle an extra 1800 head. Trends were generally dearer with all regular buyers attending with one cow buyer not operating. 

Weaner steers to restockers were dearer 358c to 429c/kg. Background steers up to 280 kgs were 5c/kg better 300c to 390c/kg. Medium steers sold to cheaper trends with some drafts of plainer quality affecting averages. Conversely similar weight steers to background gained 25c/kg to top at 382c/kg. Heavy feeders were marginally cheaper with the heavy processing yearling steers dearer and made up to 358c/kg. Light vealer heifers to the trade sold to 340c/kg. Feeder heifers to 330 kgs slipped 4c/kg and ranged 280c to 321c/kg. Medium feeder heifers gained significantly selling to 340c/kg.

Heavy grown steers were dearer selling to 339c/kg. The heifers drafts lost 8c/kg selling 250c to 322c/kg. Medium cows to feed were in demand  244c to 256c/kg. Heavy cows marginally dearer 274c to 292c/kg. Heavy bulls made to 289c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,5,NQ,374.0,374.0,374,NQ,692.6,692.6,692.6,972.4,972.4,972.4
Yearling Steer,200-280,Restocker,C,2,5,NQ,398.0,398.0,398,NQ,737.0,737.0,737.0,1034.8,1034.8,1034.8
Yearling Steer,280-330,Feeder,C,2,21,NQ,300.0,380.0,366.6666666666667,NQ,555.6,703.7,679.0,960.0,1188.0,1134.857142857143
Yearling Steer,280-330,Restocker,C,2,18,-44,390.0,390.0,390,5.9,722.2,722.2,722.2,1170.0,1170.0,1170
Yearling Steer,330-400,Feeder,C,2,365,244,260.0,386.0,365.5123287671233,-2.0,481.5,714.8,676.9,910.0,1508.0,1346.4591803563785
Yearling Steer,330-400,Processor,C,2,1,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,1406.0,1406.0,1406
Yearling Steer,330-400,Restocker,C,2,33,-101,380.0,382.0,381.27272727272725,15.5,703.7,707.4,706.1,1330.0,1451.6,1407.381806344697
Yearling Steer,400+,Feeder,C,2,55,-234,331.0,378.0,364.72727272727275,0.6,613.0,700.0,675.4,1522.6,2268.0,1834.5381658380682
Yearling Steer,400+,Feeder,C,3,17,-102,371.0,371.0,371,17.1,687.0,687.0,687.0,2226.0,2226.0,2226
Yearling Steer,400+,Processor,C,3,19,-16,328.0,358.0,356.2631578947368,3.0,607.4,663.0,659.7,2164.8,2434.4,2413.5314170435854
Yearling Heifer,200-280,Feeder,C,2,35,NQ,330.0,338.0,335.9428571428571,NQ,622.6,637.7,633.9,891.0,912.6,907.045703125
Yearling Heifer,200-280,Processor,C,2,3,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,672.0,672.0,672
Yearling Heifer,280-330,Feeder,C,2,24,-22,288.0,321.0,301.75,-4.9,543.4,605.7,569.3,950.4,995.1,969.0250244140625
Yearling Heifer,280-330,Processor,C,2,16,NQ,281.0,340.0,288.375,NQ,530.2,641.5,544.1,899.2,1088.0,922.7999877929688
Yearling Heifer,330-400,Feeder,C,2,263,157,280.0,340.0,318.95437262357416,20.3,528.3,641.5,601.8,999.6,1264.0,1136.912547528517
Yearling Heifer,330-400,Feeder,C,3,71,7,318.0,318.0,318,13.0,600.0,600.0,600.0,1176.6,1176.6,1176.6000220070423
Yearling Heifer,330-400,Processor,C,2,58,52,274.0,318.0,316.48275862068965,56.5,517.0,600.0,597.1,931.6,1176.6,1169.568938156654
Yearling Heifer,330-400,Restocker,C,2,20,-83,318.0,319.0,318.2,10.9,600.0,601.9,600.4,1084.6,1113.0,1107.3199951171875
Yearling Heifer,400+,Feeder,C,2,107,82,260.0,398.0,327.9065420560748,44.9,490.6,750.9,618.7,1092.0,1751.2,1646.014894859813
Yearling Heifer,400+,Feeder,C,3,8,-153,298.0,298.0,298,-7.8,562.3,562.3,562.3,1490.0,1490.0,1490
Yearling Heifer,400+,Processor,C,3,2,-22,294.0,316.0,305,3.5,554.7,596.2,575.5,1646.4,1832.8,1739.6000366210938
Vealer Steer,0-200,Restocker,C,2,1,-1,354.0,354.0,354,-2.0,655.6,655.6,655.6,601.8,601.8,601.7999877929688
Vealer Steer,200-280,Restocker,C,2,24,NQ,358.0,429.0,414.5,NQ,663.0,794.4,767.6,787.6,1158.3,1082.6416778564453
Vealer Heifer,0-200,Restocker,C,2,3,-4,300.0,300.0,300,-56.0,566.0,566.0,566.0,510.0,510.0,510
Vealer Heifer,200-280,Restocker,C,2,7,NQ,322.0,332.0,326.2857142857143,NQ,607.5,626.4,615.6,863.2,869.4,866.7428850446429
Vealer Heifer,280-330,Processor,C,3,1,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1054.0,1054.0,1054
