Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 27/08/2024
Comparison Date: 20/08/2024
Total Yarding: 2250 (+800)
Commentary
"There was an increase in supply as the yards become more accessible following the wet weather. There were large numbers of young cattle, not many exports while cows were in fair supply. The quality and condition of the offering was fair to good however showed a greater variation than the previous sale. Most of the regular orders were in place however a couple of processors were absent.

Warm weather, green feed and a strong market saw restockers push prices for light and medium weight yearling steers upwards with the overall trend dearer while there were some very strong breed specific sales. Quality accounted for some price change. The heavy feeder steers experienced a mostly firm market trend, there were however odd cheaper sales in the mixed breed pens. There was a large price gap between the light weight yearling heifers and their steer counterparts with the lighter end of the weight range selling to a cheaper trend while the heavier end were a shade dearer. A drop in quality contributed to cheaper prices for the medium weight yearling heifers on a cheaper market trend. The heavy weight feeders saw little but a quality related change on an otherwise firm trend.

Heavy grown steers sold to a slightly dearer trend for a slightly drop in quality. The best of the grown heifers to process followed a similar trend. The overall quality of the cows on offer was not as good as the previous sale and this was reflected in price. The market trend was a shade cheaper for the most part."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,12,-26,370.0,386.0,379.3333333333333,-26.6,711.5,742.3,729.5,980.5,1061.5,1027.75
Yearling Steer,280-330,Feeder,C,2,10,NQ,370.0,380.0,379,NQ,685.2,730.8,726.2,1178.0,1221.0,1182.3
Yearling Steer,280-330,Restocker,C,2,76,24,348.0,476.0,409.89473684210526,1.1,669.2,915.4,788.3,1113.6,1513.6,1250.3736636513158
Yearling Steer,330-400,Feeder,C,2,114,54,376.0,404.0,383.140350877193,4.4,723.1,776.9,735.3,1297.2,1580.0,1381.1403498064008
Yearling Steer,330-400,Restocker,C,2,150,-9,372.0,466.0,415.5133333333333,-1.6,715.4,896.2,799.1,1357.8,1586.2,1484.022646484375
Yearling Steer,400+,Feeder,C,2,179,31,360.0,413.0,387.37988826815644,-7.4,692.3,794.2,742.4,1480.1,2045.0,1724.0229192126396
Yearling Steer,400+,Feeder,C,3,107,71,375.0,411.0,394.1121495327103,9.6,694.4,765.4,737.0,1575.0,2109.4,1920.4578800379672
Yearling Steer,400+,Processor,C,3,1,-51,345.0,345.0,345,-53.3,638.9,638.9,638.9,1673.3,1673.3,1673.25
Yearling Steer,400+,Restocker,C,2,14,NQ,380.0,380.0,380,NQ,730.8,730.8,730.8,1558.0,1615.0,1594.642857142857
Yearling Heifer,200-280,Restocker,C,2,48,43,302.0,350.0,326.5,-5.5,580.8,673.1,627.9,739.2,945.0,855.0687459309896
Yearling Heifer,280-330,Feeder,C,2,63,14,340.0,364.0,357.3809523809524,3.3,653.8,700.0,687.3,1122.0,1164.8,1144.1587456597222
Yearling Heifer,280-330,Processor,C,2,2,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,1155.0,1155.0,1155
