Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 30/07/2024
Comparison Date: 23/07/2024
Total Yarding: 1890 (+40)
Commentary
"Despite good follow up rain over the weekend producers took advantage of the strong markets with numbers increasing slightly. The quality of the offering was fair to good with young cattle suitable to restock and feed well supplied. Not as many cows this week while there were limited supplies of well finished grown cattle. The full compliment of buyers were in attendance with demand high from all sectors.

Restocker confidence was high with the rain all but ensuring a bumper spring. This resulted in the lightweight young cattle selling to dearer trends with the steer portion showing significant improvement. There was a quality component to the strong improvement also. The heifer portion also saw a dearer trend. Medium weight yearling seers to restockers sold to a slightly cheaper trend while the feeder steers improved for quality. Heavy weight feeder steers were keenly sought with the trend as much as 17c/kg dearer. Well finished heavy trade also sold to a dearer trend. More quality related price change on the medium weight yearling heifers to restock and feed with the secondary quality lines heavily discounted. Heavyweights to feed attracted strong competition while those to the trade sold to a slightly cheaper trend.

Too few heavy grown steers to quote. The well finished grown heifers saw the lighter weight class sell to a dearer trend while the heavy weights were cheaper. In the cow market the secondary and medium weights sold to cheaper trends while the better conditioned heavyweights saw a dearer trend of as much as 10c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,18,6,322.0,436.0,380.44444444444446,41.4,644.0,838.5,741.3,837.2,1199.0,1018.1333279079861
Yearling Steer,280-330,Restocker,C,2,135,72,330.0,430.0,405.34814814814814,41.2,634.6,826.9,779.5,957.0,1419.0,1313.167406322338
Yearling Steer,330-400,Feeder,C,2,79,-31,355.0,380.0,367.69620253164555,16.0,682.7,730.8,707.1,1207.0,1482.0,1330.5050682357594
Yearling Steer,330-400,Restocker,C,2,25,-39,356.0,385.0,376.8,-5.2,684.6,740.4,724.6,1210.4,1463.0,1366.88
Yearling Steer,400+,Feeder,C,2,229,114,342.0,409.0,383.88646288209605,21.5,657.7,786.5,738.2,1492.4,1827.0,1662.2354123311272
Yearling Steer,400+,Feeder,C,3,48,31,385.0,410.0,400.5416666666667,34.3,713.0,759.3,741.7,1694.0,2189.0,2023.25
Yearling Steer,400+,Processor,B,3,2,NQ,378.0,378.0,378,NQ,675.0,675.0,675.0,1701.0,1965.6,1833.2999877929688
Yearling Steer,400+,Processor,C,3,17,-7,380.0,412.0,391.5882352941176,6.9,703.7,763.0,725.2,1672.0,2183.6,1927.8882984834559
Yearling Steer,400+,Restocker,C,2,7,4,390.0,390.0,390,28.0,750.0,750.0,750.0,1638.0,1638.0,1638
Yearling Heifer,280-330,Feeder,C,2,34,NQ,320.0,340.0,328.8235294117647,NQ,615.4,653.8,632.4,992.0,1105.0,1041.8529411764705
Yearling Heifer,280-330,Restocker,C,2,46,-26,290.0,344.0,311.60869565217394,-7.7,557.7,661.5,599.2,841.0,1066.4,988.7913128396739
