Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 02/10/2024
Comparison Date: 25/09/2024
Total Yarding: 676 (0)
Commentary
"A welcome 40mm and more in places of precipitation over the past 5 days in the drawing area saw agents yard 676 cattle, exactly the same as last week. A big school holiday crowd was on hand although not all of the regular buyers were at the rail effecting competition in some grades.

Light weaner steers saw invigorated competition on the back of the rainfall selling from 352c to 432c/kg to be 8c/kg dearer, medium weights saw similar gains making to 418c/kg whilst over 330kg made from 320c to 406c/kg to be 9c/kg better off. Best local butcher calf made 378c/kg weighing 395kg. Weaner heifers reversed this trend to be 29c/kg cheaper trading from 260c to 324c/kg over 330kg grain assisted trade heifers slightly dearer making from 290c to 378c/kg.

Yearling steers medium weights to re-stockers were back 17c/kg selling from 270c to 388c/kg, heavy weights over 400kg to the lot feeders selling from 306c to 370c/kg. Medium weight yearling heifers to feed saw little change making from 280c to 322c/kg.

Only a handful of cows on offer too unreliable to quote with light 2 scores selling from 160c to 264c/kg whilst the heavy prime 3 and 4 scores sold from 288c to 310c/kg.

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,C,2,6,NQ,250.0,250.0,250,NQ,490.2,490.2,490.2,800.0,800.0,800
Yearling Steer,330-400,Dairy,C,2,3,NQ,226.0,226.0,226,NQ,480.9,480.9,480.9,757.1,757.1,757.0999348958334
Yearling Steer,330-400,Dairy,C,3,3,NQ,248.0,248.0,248,NQ,496.0,496.0,496.0,892.8,892.8,892.7999674479166
Yearling Steer,330-400,Feeder,C,2,2,1,300.0,360.0,330,20.0,576.9,692.3,634.6,1020.0,1260.0,1140
Yearling Steer,330-400,Feeder,C,3,13,NQ,336.0,356.0,352,NQ,646.2,684.6,669.0,1192.6,1225.0,1211.1538555438701
Yearling Steer,330-400,Restocker,B,2,1,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1139.0,1139.0,1139
Yearling Steer,330-400,Restocker,C,2,36,28,270.0,388.0,345.8888888888889,-17.4,529.4,746.2,667.4,904.5,1377.4,1239.5589057074653
Yearling Steer,330-400,Restocker,C,3,1,-10,320.0,320.0,320,-73.5,603.8,603.8,603.8,1088.0,1088.0,1088
Yearling Steer,400+,Feeder,C,2,2,-4,358.0,358.0,358,15.0,688.5,688.5,688.5,1503.6,1503.6,1503.5999755859375
Yearling Steer,400+,Feeder,C,3,19,NC,306.0,370.0,324.42105263157896,-63.4,577.4,698.1,612.1,1310.4,1646.5,1396.3473799856085
Yearling Steer,400+,Restocker,B,3,8,NQ,336.0,336.0,336,NQ,622.2,622.2,622.2,1448.2,1448.2,1448.1600341796875
Yearling Heifer,280-330,Restocker,C,2,4,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,798.0,798.0,798
Yearling Heifer,330-400,Feeder,B,3,1,NQ,312.0,312.0,312,NQ,577.8,577.8,577.8,1092.0,1092.0,1092
Yearling Heifer,330-400,Feeder,C,2,5,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,900.0,900.0,900
Yearling Heifer,330-400,Feeder,C,3,29,9,280.0,322.0,308.13793103448273,-1.0,538.5,607.5,582.4,994.0,1207.5,1155.9724205280172
Yearling Heifer,330-400,Processor,C,3,3,NQ,282.0,290.0,287.3333333333333,NQ,522.2,537.0,532.1,1001.1,1015.0,1010.3666585286459
Yearling Heifer,400+,Feeder,C,3,10,2,310.0,326.0,316.4,4.4,574.1,615.1,592.7,1286.5,1483.3,1383.82001953125
Yearling Heifer,400+,Processor,C,3,9,3,326.0,328.0,326.6666666666667,25.3,603.7,607.4,604.9,1336.6,1525.2,1399.466579861111
Vealer Steer,0-200,Restocker,C,2,3,-3,358.0,370.0,366,40.3,688.5,711.5,703.8,590.7,684.5,653.2333374023438
Vealer Steer,200-280,Restocker,C,2,58,-12,352.0,432.0,409.8965517241379,8.3,676.9,830.8,788.3,885.0,1140.5,992.2231066473599
Vealer Steer,200-280,Restocker,C,3,16,1,356.0,424.0,404.875,-32.9,671.7,800.0,763.9,975.0,1123.6,1082.6124725341797
Vealer Steer,280-330,Feeder,C,2,5,NQ,406.0,406.0,406,NQ,780.8,780.8,780.8,1177.4,1177.4,1177.4
Vealer Steer,280-330,Restocker,B,3,2,-1,412.0,412.0,412,46.0,763.0,763.0,763.0,1277.2,1277.2,1277.199951171875
Vealer Steer,280-330,Restocker,C,2,29,-11,320.0,418.0,393.17241379310343,-17.8,615.4,803.8,756.1,960.0,1295.8,1177.1924080684266
Vealer Steer,280-330,Restocker,C,3,10,-26,414.0,418.0,415.6,5.5,781.1,788.7,784.2,1242.0,1337.6,1280.239990234375
