Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,4,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,756.0,756.0,756
Yearling Steer,280-330,Restocker,C,2,8,6,260.0,340.0,310,12.0,500.0,653.8,596.2,741.0,969.0,883.5
Yearling Steer,330-400,Feeder,C,2,17,9,284.0,368.0,319.6470588235294,20.1,546.2,707.7,614.7,965.6,1251.2,1105.6529181985295
Yearling Steer,330-400,Feeder,C,3,19,15,328.0,372.0,353.2631578947368,20.8,618.9,701.9,666.5,1162.0,1320.6,1281.1526135896381
Yearling Steer,330-400,Processor,B,3,3,NQ,345.0,345.0,345,NQ,627.3,627.3,627.3,1242.0,1242.0,1242
Yearling Steer,330-400,Processor,C,3,3,1,356.0,356.0,356,8.5,671.7,671.7,671.7,1246.0,1246.0,1246
Yearling Steer,330-400,Restocker,C,2,26,12,300.0,406.0,356.15384615384613,10.7,576.9,780.8,684.9,1020.0,1421.0,1242.9153583233174
Yearling Steer,400+,Feeder,C,2,2,NQ,322.0,322.0,322,NQ,619.2,619.2,619.2,1320.2,1352.4,1336.2999877929688
Yearling Steer,400+,Feeder,C,3,37,26,310.0,402.0,361.6216216216216,36.7,584.9,758.5,682.3,1364.0,1788.9,1550.159496410473
Yearling Steer,400+,Processor,C,3,2,-1,326.0,332.0,329,-4.3,615.1,626.4,620.8,1434.4,1444.2,1439.2999877929688
Yearling Heifer,280-330,Processor,C,3,1,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,1002.0,1002.0,1002
Yearling Heifer,280-330,Restocker,C,2,24,20,262.0,350.0,305.1666666666667,37.2,503.8,673.1,588.6,759.8,1102.5,912.0083312988281
Yearling Heifer,330-400,Processor,B,3,1,NQ,378.0,378.0,378,NQ,687.3,687.3,687.3,1304.1,1304.1,1304.0999755859375
Yearling Heifer,330-400,Processor,C,2,1,NQ,258.0,258.0,258,NQ,516.0,516.0,516.0,915.9,915.9,915.9000244140625
Yearling Heifer,330-400,Processor,C,3,12,9,300.0,355.0,338.9166666666667,27.9,566.0,657.4,634.3,1050.0,1313.5,1217.3000183105469
Yearling Heifer,330-400,Restocker,C,2,13,NQ,250.0,330.0,299.2307692307692,NQ,480.8,634.6,575.4,837.5,1122.0,1013.5384615384615
Yearling Heifer,400+,Feeder,C,2,3,-1,288.0,288.0,288,-14.0,553.8,553.8,553.8,1195.2,1195.2,1195.199951171875
Yearling Heifer,400+,Feeder,C,3,8,NQ,324.0,342.0,333.75,NQ,611.3,637.7,628.2,1470.3,1624.5,1503.5000305175781
Yearling Heifer,400+,Processor,C,3,15,7,328.0,359.0,341.2,24.6,618.9,664.8,638.8,1558.0,1938.6,1697.819970703125
Yearling Heifer,400+,Processor,C,4,4,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,1925.0,1925.0,1925
Vealer Steer,0-200,Restocker,C,2,3,NC,272.0,420.0,370.6666666666667,10.7,533.3,807.7,716.2,462.4,798.0,686.1333312988281
Vealer Steer,200-280,Restocker,C,2,50,-11,322.0,428.0,395.64,16.0,619.2,823.1,760.8,816.0,1155.6,1031.0579907226563
Vealer Steer,200-280,Restocker,C,3,18,-1,330.0,426.0,400.55555555555554,32.1,622.6,819.2,766.8,891.0,1192.8,1082.638888888889
Vealer Steer,280-330,Feeder,C,2,2,NQ,336.0,336.0,336,NQ,646.2,646.2,646.2,1108.8,1108.8,1108.800048828125
Vealer Steer,280-330,Restocker,B,3,2,NQ,358.0,358.0,358,NQ,675.5,675.5,675.5,1127.7,1127.7,1127.699951171875
Vealer Steer,280-330,Restocker,C,2,25,-2,332.0,408.0,400.16,69.7,638.5,784.6,769.5,962.8,1285.2,1209.1359838867188
Vealer Steer,280-330,Restocker,C,3,12,-8,370.0,410.0,400.8333333333333,48.0,698.1,788.5,765.0,1054.5,1280.0,1199.9166666666667
Vealer Steer,330+,Feeder,C,3,13,9,350.0,396.0,384,55.0,648.1,747.2,722.6,1190.0,1406.0,1362
Vealer Steer,330+,Processor,B,3,2,-6,388.0,388.0,388,39.4,692.9,692.9,692.9,1629.6,1629.6,1629.5999755859375
Vealer Steer,330+,Processor,C,3,1,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,1349.0,1349.0,1349
Vealer Steer,330+,Restocker,C,3,8,-6,340.0,342.0,341.5,0.4,641.5,645.3,644.3,1156.0,1162.8,1161.1000366210938
