Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 06/08/2024
Comparison Date: 
Total Yarding: 1650 (NQ)
Commentary
"Light well bred yearling steers attracted strong demand reaching a top price of 426c/kg in a yarding of 1,650 head.  The yarding consisted of a large percentage of yearlings, and a good penning of cows.  Quality of the young cattle was good with several runs of well bred steers and heifers that were off crop.  However there was also some plain cattle through the sale.

Competition was strong with restockers and backgrounders keen to acquire suitable cattle, resulting in light restocker yearling steers selling from 300c to 426c/kg.  Feeder buyers were also active in the market paying from 308c to 388c for the steers and feeder heifers ranged from 308c to 340c/kg.  

The yarding of export cattle consisted of   A few pens of grown steers and there was some good runs of grown heifers, while cows were well supplied with a large number of heavy cows off crop, and there was also some plain conditioned cows through the sale.  The market held firm with 2 score cows selling from 200c to 275c, 3 score cows averaged 280c and 4 score cows ranged from 291c to 318c/kg.  There was a good yarding of bulls with the top priced heavy bull reaching 350c/kg. 

Report compiled by 
Doug Robson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,6,-36,426.0,426.0,426,35.9,774.5,774.5,774.5,1150.2,1150.2,1150.199951171875
Yearling Steer,280-330,Restocker,C,2,125,71,300.0,416.0,354.4,-58.5,555.6,770.4,653.9,900.0,1331.2,1134.87359375
Yearling Steer,330-400,Feeder,C,2,33,-6,340.0,358.0,349.3333333333333,-7.3,618.2,663.0,639.2,1288.8,1400.0,1326.9333570075758
Yearling Steer,330-400,Feeder,C,3,6,NQ,389.0,389.0,389,NQ,720.4,720.4,720.4,1556.0,1556.0,1556
Yearling Steer,330-400,Restocker,C,2,122,98,330.0,390.0,364.62295081967216,7.4,600.0,709.1,665.7,1122.0,1482.0,1298.6786969294315
Yearling Steer,400+,Feeder,C,2,22,-21,336.0,374.0,354.1363636363636,18.0,622.2,680.0,652.9,1478.4,1570.8,1505.7000177556818
Yearling Steer,400+,Feeder,C,3,137,136,308.0,388.0,356.7956204379562,26.8,570.4,718.5,657.4,1293.6,1965.6,1582.3744333086222
Yearling Steer,400+,Processor,C,4,2,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,2145.0,2145.0,2145
Yearling Heifer,200-280,Processor,C,2,8,-3,295.0,295.0,295,25.7,556.6,556.6,556.6,767.0,767.0,767
Yearling Heifer,280-330,Restocker,C,2,15,-18,310.0,316.0,314.8,-14.7,584.9,596.2,594.0,1023.0,1042.8,1038.8400390625
Yearling Heifer,330-400,Feeder,C,2,33,4,308.0,340.0,318.1818181818182,-20.8,581.1,653.8,606.0,1178.0,1280.0,1216.121212121212
Yearling Heifer,330-400,Processor,C,3,7,2,302.0,330.0,322,-6.4,569.8,622.6,607.5,1208.0,1320.0,1288
Yearling Heifer,330-400,Restocker,C,2,16,NQ,318.0,346.0,332.5,NQ,603.8,652.8,630.2,1144.8,1245.6,1197
Yearling Heifer,400+,Feeder,C,2,4,-5,320.0,320.0,320,-6.7,603.8,603.8,603.8,1344.0,1344.0,1344
Yearling Heifer,400+,Feeder,C,3,49,45,314.0,340.0,328.0816326530612,4.8,592.5,641.5,618.6,1318.8,1428.0,1377.9428611288265
Yearling Heifer,400+,Processor,C,3,10,9,270.0,270.0,270,-64.0,509.4,509.4,509.4,1134.0,1134.0,1134
Vealer Steer,200-280,Restocker,C,2,14,1,336.0,382.0,368.85714285714283,-18.7,610.9,707.4,679.8,907.2,1031.4,995.914289202009
Vealer Heifer,200-280,Processor,C,2,28,NQ,246.0,276.0,256.7142857142857,NQ,464.2,520.8,484.4,615.0,745.2,661.5
Vealer Heifer,200-280,Restocker,C,2,6,-31,286.0,286.0,286,-23.5,539.6,539.6,539.6,800.8,800.8,800.7999674479166
Grown Steer,400-500,Feeder,C,3,9,NQ,306.0,352.0,320.8888888888889,NQ,566.7,640.0,590.3,1377.0,1760.0,1502.4444444444443
Grown Steer,500-600,Processor,C,4,34,NQ,308.0,358.0,342.3529411764706,NQ,560.0,650.9,625.2,1848.0,2124.0,2012.6941061580883
Grown Steer,600-750,Processor,C,4,2,NQ,326.0,326.0,326,NQ,592.7,592.7,592.7,2216.8,2216.8,2216.800048828125
Grown Heifer,0-540,Feeder,C,2,2,-14,280.0,280.0,280,-28.4,538.5,538.5,538.5,1120.0,1120.0,1120
Grown Heifer,0-540,Feeder,C,3,31,29,300.0,340.0,317.61290322580646,7.6,566.0,641.5,599.3,1200.0,1530.0,1385.7096774193549
Grown Heifer,0-540,Processor,C,3,48,NQ,294.0,348.0,321.125,NQ,554.7,656.6,605.9,1323.0,1700.0,1485.1666564941406
Grown Heifer,0-540,Processor,C,4,13,NQ,344.0,350.0,346.7692307692308,NQ,637.0,648.1,642.2,1651.2,1750.0,1696.7999549278845
Grown Heifer,0-540,Restocker,C,2,22,15,270.0,326.0,298,42.0,540.0,615.1,577.5,1134.0,1141.0,1137.5
Grown Heifer,540+,Processor,C,3,2,-24,320.0,320.0,320,15.5,603.8,603.8,603.8,1760.0,1760.0,1760
Grown Heifer,540+,Processor,C,4,14,NQ,318.0,346.0,333.14285714285717,NQ,600.0,640.7,620.1,1749.0,2210.0,2038.9285714285713
Cows,0-400,Restocker,D,1,6,NQ,180.0,180.0,180,NQ,391.3,391.3,391.3,720.0,720.0,720
Cows,0-400,Restocker,E,1,20,NQ,140.0,140.0,140,NQ,333.3,333.3,333.3,490.0,490.0,490
Cows,400-520,Processor,D,1,17,NQ,168.0,180.0,172.23529411764707,NQ,365.2,400.0,377.5,756.0,810.0,775.0588235294117
Cows,400-520,Processor,D,2,90,6,200.0,275.0,238.06666666666666,8.4,434.8,585.1,512.7,900.0,1320.0,1104.2266655815972
Cows,400-520,Processor,D,3,51,NQ,275.0,288.0,280.11764705882354,NQ,572.9,622.2,587.4,1324.8,1456.0,1387.8196231617646
Cows,400-520,Processor,D,4,8,NQ,312.0,312.0,312,NQ,624.0,624.0,624.0,1622.4,1622.4,1622.4000244140625
Cows,400-520,Restocker,E,1,6,NQ,184.0,184.0,184,NQ,438.1,438.1,438.1,772.8,772.8,772.7999674479166
Cows,520+,Processor,D,3,88,45,270.0,308.0,280.72727272727275,7.8,562.5,616.0,583.4,1485.0,1694.0,1544
Cows,520+,Processor,D,4,262,137,291.0,318.0,309.2175572519084,6.7,582.0,636.0,613.8,1711.0,2230.2,1893.0206881224653
Bulls,0-450,Processor,C,2,5,2,252.0,254.0,252.8,-11.2,466.7,470.4,468.1,1016.0,1058.4,1041.4400390625
Bulls,450-600,Processor,B,2,2,1,248.0,248.0,248,20.0,467.9,467.9,467.9,1240.0,1240.0,1240
Bulls,450-600,Processor,C,2,13,NQ,260.0,270.0,262.6923076923077,NQ,472.7,500.0,483.7,1300.0,1590.0,1402.923076923077
Bulls,600+,Processor,B,2,32,27,252.0,350.0,271.90625,35.5,461.8,636.4,495.2,1764.0,3150.0,2265.3312377929688
