Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,14,8,328.0,328.0,328,-98.0,607.4,607.4,607.4,918.4,918.4,918.4000418526786
Yearling Steer,280-330,Restocker,C,2,56,-69,304.0,392.0,350.5892857142857,-3.8,563.0,725.9,647.0,1003.2,1293.6,1116.6267700195312
Yearling Steer,330-400,Feeder,C,2,9,-24,350.0,350.0,350,0.7,648.1,648.1,648.1,1330.0,1330.0,1330
Yearling Steer,330-400,Restocker,C,2,17,-105,262.0,376.0,329.88235294117646,-34.7,476.4,683.6,603.3,943.2,1428.8,1203.6471162683824
Yearling Steer,400+,Feeder,C,3,75,-62,334.0,392.0,362.44,5.6,607.3,712.7,659.0,1402.8,2059.0,1783.161875
Yearling Steer,400+,Feeder,C,4,2,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,1666.0,1666.0,1666
Yearling Steer,400+,PTIC,C,3,6,NQ,346.0,346.0,346,NQ,629.1,629.1,629.1,1557.0,1557.0,1557
Yearling Heifer,200-280,Feeder,C,2,16,NQ,300.0,340.0,325,NQ,566.0,641.5,613.2,840.0,952.0,910
Yearling Heifer,200-280,Processor,C,2,12,4,304.0,334.0,314,19.0,573.6,630.2,592.5,820.8,935.2,858.9333292643229
Yearling Heifer,200-280,Restocker,C,2,47,NQ,285.0,315.0,302.8510638297872,NQ,537.7,594.3,571.4,798.0,882.0,847.9829621010638
Yearling Heifer,280-330,Feeder,C,2,6,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,792.0,792.0,792
Yearling Heifer,280-330,Processor,C,2,11,NQ,246.0,348.0,288.54545454545456,NQ,464.2,656.6,544.4,811.8,1148.4,952.1999955610795
Yearling Heifer,280-330,Restocker,C,2,58,43,296.0,330.0,307.51724137931035,-7.3,558.5,622.6,580.2,918.0,1089.0,971.6172380118535
Yearling Heifer,330-400,Feeder,C,2,94,61,280.0,330.0,316.78723404255317,-1.4,528.3,622.6,597.7,1036.0,1320.0,1213.531914893617
Yearling Heifer,330-400,Feeder,C,3,35,NQ,330.0,346.0,340.9714285714286,NQ,622.6,652.8,643.3,1188.0,1384.0,1322.4
Yearling Heifer,330-400,Processor,C,2,9,NQ,322.0,322.0,322,NQ,607.5,607.5,607.5,1094.8,1094.8,1094.800021701389
Yearling Heifer,330-400,Restocker,C,2,15,-1,285.0,304.0,292.6,-39.9,537.7,573.6,552.1,1026.0,1033.6,1029.0399739583333
Yearling Heifer,400+,Feeder,C,3,24,-25,304.0,306.0,304.5833333333333,-23.5,573.6,577.4,574.7,1276.8,1307.2,1291.9166666666667
Yearling Heifer,400+,Processor,C,3,21,11,262.0,335.0,298.3333333333333,28.3,494.3,632.1,562.9,1100.4,1440.5,1264.1666666666667
Vealer Steer,0-200,Restocker,C,2,4,NQ,416.0,416.0,416,NQ,770.4,770.4,770.4,832.0,832.0,832
Vealer Steer,200-280,Restocker,C,2,55,41,310.0,442.0,384.5090909090909,15.7,574.1,818.5,709.1,775.0,1149.2,1014.1927379261364
Vealer Heifer,200-280,Processor,C,2,20,-8,250.0,302.0,274.6,17.9,471.7,569.8,518.1,575.0,815.4,676.22001953125
Vealer Heifer,200-280,Restocker,C,2,80,74,300.0,324.0,311.65,25.6,566.0,619.2,589.0,664.4,842.4,784.7150024414062
Grown Steer,0-400,Processor,C,2,3,NQ,295.0,295.0,295,NQ,556.6,556.6,556.6,826.0,826.0,826
Grown Steer,0-400,Restocker,C,2,4,NQ,288.0,288.0,288,NQ,543.4,543.4,543.4,864.0,864.0,864
Grown Steer,500-600,Feeder,C,4,2,NQ,345.0,345.0,345,NQ,627.3,627.3,627.3,1794.0,1794.0,1794
Grown Steer,500-600,Processor,C,3,2,NQ,314.0,314.0,314,NQ,581.5,581.5,581.5,1632.8,1632.8,1632.800048828125
Grown Steer,500-600,Processor,C,4,6,-28,350.0,350.0,350,7.6,636.4,636.4,636.4,2030.0,2030.0,2030
Grown Steer,600-750,Processor,C,4,1,-1,340.0,340.0,340,14.0,618.2,618.2,618.2,2210.0,2210.0,2210
Grown Heifer,0-540,Feeder,C,2,34,32,298.0,322.0,314.94117647058823,34.9,562.3,607.5,594.2,1251.6,1376.0,1334.0470760569854
Grown Heifer,0-540,Feeder,C,3,16,-15,300.0,314.0,305.25,-12.4,566.0,592.5,575.9,1350.0,1413.0,1373.625
Grown Heifer,0-540,Processor,C,2,4,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,960.0,960.0,960
Grown Heifer,0-540,Processor,C,3,45,-3,262.0,320.0,291.64444444444445,-29.5,494.3,603.8,550.3,1150.8,1536.0,1327.5066731770833
Grown Heifer,0-540,Processor,C,4,6,-7,300.0,336.0,318,-28.8,566.0,634.0,600.0,1500.0,1747.2,1623.5999348958333
Grown Heifer,540+,Processor,C,3,4,2,310.0,310.0,310,-10.0,584.9,584.9,584.9,1705.0,1705.0,1705
Grown Heifer,540+,Processor,C,4,10,-4,305.0,339.0,318.6,-14.5,575.5,639.6,601.1,1760.0,1864.5,1813.3
Cows,0-400,Processor,D,4,10,NQ,302.0,302.0,302,NQ,604.0,604.0,604.0,966.4,966.4,966.4
Cows,0-400,Restocker,D,2,5,NQ,199.0,199.0,199,NQ,398.0,398.0,398.0,796.0,796.0,796
Cows,400-520,Feeder,C,3,10,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,1350.0,1350.0,1350
Cows,400-520,Processor,D,2,73,-17,230.0,255.0,242.67123287671234,4.6,500.0,554.3,524.8,1035.0,1274.0,1198.013698630137
Cows,400-520,Processor,D,3,125,74,240.0,295.0,281.568,1.5,500.0,614.6,586.6,1152.0,1497.6,1388.08640625
Cows,400-520,Processor,D,4,27,19,290.0,308.0,294.6666666666667,-17.3,580.0,616.0,589.3,1508.0,1601.6,1532.2666512948495
Cows,400-520,Processor,E,1,10,NQ,128.0,128.0,128,NQ,304.8,304.8,304.8,537.6,537.6,537.6
Cows,520+,Processor,D,3,6,-82,292.0,292.0,292,11.3,608.3,608.3,608.3,1576.8,1576.8,1576.8001302083333
Cows,520+,Processor,D,4,197,-65,282.0,321.0,305.47715736040607,-3.7,564.0,639.6,610.0,1563.5,2203.2,1826.3142201380076
Bulls,0-450,Processor,C,2,6,1,236.0,280.0,250.66666666666666,-2.1,445.3,518.5,469.7,1062.0,1260.0,1128
Bulls,450-600,Processor,B,2,2,NC,270.0,270.0,270,22.0,490.9,490.9,490.9,1620.0,1620.0,1620
