Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 20/08/2024
Comparison Date: 
Total Yarding: 1007 (NQ)
Commentary
"Inverell penned similar numbers at 1007 very good quality cattle. This was very noticeable through the yearling cattle with extra weight in the heavier categories. Cow quality also improved showing good gains in the final results although there were limited cow buyers. Trends were stronger through all categories.

Weaners met with strong demand from restockers 420c/kg the steers and 338c/kg the heifer drafts. Light steers to background were firm with the heavier drafts seeing rises of 20c/kg. Medium weights gained 18c/kg topping at 398c/kg. Heavy yearling feeder steers posted very strong gains. Yearling heifers sold to mostly dearer trends with light feeders gaining 11c/kg and medium weights also dearer at 332c/kg. Heavy yearling heifers to process gained 20c/kg.

Heavy grown heifers to process were up to 11c/kg better. Cows sold to strong trends medium cows  dearer and heavy cows 11c to 16c/kg better making 330c/kg. There were PTIC cows making 238c to 262c/kg. Heavy bulls slightly dearer  selling to 271c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Processor,D,2,5,NQ,238.0,238.0,238,NQ,440.7,440.7,440.7,618.8,618.8,618.8
Yearling Steer,200-280,Restocker,C,2,32,18,358.0,417.0,390.3125,62.3,663.0,772.2,722.8,966.6,1086.4,1066.9250106811523
Yearling Steer,280-330,Feeder,C,2,4,NQ,388.0,388.0,388,NQ,718.5,718.5,718.5,1280.4,1280.4,1280.4000244140625
Yearling Steer,280-330,Restocker,C,2,23,-33,318.0,436.0,407.5652173913044,57.0,588.9,807.4,754.8,1049.4,1395.2,1267.9739141049592
Yearling Steer,330-400,Feeder,C,2,41,32,256.0,398.0,374.6829268292683,24.7,474.1,737.0,693.9,972.8,1472.6,1346.0243723799542
Yearling Steer,330-400,Processor,C,2,2,NQ,360.0,362.0,361,NQ,666.7,670.4,668.5,1375.6,1440.0,1407.7999877929688
Yearling Steer,330-400,Restocker,C,2,46,29,360.0,424.0,401.5217391304348,71.6,666.7,785.2,743.6,1260.0,1484.0,1404.0652173913043
Yearling Steer,400+,Feeder,C,2,27,NQ,350.0,396.0,394.2962962962963,NQ,648.1,733.3,730.2,1470.0,1821.6,1808.5776909722222
Yearling Steer,400+,Feeder,C,3,9,-66,344.0,364.0,359.55555555555554,-2.9,637.0,674.1,665.8,1857.6,1892.8,1884.9778374565972
Yearling Heifer,200-280,Restocker,C,2,12,-35,332.0,346.0,334.1666666666667,31.3,626.4,652.8,630.5,873.6,968.8,896.7333323160807
Yearling Heifer,280-330,Feeder,C,2,12,6,295.0,340.0,321.0833333333333,81.1,556.6,641.5,605.8,914.5,1122.0,1032.1749979654949
Yearling Heifer,280-330,Restocker,C,2,8,-50,334.0,348.0,337.5,30.0,630.2,656.6,636.8,1068.8,1078.8,1071.300048828125
Yearling Heifer,330-400,Feeder,C,2,12,-82,322.0,348.0,339.8333333333333,23.0,607.5,656.6,641.2,1159.2,1392.0,1309.63330078125
Yearling Heifer,330-400,Feeder,C,3,4,-31,332.0,332.0,332,-9.0,626.4,626.4,626.4,1261.6,1261.6,1261.5999755859375
Yearling Heifer,330-400,Processor,C,2,1,-8,300.0,300.0,300,-22.0,566.0,566.0,566.0,1020.0,1020.0,1020
Yearling Heifer,330-400,Processor,C,3,11,NQ,306.0,342.0,330.3636363636364,NQ,577.4,645.3,623.3,1101.6,1299.6,1192.5999644886363
Yearling Heifer,400+,Feeder,C,2,4,NQ,310.0,318.0,314,NQ,584.9,600.0,592.5,1333.0,1462.8,1397.9000244140625
Yearling Heifer,400+,Feeder,C,3,25,1,330.0,336.0,333.68,29.1,622.6,634.0,629.6,1394.4,2217.6,2020.6800634765625
Yearling Heifer,400+,Processor,C,2,6,NQ,294.0,294.0,294,NQ,554.7,554.7,554.7,1234.8,1234.8,1234.800048828125
Yearling Heifer,400+,Processor,C,3,13,-8,352.0,354.0,352.9230769230769,54.6,664.2,667.9,665.9,1486.8,2112.0,1823.4462139423076
Vealer Steer,0-200,Restocker,C,2,16,12,330.0,420.0,410.625,-5.4,611.1,777.8,760.4,594.0,756.0,700.875
Vealer Steer,200-280,Restocker,C,2,35,-20,416.0,448.0,426.1142857142857,41.6,770.4,829.6,789.1,956.8,1209.6,1037.405712890625
Vealer Steer,330+,Restocker,C,2,5,NQ,438.0,438.0,438,NQ,811.1,811.1,811.1,1533.0,1533.0,1533
Vealer Heifer,0-200,Restocker,C,2,27,NQ,228.0,312.0,300.51851851851853,NQ,430.2,588.7,567.0,319.2,554.4,505.9851978443287
Vealer Heifer,200-280,Feeder,C,2,3,NQ,318.0,318.0,318,NQ,600.0,600.0,600.0,699.6,699.6,699.5999348958334
Vealer Heifer,200-280,Restocker,C,2,9,-71,338.0,338.0,338,26.4,637.7,637.7,637.7,743.6,743.6,743.5999891493055
