Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 25/06/2024
Comparison Date: 18/06/2024
Total Yarding: 676 (-690)
Commentary
"Numbers halved for a yarding of 676 head, consisting mainly of weaner and yearling cattle and there was a good supply of cow’s.   Quality was very mixed although there was several pens of well bred young cattle through the sale.  

The market saw well bred cattle sell firm to a dealer trend, however plainer type cattle were easier.  Restocker weaner steers sold from 250c to 398c, while restocker weaner heifers ranged from 222c to 266c/kg.  Feeder steers sold according to quality ranging from 284c to 376c, while feeder heifers sold from 312c to 328c/kg.

There was only a few grown steers offered toping at 256c and grown heifers sold to 268c/kg.  Heavy cows were 5c dearer selling from 188c to 220c/kg.  There was a large number of plain cows penned, most went to restockers selling from 124c to 182c/kg. 

Report compiled by 
Doug Robson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,25,23,198.0,342.0,272.96,-37.0,366.7,633.3,504.0,554.4,957.6,762.2559912109375
Yearling Steer,280-330,Restocker,C,2,25,5,248.0,284.0,259.44,-48.0,459.3,525.9,477.9,744.0,884.4,824.16
Yearling Steer,330-400,Feeder,C,2,12,-51,376.0,376.0,376,34.3,696.3,696.3,696.3,1353.6,1353.6,1353.5999348958333
Yearling Steer,330-400,Processor,C,2,4,NQ,198.0,198.0,198,NQ,380.8,380.8,380.8,752.4,752.4,752.4000244140625
Yearling Steer,330-400,Restocker,C,2,26,-7,250.0,304.0,280.3076923076923,-35.2,463.0,552.7,516.3,900.0,1120.0,1021.1538461538462
Yearling Steer,400+,Feeder,C,2,1,-13,270.0,270.0,270,-64.3,490.9,490.9,490.9,1134.0,1134.0,1134
Yearling Steer,400+,Processor,C,3,1,NQ,298.0,298.0,298,NQ,551.9,551.9,551.9,1251.6,1251.6,1251.5999755859375
Yearling Steer,400+,Processor,C,4,1,NQ,258.0,258.0,258,NQ,469.1,469.1,469.1,1341.6,1341.6,1341.5999755859375
Yearling Heifer,200-280,Restocker,C,2,9,-58,244.0,244.0,244,2.8,460.4,460.4,460.4,683.2,683.2,683.2000325520834
Yearling Heifer,280-330,Restocker,C,2,9,-64,240.0,240.0,240,-24.2,452.8,452.8,452.8,792.0,792.0,792
Yearling Heifer,330-400,Feeder,C,2,4,-4,312.0,312.0,312,62.0,588.7,588.7,588.7,1123.2,1123.2,1123.199951171875
Yearling Heifer,330-400,Feeder,C,3,2,-10,328.0,328.0,328,50.0,596.4,596.4,596.4,1312.0,1312.0,1312
Yearling Heifer,330-400,Restocker,C,2,4,-65,230.0,230.0,230,-58.1,434.0,434.0,434.0,828.0,828.0,828
Yearling Heifer,400+,Feeder,C,3,13,1,320.0,320.0,320,13.0,603.8,603.8,603.8,1344.0,1344.0,1344
Vealer Steer,200-280,Restocker,C,2,83,-25,250.0,398.0,336.33734939759034,3.3,454.5,737.0,620.5,600.0,995.0,859.9277020190135
Vealer Steer,280-330,Restocker,C,2,2,NQ,356.0,356.0,356,NQ,659.3,659.3,659.3,1068.0,1068.0,1068
Vealer Heifer,200-280,Processor,C,2,9,NQ,264.0,264.0,264,NQ,498.1,498.1,498.1,660.0,660.0,660
Vealer Heifer,200-280,Restocker,C,2,30,-33,222.0,266.0,246.73333333333332,8.6,418.9,501.9,465.5,510.6,665.0,579.6866617838542
Grown Steer,400-500,Feeder,C,3,11,-9,264.0,264.0,264,-26.8,480.0,480.0,480.0,1320.0,1320.0,1320
Grown Steer,500-600,Feeder,C,3,5,NQ,256.0,256.0,256,NQ,483.0,483.0,483.0,1331.2,1331.2,1331.2
Grown Steer,500-600,Processor,C,4,6,4,240.0,250.0,246.33333333333334,-13.7,436.4,454.5,447.9,1248.0,1500.0,1392.933329264323
Grown Steer,600-750,Processor,C,4,3,NQ,256.0,256.0,256,NQ,465.5,465.5,465.5,1792.0,1792.0,1792
Grown Heifer,0-540,Feeder,C,3,13,-2,264.0,272.0,268.9230769230769,-22.4,498.1,513.2,507.4,1088.0,1214.4,1157.6615459735576
Grown Heifer,0-540,Processor,C,3,19,12,200.0,264.0,241.1578947368421,28.0,377.4,498.1,455.0,840.0,1372.8,1177.3263549804688
Grown Heifer,0-540,Restocker,C,2,6,NQ,198.0,210.0,204,NQ,380.8,403.8,392.3,792.0,798.0,795
Grown Heifer,0-540,Restocker,C,3,3,-11,258.0,258.0,258,-18.0,486.8,486.8,486.8,1109.4,1109.4,1109.4000651041667
Grown Heifer,540+,Processor,C,3,1,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,1500.8,1500.8,1500.800048828125
Cows,0-400,Processor,E,1,2,NC,124.0,124.0,124,44.0,234.0,234.0,234.0,496.0,496.0,496
Cows,0-400,Restocker,D,2,31,NQ,128.0,166.0,147.80645161290323,NQ,304.8,395.2,342.4,512.0,632.0,583.7290354082661
Cows,0-400,Restocker,E,1,16,10,129.0,129.0,129,65.0,322.5,322.5,322.5,490.2,490.2,490.20001220703125
Cows,400-520,Processor,D,2,10,-62,140.0,172.0,150,-4.0,280.0,373.9,327.7,588.0,791.2,670.2800048828125
Cows,400-520,Processor,D,3,24,-31,178.0,192.0,179.25,0.6,378.7,400.0,381.0,810.0,960.0,871.5
Cows,400-520,Processor,D,4,8,7,191.0,210.0,193.375,-0.6,382.0,420.0,386.8,993.2,1092.0,1005.5499877929688
Cows,400-520,Restocker,D,2,44,-2,146.0,182.0,165,-11.2,324.4,404.4,364.4,634.2,819.0,729.3409201882102
Cows,520+,Processor,D,3,4,-36,196.0,196.0,196,7.8,408.3,408.3,408.3,1058.4,1058.4,1058.4000244140625
Cows,520+,Processor,D,4,57,-95,188.0,220.0,207.73684210526315,9.1,383.7,440.0,417.3,1034.0,1430.0,1216.5333359032347
Bulls,0-450,Processor,C,2,12,-38,175.0,218.0,200.41666666666666,28.2,324.1,403.7,371.1,665.0,981.0,834.5
Bulls,450-600,Processor,C,2,2,NQ,180.0,220.0,200,NQ,327.3,407.4,367.3,900.0,1100.0,1000
Bulls,600+,Processor,B,2,6,-11,215.0,235.0,224.16666666666666,2.8,390.9,427.3,407.6,1540.0,2115.0,1816.6666666666667
